id,console-name,product-name,loose-price
6715192,Pokemon HeartGold & SoulSilver,2-Pack Blister,$189.80
6769301,Pokemon HeartGold & SoulSilver,3-Pack Blister,$696.04
806218,Pokemon HeartGold & SoulSilver,Alph Lithograph #ONE,$70.69
886670,Pokemon HeartGold & SoulSilver,Ampharos #105,$22.41
806127,Pokemon HeartGold & SoulSilver,Ampharos #14,$4.43
806232,Pokemon HeartGold & SoulSilver,Ampharos [Reverse Holo] #14,$9.99
806114,Pokemon HeartGold & SoulSilver,Arcanine #1,$20.00
806219,Pokemon HeartGold & SoulSilver,Arcanine [Reverse Holo] #1,$15.00
806128,Pokemon HeartGold & SoulSilver,Ariados #15,$1.80
806233,Pokemon HeartGold & SoulSilver,Ariados [Reverse Holo] #15,$2.35
806115,Pokemon HeartGold & SoulSilver,Azumarill #2,$4.95
806220,Pokemon HeartGold & SoulSilver,Azumarill [Reverse Holo] #2,$3.96
806148,Pokemon HeartGold & SoulSilver,Bayleef #35,$1.96
806254,Pokemon HeartGold & SoulSilver,Bayleef [Reverse Holo] #35,$9.93
806200,Pokemon HeartGold & SoulSilver,Bill #89,$0.30
806307,Pokemon HeartGold & SoulSilver,Bill [Reverse Holo] #89,$3.49
886671,Pokemon HeartGold & SoulSilver,Blissey #106,$21.82
806149,Pokemon HeartGold & SoulSilver,Blissey #36,$1.86
806255,Pokemon HeartGold & SoulSilver,Blissey [Reverse Holo] #36,$3.64
6715191,Pokemon HeartGold & SoulSilver,Blister Pack,$300.00
2245021,Pokemon HeartGold & SoulSilver,Booster Box,$5152.49
2245022,Pokemon HeartGold & SoulSilver,Booster Pack,$220.00
806129,Pokemon HeartGold & SoulSilver,Butterfree #16,$7.00
806234,Pokemon HeartGold & SoulSilver,Butterfree [Reverse Holo] #16,$12.17
806169,Pokemon HeartGold & SoulSilver,Caterpie #57,$1.43
806275,Pokemon HeartGold & SoulSilver,Caterpie [Reverse Holo] #57,$8.03
806170,Pokemon HeartGold & SoulSilver,Chansey #58,$1.30
806276,Pokemon HeartGold & SoulSilver,Chansey [Reverse Holo] #58,$4.28
806171,Pokemon HeartGold & SoulSilver,Chikorita #59,$1.53
806277,Pokemon HeartGold & SoulSilver,Chikorita [Reverse Holo] #59,$6.50
806116,Pokemon HeartGold & SoulSilver,Clefable #3,$7.75
806221,Pokemon HeartGold & SoulSilver,Clefable [Reverse Holo] #3,$3.99
806172,Pokemon HeartGold & SoulSilver,Clefairy #60,$1.25
806278,Pokemon HeartGold & SoulSilver,Clefairy [Reverse Holo] #60,$1.39
806130,Pokemon HeartGold & SoulSilver,Cleffa #17,$3.53
806235,Pokemon HeartGold & SoulSilver,Cleffa [Reverse Holo] #17,$6.29
806201,Pokemon HeartGold & SoulSilver,Copycat #90,$0.95
6254481,Pokemon HeartGold & SoulSilver,Copycat [Cross Holo] #90,$2.99
806308,Pokemon HeartGold & SoulSilver,Copycat [Reverse Holo] #90,$3.99
806150,Pokemon HeartGold & SoulSilver,Corsola #37,$1.57
806256,Pokemon HeartGold & SoulSilver,Corsola [Reverse Holo] #37,$2.62
806151,Pokemon HeartGold & SoulSilver,Croconaw #38,$2.20
806257,Pokemon HeartGold & SoulSilver,Croconaw [Reverse Holo] #38,$6.49
806173,Pokemon HeartGold & SoulSilver,Cyndaquil #61,$1.47
806279,Pokemon HeartGold & SoulSilver,Cyndaquil [Reverse Holo] #61,$10.24
2677906,Pokemon HeartGold & SoulSilver,Darkness Energy #121,$46.54
806152,Pokemon HeartGold & SoulSilver,Delibird #39,$1.76
806258,Pokemon HeartGold & SoulSilver,Delibird [Reverse Holo] #39,$5.28
886672,Pokemon HeartGold & SoulSilver,Donphan #107,$11.26
806153,Pokemon HeartGold & SoulSilver,Donphan #40,$1.13
7671869,Pokemon HeartGold & SoulSilver,Donphan [Crosshatch League] #40,$3.00
806259,Pokemon HeartGold & SoulSilver,Donphan [Reverse Holo] #40,$1.53
806214,Pokemon HeartGold & SoulSilver,Double Colorless Energy #103,$4.51
8597949,Pokemon HeartGold & SoulSilver,Double Colorless Energy [League] #103,$7.16
806321,Pokemon HeartGold & SoulSilver,Double Colorless Energy [Reverse Holo] #103,$18.97
806174,Pokemon HeartGold & SoulSilver,Drowzee #62,$0.85
806280,Pokemon HeartGold & SoulSilver,Drowzee [Reverse Holo] #62,$4.99
806154,Pokemon HeartGold & SoulSilver,Dunsparce #41,$0.66
806260,Pokemon HeartGold & SoulSilver,Dunsparce [Reverse Holo] #41,$2.96
806202,Pokemon HeartGold & SoulSilver,Energy Switch #91,$4.44
806309,Pokemon HeartGold & SoulSilver,Energy Switch [Reverse Holo] #91,$19.12
806175,Pokemon HeartGold & SoulSilver,Exeggcute #63,$0.75
806281,Pokemon HeartGold & SoulSilver,Exeggcute [Reverse Holo] #63,$2.99
806131,Pokemon HeartGold & SoulSilver,Exeggutor #18,$1.51
806236,Pokemon HeartGold & SoulSilver,Exeggutor [Reverse Holo] #18,$5.49
806132,Pokemon HeartGold & SoulSilver,Farfetch'd #19,$3.94
806237,Pokemon HeartGold & SoulSilver,Farfetch'd [Reverse Holo] #19,$7.47
886673,Pokemon HeartGold & SoulSilver,Feraligatr #108,$29.99
806133,Pokemon HeartGold & SoulSilver,Feraligatr #20,$4.00
9908987,Pokemon HeartGold & SoulSilver,Feraligatr [Cosmos Holo] #20,$15.56
8440599,Pokemon HeartGold & SoulSilver,Feraligatr [Cracked Ice] #20,$5.81
806238,Pokemon HeartGold & SoulSilver,Feraligatr [Reverse Holo] #20,$11.01
2368691,Pokemon HeartGold & SoulSilver,Fighting Energy #120,$15.73
2677915,Pokemon HeartGold & SoulSilver,Fire Energy #116,$19.51
806203,Pokemon HeartGold & SoulSilver,Fisherman #92,$5.39
806310,Pokemon HeartGold & SoulSilver,Fisherman [Reverse Holo] #92,$22.38
806155,Pokemon HeartGold & SoulSilver,Flaaffy #42,$1.14
806261,Pokemon HeartGold & SoulSilver,Flaaffy [Reverse Holo] #42,$3.00
806204,Pokemon HeartGold & SoulSilver,Full Heal #93,$0.38
806311,Pokemon HeartGold & SoulSilver,Full Heal [Reverse Holo] #93,$3.19
806134,Pokemon HeartGold & SoulSilver,Furret #21,$4.99
806239,Pokemon HeartGold & SoulSilver,Furret [Reverse Holo] #21,$10.00
806176,Pokemon HeartGold & SoulSilver,Girafarig #64,$1.04
806282,Pokemon HeartGold & SoulSilver,Girafarig [Reverse Holo] #64,$4.32
806135,Pokemon HeartGold & SoulSilver,Granbull #22,$1.99
806240,Pokemon HeartGold & SoulSilver,Granbull [Reverse Holo] #22,$3.00
2677908,Pokemon HeartGold & SoulSilver,Grass Energy #115,$15.25
806177,Pokemon HeartGold & SoulSilver,Growlithe #65,$2.50
806283,Pokemon HeartGold & SoulSilver,Growlithe [Reverse Holo] #65,$17.45
886677,Pokemon HeartGold & SoulSilver,Gyarados #123,$83.57
806117,Pokemon HeartGold & SoulSilver,Gyarados #4,$14.89
7961487,Pokemon HeartGold & SoulSilver,Gyarados [Cracked Ice] #4,$12.00
2481134,Pokemon HeartGold & SoulSilver,Gyarados [Reverse Holo] #123,$62.75
806222,Pokemon HeartGold & SoulSilver,Gyarados [Reverse Holo] #4,$16.33
806156,Pokemon HeartGold & SoulSilver,Heracross #43,$4.00
806262,Pokemon HeartGold & SoulSilver,Heracross [Reverse Holo] #43,$6.25
806118,Pokemon HeartGold & SoulSilver,Hitmontop #5,$4.51
806223,Pokemon HeartGold & SoulSilver,Hitmontop [Reverse Holo] #5,$3.81
806217,Pokemon HeartGold & SoulSilver,Ho-Oh Legend #111,$68.98
806216,Pokemon HeartGold & SoulSilver,Ho-Oh Legend #112,$58.20
806178,Pokemon HeartGold & SoulSilver,Hoothoot #66,$1.38
806284,Pokemon HeartGold & SoulSilver,Hoothoot [Reverse Holo] #66,$3.95
806179,Pokemon HeartGold & SoulSilver,Hoppip #67,$0.61
