id,console-name,product-name,loose-price
964169,Pokemon Hidden Fates,Aether Foundation Employee #SV81,$8.09
964175,Pokemon Hidden Fates,Aether Paradise Conservation Area #SV87,$7.28
964138,Pokemon Hidden Fates,Alolan Ninetales GX #SV53,$35.86
964167,Pokemon Hidden Fates,Alolan Vulpix #SV8,$7.18
964120,Pokemon Hidden Fates,Altaria #SV37,$5.32
964164,Pokemon Hidden Fates,Altaria GX #SV77,$19.25
964047,Pokemon Hidden Fates,Arbok #27,$0.65
964205,Pokemon Hidden Fates,Arbok [Reverse Holo] #27,$0.58
964139,Pokemon Hidden Fates,Articuno GX #SV54,$32.33
964147,Pokemon Hidden Fates,Banette GX #SV61,$9.99
964113,Pokemon Hidden Fates,Beldum #SV30,$2.02
964071,Pokemon Hidden Fates,Bill's Analysis #51,$0.16
964225,Pokemon Hidden Fates,Bill's Analysis [Reverse Holo] #51,$0.18
964072,Pokemon Hidden Fates,Blaine's Last Stand #52,$0.20
964226,Pokemon Hidden Fates,Blaine's Last Stand [Reverse Holo] #52,$0.40
2244946,Pokemon Hidden Fates,Booster Pack,$39.00
964073,Pokemon Hidden Fates,Brock's Grit #53,$0.20
964227,Pokemon Hidden Fates,Brock's Grit [Reverse Holo] #53,$0.36
964074,Pokemon Hidden Fates,Brock's Pewter City Gym #54,$0.25
964228,Pokemon Hidden Fates,Brock's Pewter City Gym [Reverse Holo] #54,$0.27
964075,Pokemon Hidden Fates,Brock's Training #55,$0.80
964229,Pokemon Hidden Fates,Brock's Training [Reverse Holo] #55,$0.50
964176,Pokemon Hidden Fates,Brooklet Hill #SV88,$15.25
964023,Pokemon Hidden Fates,Butterfree #3,$0.66
964186,Pokemon Hidden Fates,Butterfree [Reverse Holo] #3,$0.76
964106,Pokemon Hidden Fates,Buzzwole #SV24,$2.86
964154,Pokemon Hidden Fates,Buzzwole GX #SV68,$9.75
964021,Pokemon Hidden Fates,Caterpie #1,$0.20
964184,Pokemon Hidden Fates,Caterpie [Reverse Holo] #1,$0.35
964115,Pokemon Hidden Fates,Celesteela #SV32,$3.18
964066,Pokemon Hidden Fates,Chansey #46,$0.49
964220,Pokemon Hidden Fates,Chansey [Reverse Holo] #46,$0.72
964029,Pokemon Hidden Fates,Charizard GX #9,$8.00
964133,Pokemon Hidden Fates,Charizard GX #SV49,$456.53
2253083,Pokemon Hidden Fates,Charizard GX Hidden Fates Tin,$126.10
964027,Pokemon Hidden Fates,Charmander #7,$1.19
964145,Pokemon Hidden Fates,Charmander #SV6,$14.83
