id,console-name,product-name,loose-price
849857,Pokemon Hidden Legends,Ancient Technical Machine [Ice] #84,$1.13
849959,Pokemon Hidden Legends,Ancient Technical Machine [Ice] [Reverse Holo] #84,$2.15
849858,Pokemon Hidden Legends,Ancient Technical Machine [Rock] #85,$3.84
849960,Pokemon Hidden Legends,Ancient Technical Machine [Rock] [Reverse Holo] #85,$2.84
849859,Pokemon Hidden Legends,Ancient Technical Machine [Steel] #86,$0.64
849961,Pokemon Hidden Legends,Ancient Technical Machine [Steel] [Reverse Holo] #86,$2.44
849860,Pokemon Hidden Legends,Ancient Tomb #87,$2.05
2996133,Pokemon Hidden Legends,Ancient Tomb [Holo] #87,$2.88
849962,Pokemon Hidden Legends,Ancient Tomb [Reverse Holo] #87,$3.49
849825,Pokemon Hidden Legends,Baltoy #52,$0.44
849826,Pokemon Hidden Legends,Baltoy #53,$1.16
849927,Pokemon Hidden Legends,Baltoy [Reverse Holo] #52,$5.00
849928,Pokemon Hidden Legends,Baltoy [Reverse Holo] #53,$4.08
849774,Pokemon Hidden Legends,Banette #1,$20.87
849876,Pokemon Hidden Legends,Banette [Reverse Holo] #1,$17.99
849801,Pokemon Hidden Legends,Beldum #28,$0.98
849802,Pokemon Hidden Legends,Beldum #29,$2.30
849827,Pokemon Hidden Legends,Beldum #54,$0.98
6303284,Pokemon Hidden Legends,Beldum [Gym Challenge] #29,$19.45
849903,Pokemon Hidden Legends,Beldum [Reverse Holo] #28,$8.00
849904,Pokemon Hidden Legends,Beldum [Reverse Holo] #29,$7.57
849929,Pokemon Hidden Legends,Beldum [Reverse Holo] #54,$6.53
849789,Pokemon Hidden Legends,Bellossom #16,$3.38
849891,Pokemon Hidden Legends,Bellossom [Reverse Holo] #16,$18.02
6916311,Pokemon Hidden Legends,Blister Pack,$545.83
2245065,Pokemon Hidden Legends,Booster Box,$11269.68
2245066,Pokemon Hidden Legends,Booster Pack,$362.17
849803,Pokemon Hidden Legends,Castform #30,$2.38
849905,Pokemon Hidden Legends,Castform [Reverse Holo] #30,$10.32
849828,Pokemon Hidden Legends,Chikorita #55,$1.12
849930,Pokemon Hidden Legends,Chikorita [Reverse Holo] #55,$12.13
849790,Pokemon Hidden Legends,Chimecho #17,$1.29
849892,Pokemon Hidden Legends,Chimecho [Reverse Holo] #17,$7.02
849829,Pokemon Hidden Legends,Chinchou #56,$1.24
849830,Pokemon Hidden Legends,Chinchou #57,$0.50
849931,Pokemon Hidden Legends,Chinchou [Reverse Holo] #56,$5.98
849932,Pokemon Hidden Legends,Chinchou [Reverse Holo] #57,$6.57
849831,Pokemon Hidden Legends,Clamperl #58,$0.65
849933,Pokemon Hidden Legends,Clamperl [Reverse Holo] #58,$8.98
849775,Pokemon Hidden Legends,Claydol #2,$12.55
849804,Pokemon Hidden Legends,Claydol #31,$1.23
849877,Pokemon Hidden Legends,Claydol [Reverse Holo] #2,$12.36
849906,Pokemon Hidden Legends,Claydol [Reverse Holo] #31,$6.13
849805,Pokemon Hidden Legends,Corsola #32,$2.50
849907,Pokemon Hidden Legends,Corsola [Reverse Holo] #32,$8.25
849776,Pokemon Hidden Legends,Crobat #3,$15.03
849878,Pokemon Hidden Legends,Crobat [Reverse Holo] #3,$15.00
849832,Pokemon Hidden Legends,Cyndaquil #59,$1.83
849934,Pokemon Hidden Legends,Cyndaquil [Reverse Holo] #59,$9.99
849777,Pokemon Hidden Legends,Dark Celebi #4,$25.87
849879,Pokemon Hidden Legends,Dark Celebi [Reverse Holo] #4,$37.88
849861,Pokemon Hidden Legends,Desert Ruins #88,$6.99
849963,Pokemon Hidden Legends,Desert Ruins [Reverse Holo] #88,$8.04
849806,Pokemon Hidden Legends,Dodrio #33,$0.99
849908,Pokemon Hidden Legends,Dodrio [Reverse Holo] #33,$5.99
849833,Pokemon Hidden Legends,Doduo #60,$0.99
849935,Pokemon Hidden Legends,Doduo [Reverse Holo] #60,$4.97
849778,Pokemon Hidden Legends,Electrode #5,$19.99
849880,Pokemon Hidden Legends,Electrode [Reverse Holo] #5,$14.18
849779,Pokemon Hidden Legends,Exploud #6,$14.97
849881,Pokemon Hidden Legends,Exploud [Reverse Holo] #6,$15.45
849834,Pokemon Hidden Legends,Feebas #61,$2.55
849936,Pokemon Hidden Legends,Feebas [Reverse Holo] #61,$16.00
849807,Pokemon Hidden Legends,Glalie #34,$1.00
849909,Pokemon Hidden Legends,Glalie [Reverse Holo] #34,$6.15
849808,Pokemon Hidden Legends,Gloom #35,$3.09
849910,Pokemon Hidden Legends,Gloom [Reverse Holo] #35,$20.00
849809,Pokemon Hidden Legends,Golbat #36,$1.11
849911,Pokemon Hidden Legends,Golbat [Reverse Holo] #36,$5.42
849791,Pokemon Hidden Legends,Gorebyss #18,$2.99
849893,Pokemon Hidden Legends,Gorebyss [Reverse Holo] #18,$11.13
849875,Pokemon Hidden Legends,Groudon #102,$70.00
849866,Pokemon Hidden Legends,Groudon EX #93,$94.33
849835,Pokemon Hidden Legends,Gulpin #62,$1.47
849937,Pokemon Hidden Legends,Gulpin [Reverse Holo] #62,$10.00
849780,Pokemon Hidden Legends,Heracross #7,$16.18
849882,Pokemon Hidden Legends,Heracross [Reverse Holo] #7,$28.82
