id,console-name,product-name,loose-price
889098,Pokemon Holon Phantoms,Absol #18,$4.72
889209,Pokemon Holon Phantoms,Absol [Reverse Holo] #18,$32.75
889115,Pokemon Holon Phantoms,Aerodactyl #35,$5.82
889226,Pokemon Holon Phantoms,Aerodactyl [Reverse Holo] #35,$50.08
889137,Pokemon Holon Phantoms,Anorith #57,$0.71
889248,Pokemon Holon Phantoms,Anorith [Reverse Holo] #57,$14.35
889081,Pokemon Holon Phantoms,Armaldo #1,$11.01
889192,Pokemon Holon Phantoms,Armaldo [Reverse Holo] #1,$21.21
889138,Pokemon Holon Phantoms,Aron #58,$1.17
889249,Pokemon Holon Phantoms,Aron [Reverse Holo] #58,$6.60
889139,Pokemon Holon Phantoms,Baltoy #59,$1.46
889250,Pokemon Holon Phantoms,Baltoy [Reverse Holo] #59,$4.66
889140,Pokemon Holon Phantoms,Barboach #60,$0.74
889251,Pokemon Holon Phantoms,Barboach [Reverse Holo] #60,$4.62
889099,Pokemon Holon Phantoms,Bellossom #19,$3.17
889210,Pokemon Holon Phantoms,Bellossom [Reverse Holo] #19,$19.99
889100,Pokemon Holon Phantoms,Blaziken #20,$3.00
889211,Pokemon Holon Phantoms,Blaziken [Reverse Holo] #20,$32.50
11747646,Pokemon Holon Phantoms,Blister Pack,
2245049,Pokemon Holon Phantoms,Booster Box,$26770.80
2245050,Pokemon Holon Phantoms,Booster Pack,$869.08
889116,Pokemon Holon Phantoms,Camerupt #36,$2.81
889227,Pokemon Holon Phantoms,Camerupt [Reverse Holo] #36,$9.00
889141,Pokemon Holon Phantoms,Carvanha #61,$0.50
889252,Pokemon Holon Phantoms,Carvanha [Reverse Holo] #61,$8.04
889117,Pokemon Holon Phantoms,Chimecho #37,$1.70
889228,Pokemon Holon Phantoms,Chimecho [Reverse Holo] #37,$14.00
889171,Pokemon Holon Phantoms,Claw Fossil #91,$1.85
889280,Pokemon Holon Phantoms,Claw Fossil [Reverse Holo] #91,$4.60
889118,Pokemon Holon Phantoms,Claydol #38,$2.25
889229,Pokemon Holon Phantoms,Claydol [Reverse Holo] #38,$9.61
889119,Pokemon Holon Phantoms,Combusken #39,$1.75
889230,Pokemon Holon Phantoms,Combusken [Reverse Holo] #39,$15.80
889142,Pokemon Holon Phantoms,Corphish #62,$0.74
889143,Pokemon Holon Phantoms,Corphish #63,$1.24
889253,Pokemon Holon Phantoms,Corphish [Reverse Holo] #62,$7.93
889870,Pokemon Holon Phantoms,Corphish [Reverse Holo] #63,$5.43
889082,Pokemon Holon Phantoms,Cradily #2,$12.50
889193,Pokemon Holon Phantoms,Cradily [Reverse Holo] #2,$12.50
889179,Pokemon Holon Phantoms,Crawdaunt EX #99,$32.28
889177,Pokemon Holon Phantoms,Dark Metal Energy #97,$2.09
889286,Pokemon Holon Phantoms,Dark Metal Energy [Holo] #97,$9.87
889174,Pokemon Holon Phantoms,Darkness Energy #94,$3.00
889283,Pokemon Holon Phantoms,Darkness Energy [Reverse Holo] #94,$5.00
889083,Pokemon Holon Phantoms,Deoxys [Attack] #3,$27.50
889194,Pokemon Holon Phantoms,Deoxys [Attack] [Reverse Holo] #3,$51.70
889084,Pokemon Holon Phantoms,Deoxys [Defense] #4,$29.63
889195,Pokemon Holon Phantoms,Deoxys [Defense] [Reverse Holo] #4,$32.00
889085,Pokemon Holon Phantoms,Deoxys [Normal] #5,$34.89
889196,Pokemon Holon Phantoms,Deoxys [Normal] [Reverse Holo] #5,$33.17
889086,Pokemon Holon Phantoms,Deoxys [Speed] #6,$47.97
889197,Pokemon Holon Phantoms,Deoxys [Speed] [Reverse Holo] #6,$54.31
889120,Pokemon Holon Phantoms,Donphan #40,$1.76
889231,Pokemon Holon Phantoms,Donphan [Reverse Holo] #40,$12.58
4917000,Pokemon Holon Phantoms,Donphan [Stamped] #40,$8.95
889144,Pokemon Holon Phantoms,Electrike #64,$2.74
889254,Pokemon Holon Phantoms,Electrike [Reverse Holo] #64,$5.00
889145,Pokemon Holon Phantoms,Exeggcute #65,$1.99
889255,Pokemon Holon Phantoms,Exeggcute [Reverse Holo] #65,$9.81
4916996,Pokemon Holon Phantoms,Exeggcute [Stamped] #65,$10.10
889121,Pokemon Holon Phantoms,Exeggutor #41,$2.42
889232,Pokemon Holon Phantoms,Exeggutor [Reverse Holo] #41,$20.25
889190,Pokemon Holon Phantoms,Fighting Energy [Holo] #110,$5.22
889186,Pokemon Holon Phantoms,Fire Energy [Holo] #106,$7.00
889087,Pokemon Holon Phantoms,Flygon #7,$20.49
889198,Pokemon Holon Phantoms,Flygon [Reverse Holo] #7,$38.00
889122,Pokemon Holon Phantoms,Gloom #42,$1.94
889233,Pokemon Holon Phantoms,Gloom [Reverse Holo] #42,$12.00
889123,Pokemon Holon Phantoms,Golduck #43,$2.05
889234,Pokemon Holon Phantoms,Golduck [Reverse Holo] #43,$23.16
889185,Pokemon Holon Phantoms,Grass Energy [Holo] #105,$4.41
