id,console-name,product-name,loose-price
12893533,Pokemon Japanese 1998 Carddass,Armored Mewtwo #149,$502.30
5253946,Pokemon Japanese 1998 Carddass,Ash #24,$7.40
6666560,Pokemon Japanese 1998 Carddass,Ash & Blastoise #114,$10.24
5253933,Pokemon Japanese 1998 Carddass,Ash & Brock #11,$8.64
5253943,Pokemon Japanese 1998 Carddass,Ash & Brock #21,$12.99
5253934,Pokemon Japanese 1998 Carddass,Ash & Bulbasaur #12,$14.99
5253949,Pokemon Japanese 1998 Carddass,Ash & Charmander #27,$15.80
5254006,Pokemon Japanese 1998 Carddass,Ash & Friends #83,$9.99
8506370,Pokemon Japanese 1998 Carddass,Ash & Friends Movie #6,
5254045,Pokemon Japanese 1998 Carddass,Ash & Friends [Holo] #1,$120.00
5253964,Pokemon Japanese 1998 Carddass,Ash & Mystery Egg #42,$6.97
5254008,Pokemon Japanese 1998 Carddass,Ash & Nurse Joy #84,$24.99
5253967,Pokemon Japanese 1998 Carddass,Ash & Others #45,$279.99
5254038,Pokemon Japanese 1998 Carddass,Ash & Others [Holo] #111,
5253968,Pokemon Japanese 1998 Carddass,Ash & Others [Holo] #45,$59.13
5253931,Pokemon Japanese 1998 Carddass,Ash & Pidgeotto #9,$7.99
5254027,Pokemon Japanese 1998 Carddass,Ash & Pikachu #103,$24.99
5253959,Pokemon Japanese 1998 Carddass,Ash & Pikachu #37,$21.99
5253927,Pokemon Japanese 1998 Carddass,Ash & Pikachu #5,$19.99
5253991,Pokemon Japanese 1998 Carddass,Ash & Pikachu #67,$11.47
5254051,Pokemon Japanese 1998 Carddass,Ash & Pikachu #7,$6.61
5253997,Pokemon Japanese 1998 Carddass,Ash & Pikachu #74,$10.53
5254004,Pokemon Japanese 1998 Carddass,Ash & Pikachu #81,$11.97
5254036,Pokemon Japanese 1998 Carddass,Ash & Pikachu [Holo] #110,$127.49
5253951,Pokemon Japanese 1998 Carddass,Ash & Squirtle #29,$16.37
5254010,Pokemon Japanese 1998 Carddass,Ash & Weezing #86,$3.72
5879672,Pokemon Japanese 1998 Carddass,Ash Vs Danny [Anime Series] #236,
