id,console-name,product-name,loose-price
5880827,Pokemon Japanese 1999 Merlin,Abra #217,
5880730,Pokemon Japanese 1999 Merlin,Abra #63,
5880778,Pokemon Japanese 1999 Merlin,Aerodactyl #142,
5880829,Pokemon Japanese 1999 Merlin,Alakazam #219,
5880732,Pokemon Japanese 1999 Merlin,Alakazam #65,
5880810,Pokemon Japanese 1999 Merlin,Arcanine #182,
5880726,Pokemon Japanese 1999 Merlin,Arcanine #59,
5880780,Pokemon Japanese 1999 Merlin,Articuno #144,
5880822,Pokemon Japanese 1999 Merlin,Articuno #203,
5880838,Pokemon Japanese 1999 Merlin,Ash #237,
5880839,Pokemon Japanese 1999 Merlin,Ash #238,
5880840,Pokemon Japanese 1999 Merlin,Ash #239,
5880841,Pokemon Japanese 1999 Merlin,Ash #240,
5880892,Pokemon Japanese 1999 Merlin,Ash #S26,
5880787,Pokemon Japanese 1999 Merlin,Ash & Pikachu #151,
5880788,Pokemon Japanese 1999 Merlin,Ash & Pikachu #152,
5880789,Pokemon Japanese 1999 Merlin,Ash & Pikachu #153,
5880790,Pokemon Japanese 1999 Merlin,Ash & Pikachu #154,
5880844,Pokemon Japanese 1999 Merlin,Ash & Pikachu #S2,
5880898,Pokemon Japanese 1999 Merlin,Ash & Pikachu #S29,
5880850,Pokemon Japanese 1999 Merlin,Beedrill #S5,
5880818,Pokemon Japanese 1999 Merlin,Bellsprout #191,
7979650,Pokemon Japanese 1999 Merlin,Bellsprout #69,
5880834,Pokemon Japanese 1999 Merlin,Blastoise #231,
5880695,Pokemon Japanese 1999 Merlin,Blastoise #9,
5880848,Pokemon Japanese 1999 Merlin,Blastoise #S4,
5880894,Pokemon Japanese 1999 Merlin,Brock #S27,
5880687,Pokemon Japanese 1999 Merlin,Bulbasaur #1,
5880814,Pokemon Japanese 1999 Merlin,Bulbasaur #188,
5880697,Pokemon Japanese 1999 Merlin,Butterfree #12,
5880791,Pokemon Japanese 1999 Merlin,Butterfree #157,
10852216,Pokemon Japanese 1999 Merlin,Caterpie #10,
5880808,Pokemon Japanese 1999 Merlin,Charizard #180,$2.25
5880692,Pokemon Japanese 1999 Merlin,Charizard #6,
5880806,Pokemon Japanese 1999 Merlin,Charmander #178,
5880690,Pokemon Japanese 1999 Merlin,Charmander #4,
5880807,Pokemon Japanese 1999 Merlin,Charmeleon #179,
5880691,Pokemon Japanese 1999 Merlin,Charmeleon #5,
5880846,Pokemon Japanese 1999 Merlin,Charmeleon #S3,$3.49
5880711,Pokemon Japanese 1999 Merlin,Clefable #36,
5880710,Pokemon Japanese 1999 Merlin,Clefairy #35,
5880744,Pokemon Japanese 1999 Merlin,Cloyster #91,
5880752,Pokemon Japanese 1999 Merlin,Cubone #104,
13434754,Pokemon Japanese 1999 Merlin,Diglett #198,
5880718,Pokemon Japanese 1999 Merlin,Diglett #50,
5880771,Pokemon Japanese 1999 Merlin,Ditto #132,
5880826,Pokemon Japanese 1999 Merlin,Dodrio #210,
7979651,Pokemon Japanese 1999 Merlin,Dodrio #85,
5880784,Pokemon Japanese 1999 Merlin,Dragonair #148,
5880797,Pokemon Japanese 1999 Merlin,Dragonair #163,
5880785,Pokemon Japanese 1999 Merlin,Dragonite #149,$4.00
5880798,Pokemon Japanese 1999 Merlin,Dragonite #164,
5880783,Pokemon Japanese 1999 Merlin,Dratini #147,
5880796,Pokemon Japanese 1999 Merlin,Dratini #162,
5880772,Pokemon Japanese 1999 Merlin,Eevee #133,
5880882,Pokemon Japanese 1999 Merlin,Eevee #S21,
5880701,Pokemon Japanese 1999 Merlin,Ekans #23,
5880765,Pokemon Japanese 1999 Merlin,Electabuzz #125,
6058726,Pokemon Japanese 1999 Merlin,Electrode #170,
5880751,Pokemon Japanese 1999 Merlin,Exeggcute #102,
5880820,Pokemon Japanese 1999 Merlin,Exeggutor #195,
5880872,Pokemon Japanese 1999 Merlin,Exeggutor #S16,
7979655,Pokemon Japanese 1999 Merlin,Farfetch'D #208,
5880743,Pokemon Japanese 1999 Merlin,Farfetch'd #83,
7979647,Pokemon Japanese 1999 Merlin,Fearow #22,
5880775,Pokemon Japanese 1999 Merlin,Flareon #136,
5880902,Pokemon Japanese 1999 Merlin,Gary #S31,
5880811,Pokemon Japanese 1999 Merlin,Gastly #185,
5880745,Pokemon Japanese 1999 Merlin,Gastly #92,
5880813,Pokemon Japanese 1999 Merlin,Gengar #187,$10.00
5880747,Pokemon Japanese 1999 Merlin,Gengar #94,
5880870,Pokemon Japanese 1999 Merlin,Gengar #S15,$32.97
5880760,Pokemon Japanese 1999 Merlin,Goldeen #118,
5880836,Pokemon Japanese 1999 Merlin,Golduck #233,
5880722,Pokemon Japanese 1999 Merlin,Golduck #55,
6058725,Pokemon Japanese 1999 Merlin,Golem #224,
5880737,Pokemon Japanese 1999 Merlin,Golem #76,
5880736,Pokemon Japanese 1999 Merlin,Graveler #75,
5880809,Pokemon Japanese 1999 Merlin,Growlithe #181,
5880725,Pokemon Japanese 1999 Merlin,Growlithe #58,
5880769,Pokemon Japanese 1999 Merlin,Gyarados #130,
5880812,Pokemon Japanese 1999 Merlin,Haunter #186,
5880746,Pokemon Japanese 1999 Merlin,Haunter #93,
7095578,Pokemon Japanese 1999 Merlin,Hitmonlee #106,
5880758,Pokemon Japanese 1999 Merlin,Horsea #116,
5880748,Pokemon Japanese 1999 Merlin,Hypno #97,
5880815,Pokemon Japanese 1999 Merlin,Ivysaur #189,
5880688,Pokemon Japanese 1999 Merlin,Ivysaur #2,
5880912,Pokemon Japanese 1999 Merlin,James #S36,
8454827,Pokemon Japanese 1999 Merlin,James [Prism] #S36,$3.71
5880904,Pokemon Japanese 1999 Merlin,Jenny #S32,
5880910,Pokemon Japanese 1999 Merlin,Jessie #S35,
5880773,Pokemon Japanese 1999 Merlin,Jolteon #135,
5880908,Pokemon Japanese 1999 Merlin,Joy #S34,
5880764,Pokemon Japanese 1999 Merlin,Jynx #124,
5880821,Pokemon Japanese 1999 Merlin,Jynx #202,
11360173,Pokemon Japanese 1999 Merlin,Kabuto #140,
5880830,Pokemon Japanese 1999 Merlin,Kabuto #227,
5880777,Pokemon Japanese 1999 Merlin,Kabutops #141,
5880831,Pokemon Japanese 1999 Merlin,Kabutops #228,
5880828,Pokemon Japanese 1999 Merlin,Kadabra #218,
5880731,Pokemon Japanese 1999 Merlin,Kadabra #64,
5880698,Pokemon Japanese 1999 Merlin,Kakuna #14,
5880757,Pokemon Japanese 1999 Merlin,Kangaskhan #115,
5880755,Pokemon Japanese 1999 Merlin,Koffing #109,
5880749,Pokemon Japanese 1999 Merlin,Krabby #98,
5880770,Pokemon Japanese 1999 Merlin,Lapras #131,
5880754,Pokemon Japanese 1999 Merlin,Lickitung #108,
5880805,Pokemon Japanese 1999 Merlin,Machamp #175,
5880735,Pokemon Japanese 1999 Merlin,Machamp #68,
5880734,Pokemon Japanese 1999 Merlin,Machoke #67,
5880804,Pokemon Japanese 1999 Merlin,Machop #173,
5880733,Pokemon Japanese 1999 Merlin,Machop #66,
5880768,Pokemon Japanese 1999 Merlin,Magikarp #129,
5880880,Pokemon Japanese 1999 Merlin,Magikarp #S20,
5880766,Pokemon Japanese 1999 Merlin,Magmar #126,
5880801,Pokemon Japanese 1999 Merlin,Magnemite #167,
5880742,Pokemon Japanese 1999 Merlin,Magnemite #81,
5880723,Pokemon Japanese 1999 Merlin,Mankey #56,
5880753,Pokemon Japanese 1999 Merlin,Marowak #105,
5880719,Pokemon Japanese 1999 Merlin,Meowth #52,
5880862,Pokemon Japanese 1999 Merlin,Meowth #S11,
5880696,Pokemon Japanese 1999 Merlin,Metapod #11,
5880886,Pokemon Japanese 1999 Merlin,Mew #S23,
5880890,Pokemon Japanese 1999 Merlin,Mew #S25,
5880786,Pokemon Japanese 1999 Merlin,Mewtwo #150,
5880896,Pokemon Japanese 1999 Merlin,Misty #S28,$49.95
5880782,Pokemon Japanese 1999 Merlin,Moltres #146,
5880868,Pokemon Japanese 1999 Merlin,Muk #S14,
5880709,Pokemon Japanese 1999 Merlin,Nidoking #34,
5880707,Pokemon Japanese 1999 Merlin,Nidoqueen #31,
5880854,Pokemon Japanese 1999 Merlin,Nidoqueen #S7,
5880706,Pokemon Japanese 1999 Merlin,Nidoran #29,
7979648,Pokemon Japanese 1999 Merlin,Nidorina #30,
5880708,Pokemon Japanese 1999 Merlin,Nidorino #33,
5880713,Pokemon Japanese 1999 Merlin,Ninetales #38,
5880716,Pokemon Japanese 1999 Merlin,Oddish #43,
7095570,Pokemon Japanese 1999 Merlin,Omastar #226,
5880792,Pokemon Japanese 1999 Merlin,Paras #158,
5880858,Pokemon Japanese 1999 Merlin,Paras #S9,
5880793,Pokemon Japanese 1999 Merlin,Parasect #159,
5880825,Pokemon Japanese 1999 Merlin,Persian #207,
5880720,Pokemon Japanese 1999 Merlin,Persian #53,
7095576,Pokemon Japanese 1999 Merlin,Pidgeotto #17,
5880699,Pokemon Japanese 1999 Merlin,Pidgeotto #18,
5880799,Pokemon Japanese 1999 Merlin,Pikachu #165,
5880702,Pokemon Japanese 1999 Merlin,Pikachu #25,
5880842,Pokemon Japanese 1999 Merlin,Pikachu #S1,
5880900,Pokemon Japanese 1999 Merlin,Pikachu #S30,
5880852,Pokemon Japanese 1999 Merlin,Pikachu #S6,$6.99
5880767,Pokemon Japanese 1999 Merlin,Pinsir #127,
5880888,Pokemon Japanese 1999 Merlin,Pokeball #S24,
8454836,Pokemon Japanese 1999 Merlin,Pokeball [Prism] #S24,$5.39
8454832,Pokemon Japanese 1999 Merlin,Pokemon Stickers Pack #S1,
5880727,Pokemon Japanese 1999 Merlin,Poliwag #60,
5880837,Pokemon Japanese 1999 Merlin,Poliwhirl #235,
5880728,Pokemon Japanese 1999 Merlin,Poliwhirl #61,
5880864,Pokemon Japanese 1999 Merlin,Poliwhirl #S12,
5880729,Pokemon Japanese 1999 Merlin,Poliwrath #62,
7979652,Pokemon Japanese 1999 Merlin,Ponyta #183,
5880738,Pokemon Japanese 1999 Merlin,Ponyta #77,
5880776,Pokemon Japanese 1999 Merlin,Porygon #137,
5880803,Pokemon Japanese 1999 Merlin,Primeape #172,
5880724,Pokemon Japanese 1999 Merlin,Primeape #57,
5880906,Pokemon Japanese 1999 Merlin,Prof.Oak #S33,
5880835,Pokemon Japanese 1999 Merlin,Psyduck #232,
5880721,Pokemon Japanese 1999 Merlin,Psyduck #54,
5880860,Pokemon Japanese 1999 Merlin,Psyduck #S10,
5880800,Pokemon Japanese 1999 Merlin,Raichu #166,
5880703,Pokemon Japanese 1999 Merlin,Raichu #26,
5880739,Pokemon Japanese 1999 Merlin,Rapidash #78,
5880824,Pokemon Japanese 1999 Merlin,Raticate #205,
5880700,Pokemon Japanese 1999 Merlin,Rattata #19,
5880823,Pokemon Japanese 1999 Merlin,Rattata #204,
5880756,Pokemon Japanese 1999 Merlin,Rhydon #112,
10806819,Pokemon Japanese 1999 Merlin,Rhyhorn #200,
5880704,Pokemon Japanese 1999 Merlin,Sandshrew #27,
5880705,Pokemon Japanese 1999 Merlin,Sandslash #28,
5880763,Pokemon Japanese 1999 Merlin,Scyther #123,
5880878,Pokemon Japanese 1999 Merlin,Scyther #S19,
5880759,Pokemon Japanese 1999 Merlin,Seadra #117,
5880761,Pokemon Japanese 1999 Merlin,Seaking #119,
5880741,Pokemon Japanese 1999 Merlin,Slowbro #80,
5880740,Pokemon Japanese 1999 Merlin,Slowpoke #79,
5880866,Pokemon Japanese 1999 Merlin,Slowpoke #S13,$5.00
5880779,Pokemon Japanese 1999 Merlin,Snorlax #143,
5880884,Pokemon Japanese 1999 Merlin,Snorlax #S22,
5880832,Pokemon Japanese 1999 Merlin,Squirtle #229,
5880693,Pokemon Japanese 1999 Merlin,Squirtle #7,
5880762,Pokemon Japanese 1999 Merlin,Starmie #121,
5880876,Pokemon Japanese 1999 Merlin,Tangela #S18,
5880774,Pokemon Japanese 1999 Merlin,Vaporeon #134,
5880795,Pokemon Japanese 1999 Merlin,Venomoth #161,
5880794,Pokemon Japanese 1999 Merlin,Venonat #160,
5880717,Pokemon Japanese 1999 Merlin,Venonat #48,
5880816,Pokemon Japanese 1999 Merlin,Venusaur #190,
5880689,Pokemon Japanese 1999 Merlin,Venusaur #3,
5880819,Pokemon Japanese 1999 Merlin,Victreebel #193,
5880856,Pokemon Japanese 1999 Merlin,Vileplume #S8,$49.99
5880750,Pokemon Japanese 1999 Merlin,Voltorb #100,
5880802,Pokemon Japanese 1999 Merlin,Voltorb #169,
5880712,Pokemon Japanese 1999 Merlin,Vulpix #37,
5880833,Pokemon Japanese 1999 Merlin,Wartortle #230,
5880694,Pokemon Japanese 1999 Merlin,Wartortle #8,
7979646,Pokemon Japanese 1999 Merlin,Weedle #13,
5880817,Pokemon Japanese 1999 Merlin,Weepinbell #192,
10806825,Pokemon Japanese 1999 Merlin,Weezing #110,
5880874,Pokemon Japanese 1999 Merlin,Weezing #S17,
5880714,Pokemon Japanese 1999 Merlin,Wigglytuff #40,
