id,console-name,product-name,loose-price
5278795,Pokemon Japanese 2002 McDonald's,Abra #13,$37.69
13118672,Pokemon Japanese 2002 McDonald's,Booster Pack,$3500.00
5278783,Pokemon Japanese 2002 McDonald's,Bulbasaur #1,$115.66
5278786,Pokemon Japanese 2002 McDonald's,Charmander [Holo] #4,$466.87
5278785,Pokemon Japanese 2002 McDonald's,Chikorita [Holo] #3,$187.91
5278793,Pokemon Japanese 2002 McDonald's,Chinchou #11,$30.31
5278788,Pokemon Japanese 2002 McDonald's,Cyndaquil #6,$40.00
5278801,Pokemon Japanese 2002 McDonald's,Fighting Energy,$4.88
5278802,Pokemon Japanese 2002 McDonald's,Fighting Energy [Holo],$20.68
5278803,Pokemon Japanese 2002 McDonald's,Fire Energy,$8.28
5278804,Pokemon Japanese 2002 McDonald's,Fire Energy [Holo],$45.00
5278805,Pokemon Japanese 2002 McDonald's,Grass Energy,$2.29
5278806,Pokemon Japanese 2002 McDonald's,Grass Energy [Holo],$22.70
5278800,Pokemon Japanese 2002 McDonald's,Larvitar [Holo] #18,$158.50
5278807,Pokemon Japanese 2002 McDonald's,Lightning Energy,$6.58
5278808,Pokemon Japanese 2002 McDonald's,Lightning Energy [Holo],$23.06
5278794,Pokemon Japanese 2002 McDonald's,Mareep #12,$55.11
5278791,Pokemon Japanese 2002 McDonald's,Marill #9,$59.65
5278797,Pokemon Japanese 2002 McDonald's,Natu #15,$28.99
5278784,Pokemon Japanese 2002 McDonald's,Oddish #2,$35.00
5278799,Pokemon Japanese 2002 McDonald's,Phanpy #17,$37.41
5278792,Pokemon Japanese 2002 McDonald's,Pikachu [Holo] #10,$435.85
5278809,Pokemon Japanese 2002 McDonald's,Psychic Energy,$47.57
5278810,Pokemon Japanese 2002 McDonald's,Psychic Energy [Holo],$31.45
5278798,Pokemon Japanese 2002 McDonald's,Sandshrew #16,$41.44
5278796,Pokemon Japanese 2002 McDonald's,Slowpoke [Holo] #14,$210.70
5278789,Pokemon Japanese 2002 McDonald's,Squirtle [Holo] #7,$1350.00
5278790,Pokemon Japanese 2002 McDonald's,Totodile #8,$75.53
5278787,Pokemon Japanese 2002 McDonald's,Vulpix #5,$52.92
5278811,Pokemon Japanese 2002 McDonald's,Water Energy,$54.60
5278812,Pokemon Japanese 2002 McDonald's,Water Energy [Holo],$60.13
