id,console-name,product-name,loose-price
8945445,Pokemon Japanese 20th Anniversary,3-Pack Blister,$2645.07
3506750,Pokemon Japanese 20th Anniversary,Arcanine [1st Edition] #18,$3.17
3506751,Pokemon Japanese 20th Anniversary,Beedrill [1st Edition] #7,$2.84
3506752,Pokemon Japanese 20th Anniversary,Blastoise EX [1st Edition] #21,$17.97
3506753,Pokemon Japanese 20th Anniversary,Blastoise EX [1st Edition] #92,$313.84
3506754,Pokemon Japanese 20th Anniversary,Blastoise Spirit Link [1st Edition] #80,$6.03
4956656,Pokemon Japanese 20th Anniversary,Booster Box,$9999.49
11560002,Pokemon Japanese 20th Anniversary,Booster Pack,$395.00
3506755,Pokemon Japanese 20th Anniversary,Brock's Grit [1st Edition] #100,$95.50
3506756,Pokemon Japanese 20th Anniversary,Brock's Grit [1st Edition] #86,$2.27
3506757,Pokemon Japanese 20th Anniversary,Caterpie [1st Edition] #3,$2.32
3506758,Pokemon Japanese 20th Anniversary,Chansey [1st Edition] #68,$7.64
3506760,Pokemon Japanese 20th Anniversary,Charizard EX [1st Edition] #12,$28.99
3506761,Pokemon Japanese 20th Anniversary,Charizard EX [1st Edition] #90,$590.25
3506762,Pokemon Japanese 20th Anniversary,Charizard Spirit Link [1st Edition] #83,$17.23
3506759,Pokemon Japanese 20th Anniversary,Charizard [1st Edition] #11,$170.00
3506763,Pokemon Japanese 20th Anniversary,Charmander [1st Edition] #9,$3.49
3506764,Pokemon Japanese 20th Anniversary,Charmeleon [1st Edition] #10,$4.50
3506765,Pokemon Japanese 20th Anniversary,Clefairy [1st Edition] #61,$9.99
3506766,Pokemon Japanese 20th Anniversary,Devolution Spray [1st Edition] #75,$6.99
3506767,Pokemon Japanese 20th Anniversary,Dewgong [1st Edition] #27,$2.64
3506768,Pokemon Japanese 20th Anniversary,Diglett [1st Edition] #53,$2.01
3506951,Pokemon Japanese 20th Anniversary,Doduo [1st Edition] #67,$1.99
3506769,Pokemon Japanese 20th Anniversary,Double Colorless Energy [1st Edition] #87,$2.84
3506770,Pokemon Japanese 20th Anniversary,Dragonite EX [1st Edition] #70,$24.91
3506771,Pokemon Japanese 20th Anniversary,Dragonite EX [1st Edition] #98,$308.13
3506772,Pokemon Japanese 20th Anniversary,Drowzee [1st Edition] #47,$2.31
3506952,Pokemon Japanese 20th Anniversary,Dugtrio [1st Edition] #54,$3.06
3506773,Pokemon Japanese 20th Anniversary,Electabuzz [1st Edition] #39,$2.48
3506774,Pokemon Japanese 20th Anniversary,Electrode [1st Edition] #38,$2.34
3506775,Pokemon Japanese 20th Anniversary,Energy Retrieval [1st Edition] #72,$3.99
3506776,Pokemon Japanese 20th Anniversary,Exeggutor [1st Edition] #101,$25.99
3506777,Pokemon Japanese 20th Anniversary,Farfetch'd [1st Edition] #66,$3.00
3506778,Pokemon Japanese 20th Anniversary,Full Heal [1st Edition] #76,$1.71
3506779,Pokemon Japanese 20th Anniversary,Gastly [1st Edition] #45,$3.71
3506780,Pokemon Japanese 20th Anniversary,Growlithe [1st Edition] #17,$3.16
3506781,Pokemon Japanese 20th Anniversary,Gyarados [1st Edition] #32,$14.99
3506782,Pokemon Japanese 20th Anniversary,Haunter [1st Edition] #46,$3.51
3506783,Pokemon Japanese 20th Anniversary,Here Comes Team Rocket! [1st Edition] #103,$44.00
