id,console-name,product-name,loose-price
6147580,Pokemon Japanese 25th Anniversary Collection,Booster Box,$344.27
6948762,Pokemon Japanese 25th Anniversary Collection,Booster Pack,$21.83
3449684,Pokemon Japanese 25th Anniversary Collection,Cosmoem #15,$1.99
7084191,Pokemon Japanese 25th Anniversary Collection,Cosmoem [Reverse Holo] #15,$10.33
3449683,Pokemon Japanese 25th Anniversary Collection,Cosmog #14,$2.57
5528999,Pokemon Japanese 25th Anniversary Collection,Cosmog [Reverse Holo] #14,$9.35
3449706,Pokemon Japanese 25th Anniversary Collection,Darkness Energy,$3.13
3449677,Pokemon Japanese 25th Anniversary Collection,Dialga #8,$2.23
10335244,Pokemon Japanese 25th Anniversary Collection,Dialga [Reverse Holo] #8,$5.99
3449705,Pokemon Japanese 25th Anniversary Collection,Fighting Energy,$1.98
3449701,Pokemon Japanese 25th Anniversary Collection,Fire Energy,$1.51
8330914,Pokemon Japanese 25th Anniversary Collection,Fire Energy [Holo],$1.87
3449692,Pokemon Japanese 25th Anniversary Collection,Flying Pikachu V #23,$7.50
3449693,Pokemon Japanese 25th Anniversary Collection,Flying Pikachu VMAX #24,$14.36
3449700,Pokemon Japanese 25th Anniversary Collection,Grass Energy,$0.94
3449675,Pokemon Japanese 25th Anniversary Collection,Groudon #6,$2.53
10506124,Pokemon Japanese 25th Anniversary Collection,Groudon [Reverse Holo] #6,$7.09
3449673,Pokemon Japanese 25th Anniversary Collection,Ho-Oh #4,$3.44
3449676,Pokemon Japanese 25th Anniversary Collection,Kyogre #7,$2.32
7386946,Pokemon Japanese 25th Anniversary Collection,Kyogre [Reverse Holo] #7,$6.32
3449703,Pokemon Japanese 25th Anniversary Collection,Lightning Energy,$3.66
3684126,Pokemon Japanese 25th Anniversary Collection,Lightning Energy [Holo],$1.25
3449674,Pokemon Japanese 25th Anniversary Collection,Lugia #5,$3.19
10336818,Pokemon Japanese 25th Anniversary Collection,Lugia [Reverse Holo] #5,$13.96
3449686,Pokemon Japanese 25th Anniversary Collection,Lunala #17,$2.77
6550893,Pokemon Japanese 25th Anniversary Collection,Lunala [Reverse Holo] #17,$7.11
3449707,Pokemon Japanese 25th Anniversary Collection,Metal Energy,$1.49
3449671,Pokemon Japanese 25th Anniversary Collection,Mew #2,$5.80
3449699,Pokemon Japanese 25th Anniversary Collection,Mew #30,$117.67
5700637,Pokemon Japanese 25th Anniversary Collection,Mew [Reverse Holo] #2,$38.05
3449678,Pokemon Japanese 25th Anniversary Collection,Palkia #9,$1.96
8942238,Pokemon Japanese 25th Anniversary Collection,Palkia [Reverse Holo] #9,$4.86
3449670,Pokemon Japanese 25th Anniversary Collection,Pikachu #1,$8.68
3449689,Pokemon Japanese 25th Anniversary Collection,Pikachu V #20,$6.75
3449694,Pokemon Japanese 25th Anniversary Collection,Pikachu V-UNION #25,$7.99
3449695,Pokemon Japanese 25th Anniversary Collection,Pikachu V-UNION #26,$8.38
3449696,Pokemon Japanese 25th Anniversary Collection,Pikachu V-UNION #27,$10.92
3449697,Pokemon Japanese 25th Anniversary Collection,Pikachu V-UNION #28,$10.68
4892595,Pokemon Japanese 25th Anniversary Collection,Pikachu [Reverse Holo] #1,$25.14
3684121,Pokemon Japanese 25th Anniversary Collection,Poke Ball [Holo] #11,$2.00
3449698,Pokemon Japanese 25th Anniversary Collection,Professor's Research #29,$2.52
3449672,Pokemon Japanese 25th Anniversary Collection,Professor's Research #3,$2.27
11314366,Pokemon Japanese 25th Anniversary Collection,Professor's Research [Reverse Holo] #3,$3.32
3449704,Pokemon Japanese 25th Anniversary Collection,Psychic Energy,$1.01
8330912,Pokemon Japanese 25th Anniversary Collection,Psychic Energy [Holo],$2.49
3449679,Pokemon Japanese 25th Anniversary Collection,Reshiram #10,$2.47
5156308,Pokemon Japanese 25th Anniversary Collection,Reshiram [Reverse Holo] #10,$3.96
3449685,Pokemon Japanese 25th Anniversary Collection,Solgaleo #16,$2.41
5529004,Pokemon Japanese 25th Anniversary Collection,Solgaleo [Reverse Holo] #16,$3.59
10811193,Pokemon Japanese 25th Anniversary Collection,Special Collection Box,$402.99
3449690,Pokemon Japanese 25th Anniversary Collection,Surfing Pikachu V #21,$8.51
3449691,Pokemon Japanese 25th Anniversary Collection,Surfing Pikachu VMAX #22,$11.82
3449702,Pokemon Japanese 25th Anniversary Collection,Water Energy,$1.26
8330915,Pokemon Japanese 25th Anniversary Collection,Water Energy [Holo],$1.49
3449681,Pokemon Japanese 25th Anniversary Collection,Xerneas #12,$2.70
3449682,Pokemon Japanese 25th Anniversary Collection,Yveltal #13,$2.00
10338322,Pokemon Japanese 25th Anniversary Collection,Yveltal [Reverse Holo] #13,$3.85
3449687,Pokemon Japanese 25th Anniversary Collection,Zacian V #18,$2.09
3449688,Pokemon Japanese 25th Anniversary Collection,Zamazenta V #19,$2.09
3449680,Pokemon Japanese 25th Anniversary Collection,Zekrom #11,$2.24
8879358,Pokemon Japanese 25th Anniversary Collection,Zekrom [Reverse Holo] #11,$8.39
