id,console-name,product-name,loose-price
3684133,Pokemon Japanese 25th Anniversary Promo,'s Pikachu #7,$177.60
3684129,Pokemon Japanese 25th Anniversary Promo,Blastoise #3,$76.35
5978408,Pokemon Japanese 25th Anniversary Promo,Booster Pack,$164.62
3684127,Pokemon Japanese 25th Anniversary Promo,Charizard #1,$480.00
3684142,Pokemon Japanese 25th Anniversary Promo,Claydol #16,$3.70
3684135,Pokemon Japanese 25th Anniversary Promo,Cleffa #9,$16.31
3684131,Pokemon Japanese 25th Anniversary Promo,Dark Gyarados #5,$47.38
3684145,Pokemon Japanese 25th Anniversary Promo,Donphan #19,$4.88
4193605,Pokemon Japanese 25th Anniversary Promo,Garchomp C LV. X #18,$20.29
3684141,Pokemon Japanese 25th Anniversary Promo,Gardevoir EX #15,$17.72
3684132,Pokemon Japanese 25th Anniversary Promo,Here Comes Team Rocket! #6,$25.64
3684130,Pokemon Japanese 25th Anniversary Promo,Imposter Professor Oak #4,$6.09
4193604,Pokemon Japanese 25th Anniversary Promo,Luxray LV.X #17,$9.85
3684150,Pokemon Japanese 25th Anniversary Promo,M Rayquaza EX #24,$110.00
3684140,Pokemon Japanese 25th Anniversary Promo,Mew ex #14,$51.64
3684148,Pokemon Japanese 25th Anniversary Promo,Mewtwo EX #22,$29.10
3684146,Pokemon Japanese 25th Anniversary Promo,Reshiram #20,$53.00
3684139,Pokemon Japanese 25th Anniversary Promo,Rocket's Admin. #13,$6.43
3684134,Pokemon Japanese 25th Anniversary Promo,Rocket's Zapdos #8,$19.92
3684136,Pokemon Japanese 25th Anniversary Promo,Shining Magikarp #10,$104.99
3684151,Pokemon Japanese 25th Anniversary Promo,Tapu Lele GX #25,$6.23
3684137,Pokemon Japanese 25th Anniversary Promo,Team Magma's Groudon #11,$22.93
4193602,Pokemon Japanese 25th Anniversary Promo,Umbreon #12,$241.43
3684128,Pokemon Japanese 25th Anniversary Promo,Venusaur #2,$64.90
3684149,Pokemon Japanese 25th Anniversary Promo,Xerneas EX #23,$6.45
3684147,Pokemon Japanese 25th Anniversary Promo,Zekrom #21,$55.60
