id,console-name,product-name,loose-price
13014120,Pokemon Japanese Abyss Eye,Annihilape #39,$1.35
13014152,Pokemon Japanese Abyss Eye,Antique Armor Fossil #72,$1.50
13014164,Pokemon Japanese Abyss Eye,Antique Skull Fossil #71,$1.50
13014097,Pokemon Japanese Abyss Eye,Armarouge #11,$1.82
13077434,Pokemon Japanese Abyss Eye,Armarouge #83,$3.94
13014116,Pokemon Japanese Abyss Eye,Banette #32,$1.48
13014138,Pokemon Japanese Abyss Eye,Bastiodon #60,$1.99
13077418,Pokemon Japanese Abyss Eye,Bastiodon #91,$3.26
13014147,Pokemon Japanese Abyss Eye,Bombirdier #69,
13077459,Pokemon Japanese Abyss Eye,Booster Box,$84.91
13077456,Pokemon Japanese Abyss Eye,Booster Pack,$12.41
13077402,Pokemon Japanese Abyss Eye,Brave Bangle #107,$1.52
13014104,Pokemon Japanese Abyss Eye,Brionne #18,$1.59
13014148,Pokemon Japanese Abyss Eye,Bronzong #62,$1.20
13014140,Pokemon Japanese Abyss Eye,Bronzor #61,$1.49
13014095,Pokemon Japanese Abyss Eye,Centiskorch #9,$1.35
13014096,Pokemon Japanese Abyss Eye,Charcadet #10,$1.49
13014123,Pokemon Japanese Abyss Eye,Charjabug #24,$1.35
13014135,Pokemon Japanese Abyss Eye,Chi-Yu #57,$1.49
13014124,Pokemon Japanese Abyss Eye,Cranidos #42,$1.10
13077401,Pokemon Japanese Abyss Eye,Crushing Hammer #104,$1.50
13077412,Pokemon Japanese Abyss Eye,Dark Bell #105,$2.26
13014167,Pokemon Japanese Abyss Eye,Dark Bell #70,$1.47
13014118,Pokemon Japanese Abyss Eye,Dhelmise #37,$1.67
13077423,Pokemon Japanese Abyss Eye,Dhelmise #88,$4.15
13014125,Pokemon Japanese Abyss Eye,Drilbur #44,$1.35
13014149,Pokemon Japanese Abyss Eye,Electrike #22,$1.35
13077400,Pokemon Japanese Abyss Eye,Energy Switch #103,$2.85
13014106,Pokemon Japanese Abyss Eye,Finizen #20,$1.40
13014089,Pokemon Japanese Abyss Eye,Fomantis #3,$1.46
13077446,Pokemon Japanese Abyss Eye,Fomantis #82,$4.39
13014157,Pokemon Japanese Abyss Eye,Fossil Excavation Site #79,$1.49
13077458,Pokemon Japanese Abyss Eye,Gladion's Showdown #109,$6.93
13077455,Pokemon Japanese Abyss Eye,Gladion's Showdown #116,$14.36
13077452,Pokemon Japanese Abyss Eye,Gladion's Showdown #76,$1.49
13014098,Pokemon Japanese Abyss Eye,Goldeen #12,$1.51
13077435,Pokemon Japanese Abyss Eye,Goldeen #84,$5.96
13014088,Pokemon Japanese Abyss Eye,Grubbin #2,$1.20
13077424,Pokemon Japanese Abyss Eye,Gwynn #111,$16.19
13014158,Pokemon Japanese Abyss Eye,Gwynn #117,$38.85
13014155,Pokemon Japanese Abyss Eye,Gwynn #78,$1.53
13014093,Pokemon Japanese Abyss Eye,Heatran #7,$1.32
13014133,Pokemon Japanese Abyss Eye,Inkay #49,$1.50
13077403,Pokemon Japanese Abyss Eye,Iron Defender #102,$1.92
13014112,Pokemon Japanese Abyss Eye,Jynx #30,$1.10
