id,console-name,product-name,loose-price
3459883,Pokemon Japanese Advent of Arceus,Aerodactyl #51,$2.49
3506626,Pokemon Japanese Advent of Arceus,Aerodactyl [1st Edition] #51,$3.42
3459861,Pokemon Japanese Advent of Arceus,Arceus #29,$36.00
3459890,Pokemon Japanese Advent of Arceus,Arceus #58,$18.49
3459892,Pokemon Japanese Advent of Arceus,Arceus #60,$29.70
3459897,Pokemon Japanese Advent of Arceus,Arceus #65,$28.44
3459908,Pokemon Japanese Advent of Arceus,Arceus #76,$18.08
3459909,Pokemon Japanese Advent of Arceus,Arceus LV.X #77,$17.00
3506651,Pokemon Japanese Advent of Arceus,Arceus LV.X [1st Edition] #77,$9.99
3506604,Pokemon Japanese Advent of Arceus,Arceus [1st Edition] #29,$31.32
3506633,Pokemon Japanese Advent of Arceus,Arceus [1st Edition] #58,$19.91
3506635,Pokemon Japanese Advent of Arceus,Arceus [1st Edition] #60,$32.49
3506640,Pokemon Japanese Advent of Arceus,Arceus [1st Edition] #65,$19.99
3506650,Pokemon Japanese Advent of Arceus,Arceus [1st Edition] #76,$28.50
3459900,Pokemon Japanese Advent of Arceus,Bagon #68,$3.57
3459901,Pokemon Japanese Advent of Arceus,Bagon #69,$32.00
3506643,Pokemon Japanese Advent of Arceus,Bagon [1st Edition] #68,$1.79
3506644,Pokemon Japanese Advent of Arceus,Bagon [1st Edition] #69,$33.50
3459919,Pokemon Japanese Advent of Arceus,Bebe's Search #89,$2.49
3506662,Pokemon Japanese Advent of Arceus,Bebe's Search [1st Edition] #89,$1.99
3462718,Pokemon Japanese Advent of Arceus,Beedrill G #1,$2.69
3506576,Pokemon Japanese Advent of Arceus,Beedrill G [1st Edition] #1,$3.57
3459911,Pokemon Japanese Advent of Arceus,Beginning Door #79,$2.37
3506653,Pokemon Japanese Advent of Arceus,Beginning Door [1st Edition] #79,$1.99
3459916,Pokemon Japanese Advent of Arceus,Bench Shield #86,$3.09
3506659,Pokemon Japanese Advent of Arceus,Bench Shield [1st Edition] #86,$3.74
13118423,Pokemon Japanese Advent of Arceus,Booster Box,
13118422,Pokemon Japanese Advent of Arceus,Booster Pack,$713.38
3459895,Pokemon Japanese Advent of Arceus,Bronzong #63,$1.88
3506638,Pokemon Japanese Advent of Arceus,Bronzong [1st Edition] #63,$2.00
3459894,Pokemon Japanese Advent of Arceus,Bronzor #62,$2.34
3506637,Pokemon Japanese Advent of Arceus,Bronzor [1st Edition] #62,$2.05
3459905,Pokemon Japanese Advent of Arceus,Buneary #73,$1.95
3506648,Pokemon Japanese Advent of Arceus,Buneary [1st Edition] #73,$1.99
3462721,Pokemon Japanese Advent of Arceus,Burmy #10,$2.39
3462719,Pokemon Japanese Advent of Arceus,Burmy #8,$1.83
3462720,Pokemon Japanese Advent of Arceus,Burmy #9,$2.99
3506585,Pokemon Japanese Advent of Arceus,Burmy [1st Edition] #10,$1.99
3506583,Pokemon Japanese Advent of Arceus,Burmy [1st Edition] #8,$1.31
3506584,Pokemon Japanese Advent of Arceus,Burmy [1st Edition] #9,$1.99
3459849,Pokemon Japanese Advent of Arceus,Charizard #17,$48.11
3506592,Pokemon Japanese Advent of Arceus,Charizard [1st Edition] #17,$35.34
3459847,Pokemon Japanese Advent of Arceus,Charmander #15,$4.00
3506590,Pokemon Japanese Advent of Arceus,Charmander [1st Edition] #15,$6.51
3459848,Pokemon Japanese Advent of Arceus,Charmeleon #16,$2.87
3506591,Pokemon Japanese Advent of Arceus,Charmeleon [1st Edition] #16,$8.49
3459846,Pokemon Japanese Advent of Arceus,Cherrim #14,$3.21
3506589,Pokemon Japanese Advent of Arceus,Cherrim [1st Edition] #14,$2.99
3459845,Pokemon Japanese Advent of Arceus,Cherubi #13,$2.63
3506588,Pokemon Japanese Advent of Arceus,Cherubi [1st Edition] #13,$4.07
3459888,Pokemon Japanese Advent of Arceus,Croagunk #56,$2.74
3506631,Pokemon Japanese Advent of Arceus,Croagunk [1st Edition] #56,$2.69
3459918,Pokemon Japanese Advent of Arceus,Department Girl #88,$2.99
3506661,Pokemon Japanese Advent of Arceus,Department Girl [1st Edition] #88,$2.99
3459921,Pokemon Japanese Advent of Arceus,Dome Fossil #82,$2.74
3506655,Pokemon Japanese Advent of Arceus,Dome Fossil [1st Edition] #82,$3.00
3459866,Pokemon Japanese Advent of Arceus,Electrike #34,$1.82
