id,console-name,product-name,loose-price
3470328,Pokemon Japanese Alter Genesis,Adventure Bag #93,$2.99
3470310,Pokemon Japanese Alter Genesis,Aipom #75,$1.99
3470291,Pokemon Japanese Alter Genesis,Alolan Ninetales #56,$3.98
3470286,Pokemon Japanese Alter Genesis,Alolan Sandshrew #51,$2.44
3470287,Pokemon Japanese Alter Genesis,Alolan Sandslash #52,$1.89
3470251,Pokemon Japanese Alter Genesis,Alolan Vulpix #16,$3.42
3470311,Pokemon Japanese Alter Genesis,Ambipom #76,$1.52
3470280,Pokemon Japanese Alter Genesis,Anorith #45,$1.45
3470335,Pokemon Japanese Alter Genesis,Arceus & Dialga & Palkia GX #100,$502.50
3470348,Pokemon Japanese Alter Genesis,Arceus & Dialga & Palkia GX #112,$62.07
3470300,Pokemon Japanese Alter Genesis,Arceus & Dialga & Palkia GX #65,$17.02
3470334,Pokemon Japanese Alter Genesis,Arceus & Dialga & Palkia GX #99,$43.74
3470281,Pokemon Japanese Alter Genesis,Armaldo #46,$2.99
3470292,Pokemon Japanese Alter Genesis,Azurill #57,$6.71
3470321,Pokemon Japanese Alter Genesis,Beastite #86,$0.50
3470260,Pokemon Japanese Alter Genesis,Black Kyurem #25,$2.21
4621232,Pokemon Japanese Alter Genesis,Booster Box,$393.04
11500381,Pokemon Japanese Alter Genesis,Booster Pack,$15.93
3470315,Pokemon Japanese Alter Genesis,Braviary #80,$1.63
3470245,Pokemon Japanese Alter Genesis,Buzzwole #11,$2.29
3470326,Pokemon Japanese Alter Genesis,Chaotic Swell #91,$2.95
3470327,Pokemon Japanese Alter Genesis,Cherish Ball #92,$2.95
3470261,Pokemon Japanese Alter Genesis,Chinchou #26,$2.02
3470273,Pokemon Japanese Alter Genesis,Cosmoem #38,$2.01
3470271,Pokemon Japanese Alter Genesis,Cosmog #36,$1.79
3470272,Pokemon Japanese Alter Genesis,Cosmog #37,$1.03
3470238,Pokemon Japanese Alter Genesis,Cradily #4,$1.98
3470342,Pokemon Japanese Alter Genesis,Cynthia & Caitlin #106,$130.12
3470323,Pokemon Japanese Alter Genesis,Cynthia & Caitlin #88,$2.99
3470243,Pokemon Japanese Alter Genesis,Dartrix #9,$1.98
3470244,Pokemon Japanese Alter Genesis,Decidueye #10,$2.61
3470269,Pokemon Japanese Alter Genesis,Dragalge #34,$1.99
3470302,Pokemon Japanese Alter Genesis,Drampa #67,$1.98
3470258,Pokemon Japanese Alter Genesis,Ducklett #23,$1.54
3470309,Pokemon Japanese Alter Genesis,Eevee #74,$2.97
3470293,Pokemon Japanese Alter Genesis,Flabebe #58,$1.99
3470294,Pokemon Japanese Alter Genesis,Flabebe #59,$1.98
3470295,Pokemon Japanese Alter Genesis,Floette #60,$2.57
3470296,Pokemon Japanese Alter Genesis,Florges #61,$2.53
3470347,Pokemon Japanese Alter Genesis,Flygon GX #111,$18.70
3470279,Pokemon Japanese Alter Genesis,Flygon GX #44,$3.49
3470333,Pokemon Japanese Alter Genesis,Flygon GX #98,$7.80
3470353,Pokemon Japanese Alter Genesis,Giant Hearth #117,$8.32
3470253,Pokemon Japanese Alter Genesis,Glalie #18,$1.98
3470266,Pokemon Japanese Alter Genesis,Golett #31,$1.98
3470267,Pokemon Japanese Alter Genesis,Golurk #32,$1.90
3470340,Pokemon Japanese Alter Genesis,Guzma & Hala #105,$25.24
3470322,Pokemon Japanese Alter Genesis,Guzma & Hala #87,$3.95
3470305,Pokemon Japanese Alter Genesis,Hakamo-o #70,$1.78
3470317,Pokemon Japanese Alter Genesis,Heliolisk #82,$1.89
3470316,Pokemon Japanese Alter Genesis,Helioptile #81,$1.98
3470352,Pokemon Japanese Alter Genesis,Island Challenge Amulet #116,$6.20
3470320,Pokemon Japanese Alter Genesis,Island Challenge Amulet #85,$0.75
3470303,Pokemon Japanese Alter Genesis,Jangmo-o #68,$1.99
3470304,Pokemon Japanese Alter Genesis,Jangmo-o #69,$2.64
3470306,Pokemon Japanese Alter Genesis,Kommo-o #71,$2.63
3470239,Pokemon Japanese Alter Genesis,Kricketot #5,$2.86
3470240,Pokemon Japanese Alter Genesis,Kricketune #6,$2.99
3470262,Pokemon Japanese Alter Genesis,Lanturn #27,$1.98
3470246,Pokemon Japanese Alter Genesis,Larvesta #12,$1.99
3470237,Pokemon Japanese Alter Genesis,Lileep #3,$1.89
3470249,Pokemon Japanese Alter Genesis,Litleo #14,$1.84
3470274,Pokemon Japanese Alter Genesis,Lunala #39,$1.99
3470283,Pokemon Japanese Alter Genesis,Lycanroc #48,$2.44
3470343,Pokemon Japanese Alter Genesis,Mallow & Lana #107,$108.64
3470324,Pokemon Japanese Alter Genesis,Mallow & Lana #89,$2.95
3470288,Pokemon Japanese Alter Genesis,Mawile #53,$2.96
3470338,Pokemon Japanese Alter Genesis,Mega Lopunny & Jigglypuff GX #103,$26.70
3470339,Pokemon Japanese Alter Genesis,Mega Lopunny & Jigglypuff GX #104,$154.05
3470350,Pokemon Japanese Alter Genesis,Mega Lopunny & Jigglypuff GX #114,$32.99
3470308,Pokemon Japanese Alter Genesis,Mega Lopunny & Jigglypuff GX #73,$12.77
3470336,Pokemon Japanese Alter Genesis,Naganadel & Guzzlord GX #101,$18.26
3470337,Pokemon Japanese Alter Genesis,Naganadel & Guzzlord GX #102,$69.99
3470349,Pokemon Japanese Alter Genesis,Naganadel & Guzzlord GX #113,$23.59
3470301,Pokemon Japanese Alter Genesis,Naganadel & Guzzlord GX #66,$6.66
3470275,Pokemon Japanese Alter Genesis,Nosepass #40,$1.74
3470346,Pokemon Japanese Alter Genesis,Oricorio GX #110,$14.79
3470270,Pokemon Japanese Alter Genesis,Oricorio GX #35,$2.24
3470332,Pokemon Japanese Alter Genesis,Oricorio GX #97,$5.65
3470285,Pokemon Japanese Alter Genesis,Palossand #50,$1.98
3470329,Pokemon Japanese Alter Genesis,Pokemon Communication #94,$5.32
3470289,Pokemon Japanese Alter Genesis,Probopass #54,$2.50
3470330,Pokemon Japanese Alter Genesis,Professor Elm's Lecture #95,$9.30
3470250,Pokemon Japanese Alter Genesis,Pyroar #15,$2.41
3470345,Pokemon Japanese Alter Genesis,Red & Blue #108,$83.70
3470325,Pokemon Japanese Alter Genesis,Red & Blue #90,$2.99
3470282,Pokemon Japanese Alter Genesis,Rockruff #47,$1.99
3470241,Pokemon Japanese Alter Genesis,Rowlet #7,$3.27
3470242,Pokemon Japanese Alter Genesis,Rowlet #8,$1.94
3470314,Pokemon Japanese Alter Genesis,Rufflet #79,$1.79
3470284,Pokemon Japanese Alter Genesis,Sandygast #49,$2.24
3470256,Pokemon Japanese Alter Genesis,Sealeo #21,$1.99
3470268,Pokemon Japanese Alter Genesis,Skrelp #33,$1.79
3470298,Pokemon Japanese Alter Genesis,Slurpuff #63,$2.46
3470252,Pokemon Japanese Alter Genesis,Snorunt #17,$2.32
3470290,Pokemon Japanese Alter Genesis,Solgaleo #55,$1.93
3470254,Pokemon Japanese Alter Genesis,Spheal #19,$1.98
3470255,Pokemon Japanese Alter Genesis,Spheal #20,$2.24
3470236,Pokemon Japanese Alter Genesis,Sunflora #2,$1.79
3470235,Pokemon Japanese Alter Genesis,Sunkern #1,$1.89
3470259,Pokemon Japanese Alter Genesis,Swanna #24,$1.98
3470297,Pokemon Japanese Alter Genesis,Swirlix #62,$1.95
3470265,Pokemon Japanese Alter Genesis,Swoobat #30,$2.58
3470299,Pokemon Japanese Alter Genesis,Sylveon #64,$2.95
3470351,Pokemon Japanese Alter Genesis,Tag Call #115,$4.97
3470318,Pokemon Japanese Alter Genesis,Tag Call #83,$1.96
3470312,Pokemon Japanese Alter Genesis,Teddiursa #77,$1.84
3470263,Pokemon Japanese Alter Genesis,Togedemaru #28,$1.97
3470276,Pokemon Japanese Alter Genesis,Trapinch #41,$1.94
3470277,Pokemon Japanese Alter Genesis,Trapinch #42,$1.94
3470307,Pokemon Japanese Alter Genesis,Ultra Necrozma #72,$2.84
3470319,Pokemon Japanese Alter Genesis,Unidentified Fossil #84,$1.18
3470313,Pokemon Japanese Alter Genesis,Ursaring #78,$1.98
3470278,Pokemon Japanese Alter Genesis,Vibrava #43,$1.89
3470344,Pokemon Japanese Alter Genesis,Volcarona GX #109,$12.11
3470247,Pokemon Japanese Alter Genesis,Volcarona GX #13,$2.39
3470331,Pokemon Japanese Alter Genesis,Volcarona GX #96,$8.64
3470257,Pokemon Japanese Alter Genesis,Walrein #22,$1.89
3470264,Pokemon Japanese Alter Genesis,Woobat #29,$1.91
