id,console-name,product-name,loose-price
3472143,Pokemon Japanese Amazing Volt Tackle,Aegislash V #108,$6.10
3472115,Pokemon Japanese Amazing Volt Tackle,Aegislash V #80,$2.41
3472150,Pokemon Japanese Amazing Volt Tackle,Aegislash VMAX #115,$9.99
3472116,Pokemon Japanese Amazing Volt Tackle,Aegislash VMAX #81,$1.73
3472140,Pokemon Japanese Amazing Volt Tackle,Alakazam V #105,$6.99
3472076,Pokemon Japanese Amazing Volt Tackle,Alakazam V #41,$2.17
3472087,Pokemon Japanese Amazing Volt Tackle,Alcremie #52,$1.65
3472063,Pokemon Japanese Amazing Volt Tackle,Arrokuda #28,$1.60
3472064,Pokemon Japanese Amazing Volt Tackle,Barraskewda #29,$1.28
3472144,Pokemon Japanese Amazing Volt Tackle,Bea #109,$22.49
3472151,Pokemon Japanese Amazing Volt Tackle,Bea #116,$16.56
3472128,Pokemon Japanese Amazing Volt Tackle,Bea #93,$1.50
3472071,Pokemon Japanese Amazing Volt Tackle,Blitzle #36,$0.38
6304397,Pokemon Japanese Amazing Volt Tackle,Booster Box,$167.19
8798149,Pokemon Japanese Amazing Volt Tackle,Booster Pack,$18.13
3472047,Pokemon Japanese Amazing Volt Tackle,Charizard #12,$5.99
3472045,Pokemon Japanese Amazing Volt Tackle,Charmander #10,$1.98
3472046,Pokemon Japanese Amazing Volt Tackle,Charmeleon #11,$1.98
3472060,Pokemon Japanese Amazing Volt Tackle,Chewtle #25,$1.34
3472081,Pokemon Japanese Amazing Volt Tackle,Chimecho #46,$1.99
3472132,Pokemon Japanese Amazing Volt Tackle,Circhester Bath #97,$1.74
3472098,Pokemon Japanese Amazing Volt Tackle,Clobbopus #63,$0.99
3472135,Pokemon Japanese Amazing Volt Tackle,Coating Metal Energy #100,$1.99
3472084,Pokemon Japanese Amazing Volt Tackle,Cottonee #49,$1.74
3472062,Pokemon Japanese Amazing Volt Tackle,Cramorant #27,$1.93
3472056,Pokemon Japanese Amazing Volt Tackle,Dewott #21,$1.29
3472092,Pokemon Japanese Amazing Volt Tackle,Donphan #57,$1.95
3472142,Pokemon Japanese Amazing Volt Tackle,Drapion V #107,$2.48
3472104,Pokemon Japanese Amazing Volt Tackle,Drapion V #69,$1.56
3472061,Pokemon Japanese Amazing Volt Tackle,Drednaw #26,$1.34
3472094,Pokemon Japanese Amazing Volt Tackle,Drilbur #59,$1.79
3472125,Pokemon Japanese Amazing Volt Tackle,Drone Rotom #90,$1.73
3472117,Pokemon Japanese Amazing Volt Tackle,Duraludon #82,$1.75
3472079,Pokemon Japanese Amazing Volt Tackle,Dusclops #44,$4.80
3472080,Pokemon Japanese Amazing Volt Tackle,Dusknoir #45,$1.50
3472078,Pokemon Japanese Amazing Volt Tackle,Duskull #43,$1.60
3472074,Pokemon Japanese Amazing Volt Tackle,Eelektrik #39,$0.50
3472075,Pokemon Japanese Amazing Volt Tackle,Eelektross #40,$1.45
3472118,Pokemon Japanese Amazing Volt Tackle,Eevee #83,$1.99
3472068,Pokemon Japanese Amazing Volt Tackle,Electrode #33,$1.79
3472112,Pokemon Japanese Amazing Volt Tackle,Excadrill #77,$2.49
3472124,Pokemon Japanese Amazing Volt Tackle,Exploud #89,$1.44
3472113,Pokemon Japanese Amazing Volt Tackle,Ferroseed #78,$1.28
3472114,Pokemon Japanese Amazing Volt Tackle,Ferrothorn #79,$1.52
3472048,Pokemon Japanese Amazing Volt Tackle,Flareon #13,$1.46
3472138,Pokemon Japanese Amazing Volt Tackle,Galarian Darmanitan V #103,$2.99
3472058,Pokemon Japanese Amazing Volt Tackle,Galarian Darmanitan V #23,$1.79
3472148,Pokemon Japanese Amazing Volt Tackle,Galarian Darmanitan VMAX #113,$5.94
3472059,Pokemon Japanese Amazing Volt Tackle,Galarian Darmanitan VMAX #24,$1.75
3472110,Pokemon Japanese Amazing Volt Tackle,Galarian Meowth #75,$1.25
3472154,Pokemon Japanese Amazing Volt Tackle,Galarian Obstagoon #119,$9.45
3472111,Pokemon Japanese Amazing Volt Tackle,Galarian Perrserker #76,$1.32
3472141,Pokemon Japanese Amazing Volt Tackle,Galarian Sirfetch'd V #106,$5.20
3472100,Pokemon Japanese Amazing Volt Tackle,Galarian Sirfetch'd V #65,$1.85
3472109,Pokemon Japanese Amazing Volt Tackle,Garbodor #74,$1.55
3472042,Pokemon Japanese Amazing Volt Tackle,Gogoat #7,$1.27
3472099,Pokemon Japanese Amazing Volt Tackle,Grapploct #64,$4.09
3472093,Pokemon Japanese Amazing Volt Tackle,Hitmontop #58,$1.99
3472069,Pokemon Japanese Amazing Volt Tackle,Jolteon #34,$1.70
3472106,Pokemon Japanese Amazing Volt Tackle,Krokorok #71,$1.00
3472107,Pokemon Japanese Amazing Volt Tackle,Krookodile #72,$1.92
3472130,Pokemon Japanese Amazing Volt Tackle,League Staff #95,$25.53
3472145,Pokemon Japanese Amazing Volt Tackle,Leon #110,$9.99
3472152,Pokemon Japanese Amazing Volt Tackle,Leon #117,$8.16
3472129,Pokemon Japanese Amazing Volt Tackle,Leon #94,$1.00
3472123,Pokemon Japanese Amazing Volt Tackle,Loudred #88,$1.47
3472090,Pokemon Japanese Amazing Volt Tackle,Machamp #55,$1.69
3472089,Pokemon Japanese Amazing Volt Tackle,Machoke #54,$2.06
3472088,Pokemon Japanese Amazing Volt Tackle,Machop #53,$2.00
3472050,Pokemon Japanese Amazing Volt Tackle,Magcargo #15,$2.49
3472156,Pokemon Japanese Amazing Volt Tackle,Memory Capsule #121,$5.58
3472127,Pokemon Japanese Amazing Volt Tackle,Memory Capsule #92,$0.50
3472102,Pokemon Japanese Amazing Volt Tackle,Mightyena #67,$1.70
3472086,Pokemon Japanese Amazing Volt Tackle,Milcery #51,$3.69
3472096,Pokemon Japanese Amazing Volt Tackle,Mudbray #61,$1.75
3472097,Pokemon Japanese Amazing Volt Tackle,Mudsdale #62,$0.50
3472146,Pokemon Japanese Amazing Volt Tackle,Nessa #111,$38.32
3472153,Pokemon Japanese Amazing Volt Tackle,Nessa #118,$19.57
3472131,Pokemon Japanese Amazing Volt Tackle,Nessa #96,$1.69
3472039,Pokemon Japanese Amazing Volt Tackle,Nincada #4,$1.19
3472040,Pokemon Japanese Amazing Volt Tackle,Ninjask #5,$1.99
3472036,Pokemon Japanese Amazing Volt Tackle,Nuzleaf #2,$1.28
3472136,Pokemon Japanese Amazing Volt Tackle,Orbeetle V #101,$4.53
3472044,Pokemon Japanese Amazing Volt Tackle,Orbeetle V #8,$1.99
3472147,Pokemon Japanese Amazing Volt Tackle,Orbeetle VMAX #112,$6.94
3472043,Pokemon Japanese Amazing Volt Tackle,Orbeetle VMAX #9,$2.20
3472055,Pokemon Japanese Amazing Volt Tackle,Oshawott #20,$1.41
3472091,Pokemon Japanese Amazing Volt Tackle,Phanpy #56,$2.22
3472139,Pokemon Japanese Amazing Volt Tackle,Pikachu V #104,$60.00
3472065,Pokemon Japanese Amazing Volt Tackle,Pikachu V #30,$3.33
3472149,Pokemon Japanese Amazing Volt Tackle,Pikachu VMAX #114,$172.94
3472066,Pokemon Japanese Amazing Volt Tackle,Pikachu VMAX #31,$9.12
3472101,Pokemon Japanese Amazing Volt Tackle,Poochyena #66,$1.42
3472103,Pokemon Japanese Amazing Volt Tackle,Sableye #68,$1.74
3472057,Pokemon Japanese Amazing Volt Tackle,Samurott #22,$1.31
3472105,Pokemon Japanese Amazing Volt Tackle,Sandile #70,$0.78
3472037,Pokemon Japanese Amazing Volt Tackle,Seedot #1,$1.67
3472077,Pokemon Japanese Amazing Volt Tackle,Shedinja #42,$1.99
3472038,Pokemon Japanese Amazing Volt Tackle,Shiftry #3,$1.94
3472041,Pokemon Japanese Amazing Volt Tackle,Skiddo #6,$1.77
3472049,Pokemon Japanese Amazing Volt Tackle,Slugma #14,$1.77
3472119,Pokemon Japanese Amazing Volt Tackle,Snorlax #84,$4.53
3472121,Pokemon Japanese Amazing Volt Tackle,Swellow #86,$1.51
3472083,Pokemon Japanese Amazing Volt Tackle,Swoobat #48,$0.38
3472120,Pokemon Japanese Amazing Volt Tackle,Taillow #85,$1.53
3472137,Pokemon Japanese Amazing Volt Tackle,Talonflame V #102,$4.55
3472051,Pokemon Japanese Amazing Volt Tackle,Talonflame V #16,$1.74
3472155,Pokemon Japanese Amazing Volt Tackle,Telescopic Sight #120,$3.62
3472126,Pokemon Japanese Amazing Volt Tackle,Telescopic Sight #91,$0.50
3472095,Pokemon Japanese Amazing Volt Tackle,Terrakion #60,$1.73
3472108,Pokemon Japanese Amazing Volt Tackle,Trubbish #73,$1.63
3472073,Pokemon Japanese Amazing Volt Tackle,Tynamo #38,$1.45
3472052,Pokemon Japanese Amazing Volt Tackle,Vaporeon #17,$1.89
3472067,Pokemon Japanese Amazing Volt Tackle,Voltorb #32,$1.50
3472053,Pokemon Japanese Amazing Volt Tackle,Wailmer #18,$1.03
3472054,Pokemon Japanese Amazing Volt Tackle,Wailord #19,$2.02
3472134,Pokemon Japanese Amazing Volt Tackle,Wash Water Energy #99,$1.74
3472085,Pokemon Japanese Amazing Volt Tackle,Whimsicott #50,$1.51
3472122,Pokemon Japanese Amazing Volt Tackle,Whismur #87,$1.23
3472082,Pokemon Japanese Amazing Volt Tackle,Woobat #47,$0.38
3472133,Pokemon Japanese Amazing Volt Tackle,Wyndon Stadium #98,$0.50
3472070,Pokemon Japanese Amazing Volt Tackle,Zapdos #35,$2.29
3472072,Pokemon Japanese Amazing Volt Tackle,Zebstrika #37,$1.00
