id,console-name,product-name,loose-price
5952623,Pokemon Japanese Ancient Roar,Ancient Booster Capsule Energy #61,$1.08
5960299,Pokemon Japanese Ancient Roar,Armarouge ex #15,$1.19
5960306,Pokemon Japanese Ancient Roar,Armarouge ex #79,$3.84
5952658,Pokemon Japanese Ancient Roar,Basic Darkness Energy #95,$19.37
5952562,Pokemon Japanese Ancient Roar,Booster Box,$86.85
5952561,Pokemon Japanese Ancient Roar,Booster Pack,$8.68
5952568,Pokemon Japanese Ancient Roar,Bounsweet #6,$0.54
5952615,Pokemon Japanese Ancient Roar,Brute Bonnet #53,$1.70
5952639,Pokemon Japanese Ancient Roar,Brute Bonnet #77,$5.63
5952574,Pokemon Japanese Ancient Roar,Camerupt #12,$1.50
5952575,Pokemon Japanese Ancient Roar,Charcadet #13,$1.59
5952576,Pokemon Japanese Ancient Roar,Charcadet #14,$1.59
5952578,Pokemon Japanese Ancient Roar,Chi-Yu #16,$1.38
5952597,Pokemon Japanese Ancient Roar,Clobbopus #35,$1.69
5960302,Pokemon Japanese Ancient Roar,Cofagrigus ex #31,$1.50
5960309,Pokemon Japanese Ancient Roar,Cofagrigus ex #82,$3.79
5952608,Pokemon Japanese Ancient Roar,Crobat #46,$1.78
5952567,Pokemon Japanese Ancient Roar,Crustle #5,$0.83
5952629,Pokemon Japanese Ancient Roar,Crustle #67,$2.79
5952624,Pokemon Japanese Ancient Roar,Defiance Vest #62,$0.18
5952565,Pokemon Japanese Ancient Roar,Dwebble #4,$1.41
5952622,Pokemon Japanese Ancient Roar,Earthen Vessel #60,$1.71
5952619,Pokemon Japanese Ancient Roar,Exploud #57,$0.60
5952612,Pokemon Japanese Ancient Roar,Garbodor #50,$1.39
5952637,Pokemon Japanese Ancient Roar,Garbodor #75,$4.67
5952602,Pokemon Japanese Ancient Roar,Garganacl #40,$0.99
5952635,Pokemon Japanese Ancient Roar,Garganacl #73,$2.71
5952607,Pokemon Japanese Ancient Roar,Golbat #45,$2.04
5960301,Pokemon Japanese Ancient Roar,Golisopod ex #22,$1.19
5960308,Pokemon Japanese Ancient Roar,Golisopod ex #81,$3.93
