id,console-name,product-name,loose-price
3457829,Pokemon Japanese Awakening Legends,Aerodactyl #142,$60.00
3457834,Pokemon Japanese Awakening Legends,Aipom,$2.15
3457815,Pokemon Japanese Awakening Legends,Ampharos,$21.74
3457842,Pokemon Japanese Awakening Legends,Balloon Berry,$2.87
3457839,Pokemon Japanese Awakening Legends,Blissey,$24.31
13117370,Pokemon Japanese Awakening Legends,Booster Box,
5157162,Pokemon Japanese Awakening Legends,Booster Pack,$1600.00
4634534,Pokemon Japanese Awakening Legends,Breeder Fields,$4.99
3457823,Pokemon Japanese Awakening Legends,Celebi #251,$69.50
5791178,Pokemon Japanese Awakening Legends,Celebi [Yoshida] #251,$57.78
3457811,Pokemon Japanese Awakening Legends,Chinchou #170,$2.25
3457793,Pokemon Japanese Awakening Legends,Crobat,$16.49
3457837,Pokemon Japanese Awakening Legends,Delibird #225,$18.95
3457797,Pokemon Japanese Awakening Legends,Entei #244,$59.99
3457833,Pokemon Japanese Awakening Legends,Farfetch'd,$2.99
3457814,Pokemon Japanese Awakening Legends,Flaaffy #180,$3.14
3457824,Pokemon Japanese Awakening Legends,Geodude,$2.11
3457791,Pokemon Japanese Awakening Legends,Golbat,$2.99
3457799,Pokemon Japanese Awakening Legends,Goldeen,$2.85
3457826,Pokemon Japanese Awakening Legends,Graveler,$2.96
3457841,Pokemon Japanese Awakening Legends,Healing Field,$2.34
3457798,Pokemon Japanese Awakening Legends,Ho-Oh #250,$108.09
3457831,Pokemon Japanese Awakening Legends,Houndoom #229,$105.00
3457794,Pokemon Japanese Awakening Legends,Jumpluff,$18.50
3457805,Pokemon Japanese Awakening Legends,Jynx,$15.08
3457807,Pokemon Japanese Awakening Legends,Kingdra #230,$36.50
3457813,Pokemon Japanese Awakening Legends,Lanturn,$2.98
3457796,Pokemon Japanese Awakening Legends,Magcargo,$2.98
3457832,Pokemon Japanese Awakening Legends,Magneton #82,$13.55
3457822,Pokemon Japanese Awakening Legends,Misdreavus #200,$18.05
3457830,Pokemon Japanese Awakening Legends,Murkrow #198,$2.74
3457806,Pokemon Japanese Awakening Legends,Octillery,$3.77
3457840,Pokemon Japanese Awakening Legends,Old Rod,$2.00
3457789,Pokemon Japanese Awakening Legends,Paras #46,$2.00
3457792,Pokemon Japanese Awakening Legends,Parasect,$3.23
3457828,Pokemon Japanese Awakening Legends,Piloswine,$1.87
3457838,Pokemon Japanese Awakening Legends,Porygon2 #233,$21.40
3457801,Pokemon Japanese Awakening Legends,Quagsire,$6.71
3457802,Pokemon Japanese Awakening Legends,Qwilfish,$2.61
3457812,Pokemon Japanese Awakening Legends,Raichu,$5.14
3457816,Pokemon Japanese Awakening Legends,Raikou,$51.30
3457803,Pokemon Japanese Awakening Legends,Remoraid,$2.29
3457844,Pokemon Japanese Awakening Legends,Rocket's Hideout,$11.00
3457804,Pokemon Japanese Awakening Legends,Seaking,$2.66
3457810,Pokemon Japanese Awakening Legends,Shining Gyarados #130,$1000.00
3457809,Pokemon Japanese Awakening Legends,Shining Magikarp #129,$372.04
5156365,Pokemon Japanese Awakening Legends,Shining Magikarp [600 Fan Club] #129,$5175.51
3457827,Pokemon Japanese Awakening Legends,Shuckle,$3.48
3457790,Pokemon Japanese Awakening Legends,Skiploom #188,$3.25
3457795,Pokemon Japanese Awakening Legends,Slugma,$2.10
3457818,Pokemon Japanese Awakening Legends,Smoochum,$2.98
3457835,Pokemon Japanese Awakening Legends,Snubbull,$2.41
3457836,Pokemon Japanese Awakening Legends,Stantler,$2.87
3457821,Pokemon Japanese Awakening Legends,Starmie,$33.07
3457800,Pokemon Japanese Awakening Legends,Staryu,$2.50
7854768,Pokemon Japanese Awakening Legends,Sudowoodo #185,$7.64
3457808,Pokemon Japanese Awakening Legends,Suicune,$57.60
3457825,Pokemon Japanese Awakening Legends,Swinub,$2.73
3457819,Pokemon Japanese Awakening Legends,Unown B,$4.00
3457817,Pokemon Japanese Awakening Legends,Unown K,$3.62
3457820,Pokemon Japanese Awakening Legends,Unown Y,$2.92
3457788,Pokemon Japanese Awakening Legends,Zubat,$2.64
