id,console-name,product-name,loose-price
3462643,Pokemon Japanese Awakening Psychic King,Aerodactyl #56,$3.96
10801051,Pokemon Japanese Awakening Psychic King,Aerodactyl [1st Edition] #56,$3.73
3462610,Pokemon Japanese Awakening Psychic King,Alakazam EX #23,$8.62
3462667,Pokemon Japanese Awakening Psychic King,Alakazam EX #80,$69.49
3462675,Pokemon Japanese Awakening Psychic King,Alakazam EX #88,$177.89
10801052,Pokemon Japanese Awakening Psychic King,Alakazam EX [1st Edition] #23,$11.00
10801053,Pokemon Japanese Awakening Psychic King,Alakazam EX [1st Edition] #80,$68.00
10801054,Pokemon Japanese Awakening Psychic King,Alakazam EX [1st Edition] #88,$209.99
3462662,Pokemon Japanese Awakening Psychic King,Alakazam Spirit Link #75,$15.00
10801055,Pokemon Japanese Awakening Psychic King,Alakazam Spirit Link [1st Edition] #75,$3.00
3462650,Pokemon Japanese Awakening Psychic King,Altaria EX #63,$11.83
3462673,Pokemon Japanese Awakening Psychic King,Altaria EX #86,$50.34
10801057,Pokemon Japanese Awakening Psychic King,Altaria EX [1st Edition] #63,$13.00
10801058,Pokemon Japanese Awakening Psychic King,Altaria EX [1st Edition] #86,
3462661,Pokemon Japanese Awakening Psychic King,Altaria Spirit Link #74,$0.50
10801059,Pokemon Japanese Awakening Psychic King,Altaria Spirit Link [1st Edition] #74,$0.50
3462608,Pokemon Japanese Awakening Psychic King,Barbaracle #21,$4.97
10801060,Pokemon Japanese Awakening Psychic King,Barbaracle [1st Edition] #21,$2.70
3462660,Pokemon Japanese Awakening Psychic King,Bent Spoon #73,$10.91
10801061,Pokemon Japanese Awakening Psychic King,Bent Spoon [1st Edition] #73,$0.50
3462607,Pokemon Japanese Awakening Psychic King,Binacle #20,$1.90
10801062,Pokemon Japanese Awakening Psychic King,Binacle [1st Edition] #20,$2.99
5859054,Pokemon Japanese Awakening Psychic King,Booster Box,$1403.28
8576308,Pokemon Japanese Awakening Psychic King,Booster Pack,$275.90
3462597,Pokemon Japanese Awakening Psychic King,Braixen #10,$3.56
10801063,Pokemon Japanese Awakening Psychic King,Braixen [1st Edition] #10,$2.99
3462635,Pokemon Japanese Awakening Psychic King,Bronzong #48,$2.99
3462636,Pokemon Japanese Awakening Psychic King,Bronzong BREAK #49,$4.70
10801065,Pokemon Japanese Awakening Psychic King,Bronzong BREAK [1st Edition] #49,$5.00
10801064,Pokemon Japanese Awakening Psychic King,Bronzong [1st Edition] #48,$2.99
3462634,Pokemon Japanese Awakening Psychic King,Bronzor #47,$2.69
10801066,Pokemon Japanese Awakening Psychic King,Bronzor [1st Edition] #47,$2.25
3462589,Pokemon Japanese Awakening Psychic King,Burmy #2,$2.50
10801067,Pokemon Japanese Awakening Psychic King,Burmy [1st Edition] #2,$1.99
3462626,Pokemon Japanese Awakening Psychic King,Carbink #39,$3.52
10801068,Pokemon Japanese Awakening Psychic King,Carbink [1st Edition] #39,$2.84
3462665,Pokemon Japanese Awakening Psychic King,Chaos Tower #78,$2.66
10801069,Pokemon Japanese Awakening Psychic King,Chaos Tower [1st Edition] #78,$7.00
3462652,Pokemon Japanese Awakening Psychic King,Cinccino #65,$4.28
10801070,Pokemon Japanese Awakening Psychic King,Cinccino [1st Edition] #65,$3.46
3462598,Pokemon Japanese Awakening Psychic King,Delphox #11,$2.98
3462599,Pokemon Japanese Awakening Psychic King,Delphox BREAK #12,$8.99
10801072,Pokemon Japanese Awakening Psychic King,Delphox BREAK [1st Edition] #12,$10.77
10801071,Pokemon Japanese Awakening Psychic King,Delphox [1st Edition] #11,$2.00
3462654,Pokemon Japanese Awakening Psychic King,Devolution Spray #67,
10801073,Pokemon Japanese Awakening Psychic King,Devolution Spray [1st Edition] #67,
3462601,Pokemon Japanese Awakening Psychic King,Dewgong #14,$3.00
10801074,Pokemon Japanese Awakening Psychic King,Dewgong [1st Edition] #14,$3.41
3462657,Pokemon Japanese Awakening Psychic King,Dome Fossil Kabuto #70,$0.50
10801075,Pokemon Japanese Awakening Psychic King,Dome Fossil Kabuto [1st Edition] #70,$2.00
3462618,Pokemon Japanese Awakening Psychic King,Duosion #31,$2.39
10801076,Pokemon Japanese Awakening Psychic King,Duosion [1st Edition] #31,$2.25
3462659,Pokemon Japanese Awakening Psychic King,Energy Pouch #72,$0.50
10801077,Pokemon Japanese Awakening Psychic King,Energy Pouch [1st Edition] #72,$0.50
3462649,Pokemon Japanese Awakening Psychic King,Exploud #62,$2.99
10801078,Pokemon Japanese Awakening Psychic King,Exploud [1st Edition] #62,$2.99
3462596,Pokemon Japanese Awakening Psychic King,Fennekin #9,$3.02
10801080,Pokemon Japanese Awakening Psychic King,Fennekin [1st Edition] #9,$2.92
3462653,Pokemon Japanese Awakening Psychic King,Fossil Excavation Kit #66,$2.99
10801079,Pokemon Japanese Awakening Psychic King,Fossil Excavation Kit [1st Edition] #66,$2.10
3462638,Pokemon Japanese Awakening Psychic King,Genesect EX #51,$5.00
3462670,Pokemon Japanese Awakening Psychic King,Genesect EX #83,$34.15
10801081,Pokemon Japanese Awakening Psychic King,Genesect EX [1st Edition] #51,$2.04
10801082,Pokemon Japanese Awakening Psychic King,Genesect EX [1st Edition] #83,$29.13
3462605,Pokemon Japanese Awakening Psychic King,Glaceon EX #18,$31.05
3462666,Pokemon Japanese Awakening Psychic King,Glaceon EX #79,$70.97
8651773,Pokemon Japanese Awakening Psychic King,Glaceon EX [1st Edition] #18,$20.00
10801083,Pokemon Japanese Awakening Psychic King,Glaceon EX [1st Edition] #79,$161.52
3462616,Pokemon Japanese Awakening Psychic King,Grumpig #29,$2.50
10801084,Pokemon Japanese Awakening Psychic King,Grumpig [1st Edition] #29,$1.99
3462656,Pokemon Japanese Awakening Psychic King,Helix Fossil Omanyte #69,$1.28
10801085,Pokemon Japanese Awakening Psychic King,Helix Fossil Omanyte [1st Edition] #69,$2.10
3462639,Pokemon Japanese Awakening Psychic King,Jigglypuff #52,$3.28
10801086,Pokemon Japanese Awakening Psychic King,Jigglypuff [1st Edition] #52,$2.69
3462620,Pokemon Japanese Awakening Psychic King,Kabuto #33,$6.38
10801087,Pokemon Japanese Awakening Psychic King,Kabuto [1st Edition] #33,$4.07
3462621,Pokemon Japanese Awakening Psychic King,Kabutops #34,$6.53
10801088,Pokemon Japanese Awakening Psychic King,Kabutops [1st Edition] #34,$2.99
3462642,Pokemon Japanese Awakening Psychic King,Kingdra EX #55,$8.53
3462672,Pokemon Japanese Awakening Psychic King,Kingdra EX #85,$71.19
10801089,Pokemon Japanese Awakening Psychic King,Kingdra EX [1st Edition] #55,$4.74
10801090,Pokemon Japanese Awakening Psychic King,Kingdra EX [1st Edition] #85,$78.36
3462612,Pokemon Japanese Awakening Psychic King,Koffing #25,$3.99
10801091,Pokemon Japanese Awakening Psychic King,Koffing [1st Edition] #25,$2.25
3462622,Pokemon Japanese Awakening Psychic King,Larvitar #35,$2.00
10801092,Pokemon Japanese Awakening Psychic King,Larvitar [1st Edition] #35,$2.99
3462648,Pokemon Japanese Awakening Psychic King,Loudred #61,$3.79
10801093,Pokemon Japanese Awakening Psychic King,Loudred [1st Edition] #61,$2.50
3462637,Pokemon Japanese Awakening Psychic King,Lucario #50,$9.94
10801094,Pokemon Japanese Awakening Psychic King,Lucario [1st Edition] #50,$14.65
3462645,Pokemon Japanese Awakening Psychic King,Lugia #58,$21.28
3462646,Pokemon Japanese Awakening Psychic King,Lugia BREAK #59,$25.37
10801096,Pokemon Japanese Awakening Psychic King,Lugia BREAK [1st Edition] #59,$30.00
10801095,Pokemon Japanese Awakening Psychic King,Lugia [1st Edition] #58,$24.00
3462632,Pokemon Japanese Awakening Psychic King,Mandibuzz #45,$7.17
10801097,Pokemon Japanese Awakening Psychic King,Mandibuzz [1st Edition] #45,$0.25
3462655,Pokemon Japanese Awakening Psychic King,Mega  Catcher #68,$4.97
10801098,Pokemon Japanese Awakening Psychic King,Mega  Catcher [1st Edition] #68,
3462611,Pokemon Japanese Awakening Psychic King,Mega Alakazam EX #24,$23.34
3462668,Pokemon Japanese Awakening Psychic King,Mega Alakazam EX #81,
10801099,Pokemon Japanese Awakening Psychic King,Mega Alakazam EX [1st Edition] #24,$35.99
10801100,Pokemon Japanese Awakening Psychic King,Mega Alakazam EX [1st Edition] #81,
3462641,Pokemon Japanese Awakening Psychic King,Mega Altaria EX #54,$24.29
3462671,Pokemon Japanese Awakening Psychic King,Mega Altaria EX #84,$72.50
10803273,Pokemon Japanese Awakening Psychic King,Mega Altaria EX [1st Edition] #54,$15.00
10801101,Pokemon Japanese Awakening Psychic King,Mega Altaria EX [1st Edition] #84,
3462614,Pokemon Japanese Awakening Psychic King,Mew #27,$14.99
10801102,Pokemon Japanese Awakening Psychic King,Mew [1st Edition] #27,$20.73
3462651,Pokemon Japanese Awakening Psychic King,Minccino #64,$3.91
8675261,Pokemon Japanese Awakening Psychic King,Minccino [1st Edition] #64,$2.99
