id,console-name,product-name,loose-price
3462345,Pokemon Japanese Bandit Ring,Ace Trainer #76,$4.99
10801138,Pokemon Japanese Bandit Ring,Ace Trainer [1st Edition] #76,$1.15
3462297,Pokemon Japanese Bandit Ring,Ampharos EX #27,$6.97
3462355,Pokemon Japanese Bandit Ring,Ampharos EX #85,$43.00
10801137,Pokemon Japanese Bandit Ring,Ampharos EX [1st Edition] #27,$7.44
10801139,Pokemon Japanese Bandit Ring,Ampharos EX [1st Edition] #85,$172.48
3462344,Pokemon Japanese Bandit Ring,Ampharos Spirit Link #74,$4.99
10801140,Pokemon Japanese Bandit Ring,Ampharos Spirit Link [1st Edition] #74,$1.87
3462276,Pokemon Japanese Bandit Ring,Ariados #6,$3.25
10801141,Pokemon Japanese Bandit Ring,Ariados [1st Edition] #6,$2.99
3462301,Pokemon Japanese Bandit Ring,Baltoy #31,$1.99
3462302,Pokemon Japanese Bandit Ring,Baltoy #32,$3.91
10801142,Pokemon Japanese Bandit Ring,Baltoy [1st Edition] #31,$2.99
10801143,Pokemon Japanese Bandit Ring,Baltoy [1st Edition] #32,$4.00
3462317,Pokemon Japanese Bandit Ring,Beldum #47,$2.89
10801144,Pokemon Japanese Bandit Ring,Beldum [1st Edition] #47,$2.95
3462274,Pokemon Japanese Bandit Ring,Bellossom #4,$3.62
10801145,Pokemon Japanese Bandit Ring,Bellossom [1st Edition] #4,$2.42
5859055,Pokemon Japanese Bandit Ring,Booster Box,$2356.93
13138219,Pokemon Japanese Bandit Ring,Booster Pack,$160.00
3462303,Pokemon Japanese Bandit Ring,Claydol #33,$2.49
10801146,Pokemon Japanese Bandit Ring,Claydol [1st Edition] #33,$0.38
3462279,Pokemon Japanese Bandit Ring,Combee #9,$1.79
10801147,Pokemon Japanese Bandit Ring,Combee [1st Edition] #9,$2.00
3462325,Pokemon Japanese Bandit Ring,Cottonee #55,$2.68
10801148,Pokemon Japanese Bandit Ring,Cottonee [1st Edition] #55,$1.99
3462351,Pokemon Japanese Bandit Ring,Dangerous Energy #81,
10801149,Pokemon Japanese Bandit Ring,Dangerous Energy [1st Edition] #81,
3462339,Pokemon Japanese Bandit Ring,Eco Arm #69,$0.50
10801150,Pokemon Japanese Bandit Ring,Eco Arm [1st Edition] #69,
3462333,Pokemon Japanese Bandit Ring,Eevee #63,$4.84
10801151,Pokemon Japanese Bandit Ring,Eevee [1st Edition] #63,$3.34
3462366,Pokemon Japanese Bandit Ring,Energy Retrieval #96,$27.09
10801152,Pokemon Japanese Bandit Ring,Energy Retrieval [1st Edition] #96,$16.50
3462284,Pokemon Japanese Bandit Ring,Entei #14,$4.80
3462285,Pokemon Japanese Bandit Ring,Entei #15,$10.58
10801153,Pokemon Japanese Bandit Ring,Entei [1st Edition] #14,$4.23
10801154,Pokemon Japanese Bandit Ring,Entei [1st Edition] #15,$15.06
3462348,Pokemon Japanese Bandit Ring,Faded Town #78,$2.29
10801155,Pokemon Japanese Bandit Ring,Faded Town [1st Edition] #78,
3462283,Pokemon Japanese Bandit Ring,Flareon #13,$7.50
10801157,Pokemon Japanese Bandit Ring,Flareon [1st Edition] #13,$3.99
3462350,Pokemon Japanese Bandit Ring,Flash Energy #80,$0.50
10801156,Pokemon Japanese Bandit Ring,Flash Energy [1st Edition] #80,
3462349,Pokemon Japanese Bandit Ring,Forest of Giant Plants #79,$3.39
10801158,Pokemon Japanese Bandit Ring,Forest of Giant Plants [1st Edition] #79,
3462324,Pokemon Japanese Bandit Ring,Gardevoir #54,$17.98
10801159,Pokemon Japanese Bandit Ring,Gardevoir [1st Edition] #54,$15.07
3462327,Pokemon Japanese Bandit Ring,Giratina EX #57,$19.99
3462361,Pokemon Japanese Bandit Ring,Giratina EX #91,$145.00
10801160,Pokemon Japanese Bandit Ring,Giratina EX [1st Edition] #57,$21.18
10801161,Pokemon Japanese Bandit Ring,Giratina EX [1st Edition] #91,$534.43
3462272,Pokemon Japanese Bandit Ring,Gloom #2,$3.24
10801162,Pokemon Japanese Bandit Ring,Gloom [1st Edition] #2,$3.35
3462304,Pokemon Japanese Bandit Ring,Golett #34,$1.99
10801163,Pokemon Japanese Bandit Ring,Golett [1st Edition] #34,$2.99
3462305,Pokemon Japanese Bandit Ring,Golurk #35,$3.67
3462311,Pokemon Japanese Bandit Ring,Golurk #41,$2.88
10801164,Pokemon Japanese Bandit Ring,Golurk [1st Edition] #35,$4.31
10801166,Pokemon Japanese Bandit Ring,Golurk [1st Edition] #41,$2.99
3462330,Pokemon Japanese Bandit Ring,Goodra #60,$3.99
10801165,Pokemon Japanese Bandit Ring,Goodra [1st Edition] #60,$3.49
3462328,Pokemon Japanese Bandit Ring,Goomy #58,$2.94
10801167,Pokemon Japanese Bandit Ring,Goomy [1st Edition] #58,$2.34
3462290,Pokemon Japanese Bandit Ring,Gyarados #20,$3.90
3462291,Pokemon Japanese Bandit Ring,Gyarados #21,$80.00
10801168,Pokemon Japanese Bandit Ring,Gyarados [1st Edition] #20,$4.25
10275431,Pokemon Japanese Bandit Ring,Gyarados [1st Edition] #21,$86.04
3462347,Pokemon Japanese Bandit Ring,Hex Maniac #77,$3.49
10801169,Pokemon Japanese Bandit Ring,Hex Maniac [1st Edition] #77,$3.00
3462306,Pokemon Japanese Bandit Ring,Hoopa EX #36,$5.27
3462357,Pokemon Japanese Bandit Ring,Hoopa EX #87,$35.32
10801170,Pokemon Japanese Bandit Ring,Hoopa EX [1st Edition] #36,$6.30
10801171,Pokemon Japanese Bandit Ring,Hoopa EX [1st Edition] #87,$31.81
3462315,Pokemon Japanese Bandit Ring,Inkay #45,$3.53
10801172,Pokemon Japanese Bandit Ring,Inkay [1st Edition] #45,$2.69
3462296,Pokemon Japanese Bandit Ring,Jolteon #26,$5.90
10801173,Pokemon Japanese Bandit Ring,Jolteon [1st Edition] #26,$7.89
3462323,Pokemon Japanese Bandit Ring,Kirlia #53,$3.49
10801174,Pokemon Japanese Bandit Ring,Kirlia [1st Edition] #53,$4.00
3462295,Pokemon Japanese Bandit Ring,Kyurem EX #25,$4.21
