id,console-name,product-name,loose-price
8437087,Pokemon Japanese Battle Partners,Accelgor #9,$1.40
8437180,Pokemon Japanese Battle Partners,Articuno #102,$10.71
8437096,Pokemon Japanese Battle Partners,Articuno #18,$1.58
8437148,Pokemon Japanese Battle Partners,Bagon #70,$1.30
8437114,Pokemon Japanese Battle Partners,Banette #36,$1.19
8437115,Pokemon Japanese Battle Partners,Beldum #37,$1.99
8437077,Pokemon Japanese Battle Partners,Booster Box,$76.25
8437078,Pokemon Japanese Battle Partners,Booster Pack,$11.83
8437174,Pokemon Japanese Battle Partners,Brock's Scout #96,$0.50
8437201,Pokemon Japanese Battle Partners,Brock's Scouting #123,$2.93
8437081,Pokemon Japanese Battle Partners,Butterfree #3,$1.36
8437079,Pokemon Japanese Battle Partners,Caterpie #1,$1.50
8437151,Pokemon Japanese Battle Partners,Druddigon #73,$1.49
8437198,Pokemon Japanese Battle Partners,Dudunsparce ex #120,$2.49
8437157,Pokemon Japanese Battle Partners,Dudunsparce ex #79,$1.24
8437156,Pokemon Japanese Battle Partners,Dunsparce #78,$1.70
8437141,Pokemon Japanese Battle Partners,Escavalier #63,$1.50
8437168,Pokemon Japanese Battle Partners,Exchange Ticket #90,$1.50
8437089,Pokemon Japanese Battle Partners,Floragato #11,$1.43
8437188,Pokemon Japanese Battle Partners,Furret #110,$4.00
8437155,Pokemon Japanese Battle Partners,Furret #77,$1.56
8437169,Pokemon Japanese Battle Partners,Hop's Bag #91,$1.75
8437170,Pokemon Japanese Battle Partners,Hop's Choice Band #92,$1.24
8437146,Pokemon Japanese Battle Partners,Hop's Corviknight #68,$1.39
8437162,Pokemon Japanese Battle Partners,Hop's Corvisquire #84,$1.50
8437165,Pokemon Japanese Battle Partners,Hop's Cramorant #87,$1.42
8437164,Pokemon Japanese Battle Partners,Hop's Dubwool #86,$1.49
8437161,Pokemon Japanese Battle Partners,Hop's Rookidee #83,$1.49
8437132,Pokemon Japanese Battle Partners,Hop's Sandaconda #54,$1.50
8437131,Pokemon Japanese Battle Partners,Hop's Silicobra #53,$1.24
8437153,Pokemon Japanese Battle Partners,Hop's Snorlax #75,$2.03
8437190,Pokemon Japanese Battle Partners,Hop's Wooloo #112,$3.00
8437163,Pokemon Japanese Battle Partners,Hop's Wooloo #85,$1.49
8437196,Pokemon Japanese Battle Partners,Hop's Zacian ex #118,$3.99
8437206,Pokemon Japanese Battle Partners,Hop's Zacian ex #128,$24.91
8437147,Pokemon Japanese Battle Partners,Hop's Zacian ex #69,$1.39
8437192,Pokemon Japanese Battle Partners,Iono's Bellibolt ex #114,$5.38
8437203,Pokemon Japanese Battle Partners,Iono's Bellibolt ex #125,$37.50
8437208,Pokemon Japanese Battle Partners,Iono's Bellibolt ex #130,$14.38
8437108,Pokemon Japanese Battle Partners,Iono's Bellibolt ex #30,$1.50
8437105,Pokemon Japanese Battle Partners,Iono's Electrode #27,$0.95
8437182,Pokemon Japanese Battle Partners,Iono's Killowattrel #104,$4.55
8437110,Pokemon Japanese Battle Partners,Iono's Killowattrel #32,$1.21
8437107,Pokemon Japanese Battle Partners,Iono's Tadbulb #29,$1.50
8437104,Pokemon Japanese Battle Partners,Iono's Voltorb #26,$0.61
8437109,Pokemon Japanese Battle Partners,Iono's Wattrel #31,$1.25
8437199,Pokemon Japanese Battle Partners,Iris's Fighting Spirit #121,$3.99
8437172,Pokemon Japanese Battle Partners,Iris's Fighting Spirit #94,$0.99
8437085,Pokemon Japanese Battle Partners,Karrablast #7,$1.61
8437133,Pokemon Japanese Battle Partners,Klawf #55,$1.40
8437134,Pokemon Japanese Battle Partners,Koffing #56,$1.50
8437160,Pokemon Japanese Battle Partners,Komala #82,$1.99
8437125,Pokemon Japanese Battle Partners,Larvitar #47,$1.01
8437176,Pokemon Japanese Battle Partners,Levincia #98,$1.75
8437193,Pokemon Japanese Battle Partners,Lillie's Clefairy ex #115,$8.77
8437204,Pokemon Japanese Battle Partners,Lillie's Clefairy ex #126,$110.85
8437111,Pokemon Japanese Battle Partners,Lillie's Clefairy ex #33,$1.74
8437121,Pokemon Japanese Battle Partners,Lillie's Comfey #43,$1.52
8437119,Pokemon Japanese Battle Partners,Lillie's Cutiefly #41,$1.21
8470177,Pokemon Japanese Battle Partners,Lillie's File Set Collection,$49.00
8437171,Pokemon Japanese Battle Partners,Lillie's Pearl #93,$1.49
8437183,Pokemon Japanese Battle Partners,Lillie's Ribombee #105,$4.99
8437120,Pokemon Japanese Battle Partners,Lillie's Ribombee #42,$1.41
8437100,Pokemon Japanese Battle Partners,Lombre #22,$1.50
8437099,Pokemon Japanese Battle Partners,Lotad #21,$1.39
8437101,Pokemon Japanese Battle Partners,Ludicolo #23,$1.55
8437185,Pokemon Japanese Battle Partners,Lycanroc #107,$2.56
8437130,Pokemon Japanese Battle Partners,Lycanroc #52,$1.58
8437145,Pokemon Japanese Battle Partners,Magearna #67,$1.29
8437091,Pokemon Japanese Battle Partners,Magmar #13,$1.36
8437092,Pokemon Japanese Battle Partners,Magmortar #14,$1.53
8437194,Pokemon Japanese Battle Partners,Mamoswine ex #116,$2.43
8437124,Pokemon Japanese Battle Partners,Mamoswine ex #46,$1.80
8437179,Pokemon Japanese Battle Partners,Maractus #101,$2.56
8437084,Pokemon Japanese Battle Partners,Maractus #6,$1.51
8437090,Pokemon Japanese Battle Partners,Meowscarada #12,$1.66
8437117,Pokemon Japanese Battle Partners,Metagross #39,$1.50
