id,console-name,product-name,loose-price
3491628,Pokemon Japanese Battle Region,Absol #51,$1.99
3491598,Pokemon Japanese Battle Region,Barboach #21,$1.25
4946846,Pokemon Japanese Battle Region,Barboach [Reverse Holo] #21,$1.82
5491976,Pokemon Japanese Battle Region,Booster Box,$82.22
7629624,Pokemon Japanese Battle Region,Booster Pack,$9.60
3491640,Pokemon Japanese Battle Region,Canceling Cologne #63,$1.94
4946872,Pokemon Japanese Battle Region,Canceling Cologne [Reverse Holo] #63,$0.25
3491591,Pokemon Japanese Battle Region,Chandelure #14,$1.99
3491646,Pokemon Japanese Battle Region,Chandelure #69,$3.88
3491669,Pokemon Japanese Battle Region,Choice Belt #92,$4.49
3491585,Pokemon Japanese Battle Region,Combee #8,$1.98
3491641,Pokemon Japanese Battle Region,Cyllene #64,$1.40
3491657,Pokemon Japanese Battle Region,Cyllene #80,$3.01
3491665,Pokemon Japanese Battle Region,Cyllene #88,$5.06
4946874,Pokemon Japanese Battle Region,Cyllene [Reverse Holo] #64,$1.00
3491612,Pokemon Japanese Battle Region,Diancie #35,$1.50
3491611,Pokemon Japanese Battle Region,Gallade #34,$1.72
3491631,Pokemon Japanese Battle Region,Garchomp V #54,$1.94
3491656,Pokemon Japanese Battle Region,Garchomp V #79,$6.24
3491661,Pokemon Japanese Battle Region,Garchomp V #84,$57.85
3491636,Pokemon Japanese Battle Region,Glameow #59,$1.58
5432275,Pokemon Japanese Battle Region,Glameow [Reverse Halo] #59,$0.50
3491579,Pokemon Japanese Battle Region,Gloom #2,$1.86
5835278,Pokemon Japanese Battle Region,Gloom [Reverse Holo] #2,$2.49
3491582,Pokemon Japanese Battle Region,Heracross #5,$1.97
4946837,Pokemon Japanese Battle Region,Heracross [Reverse Holo] #5,$2.11
3491618,Pokemon Japanese Battle Region,Hippopotas #41,$1.64
4946855,Pokemon Japanese Battle Region,Hippopotas [Reverse Holo] #41,$1.39
3491619,Pokemon Japanese Battle Region,Hippowdon #42,$1.71
4946857,Pokemon Japanese Battle Region,Hippowdon [Reverse Holo] #42,$1.73
3491601,Pokemon Japanese Battle Region,Hisuian Basculegion #24,$1.95
8945325,Pokemon Japanese Battle Region,Hisuian Basculegion [Reverse Holo] #24,$1.29
3491600,Pokemon Japanese Battle Region,Hisuian Basculin #23,$1.63
4946844,Pokemon Japanese Battle Region,Hisuian Basculin [Reverse Holo] #23,$2.50
3491621,Pokemon Japanese Battle Region,Hisuian Decidueye V #44,$1.80
3491654,Pokemon Japanese Battle Region,Hisuian Decidueye V #77,$2.27
3491622,Pokemon Japanese Battle Region,Hisuian Decidueye VSTAR #45,$1.77
3491663,Pokemon Japanese Battle Region,Hisuian Decidueye VSTAR #86,$4.99
