id,console-name,product-name,loose-price
8450929,Pokemon Japanese Beat of the Frontier,Absol #64,$14.62
8450932,Pokemon Japanese Beat of the Frontier,Absol #65,$26.00
8450930,Pokemon Japanese Beat of the Frontier,Absol [1st Edition] #64,$12.74
8450933,Pokemon Japanese Beat of the Frontier,Absol [1st Edition] #65,$52.53
3459830,Pokemon Japanese Beat of the Frontier,Articuno #99,$48.00
6591091,Pokemon Japanese Beat of the Frontier,Articuno [1st Edition] #99,$57.29
3459778,Pokemon Japanese Beat of the Frontier,Baltoy #46,$1.99
6591092,Pokemon Japanese Beat of the Frontier,Baltoy [1st Edition] #46,$1.84
3459825,Pokemon Japanese Beat of the Frontier,Battle Tower #94,$2.41
6591093,Pokemon Japanese Beat of the Frontier,Battle Tower [1st Edition] #94,$1.99
3459800,Pokemon Japanese Beat of the Frontier,Beldum #68,$2.63
6591094,Pokemon Japanese Beat of the Frontier,Beldum [1st Edition] #68,$6.49
8450918,Pokemon Japanese Beat of the Frontier,Blaziken #19,$12.49
8450920,Pokemon Japanese Beat of the Frontier,Blaziken #20,$34.99
8450919,Pokemon Japanese Beat of the Frontier,Blaziken [1st Edition] #19,$10.22
8450921,Pokemon Japanese Beat of the Frontier,Blaziken [1st Edition] #20,$860.00
13117374,Pokemon Japanese Beat of the Frontier,Booster Box,
13117373,Pokemon Japanese Beat of the Frontier,Booster Pack,$452.59
3459791,Pokemon Japanese Beat of the Frontier,Breloom #59,$2.57
6591095,Pokemon Japanese Beat of the Frontier,Breloom [1st Edition] #59,$3.20
3459733,Pokemon Japanese Beat of the Frontier,Bulbasaur #1,$4.79
6591096,Pokemon Japanese Beat of the Frontier,Bulbasaur [1st Edition] #1,$6.55
8450916,Pokemon Japanese Beat of the Frontier,Butterfree #4,$2.49
8450917,Pokemon Japanese Beat of the Frontier,Butterfree [1st Edition] #4,$3.76
3459754,Pokemon Japanese Beat of the Frontier,Camerupt #22,$0.50
6591097,Pokemon Japanese Beat of the Frontier,Camerupt [1st Edition] #22,$2.59
3459824,Pokemon Japanese Beat of the Frontier,Champion's Room #93,$2.49
6591098,Pokemon Japanese Beat of the Frontier,Champion's Room [1st Edition] #93,$3.99
8450947,Pokemon Japanese Beat of the Frontier,Chatot #82,$2.97
8450948,Pokemon Japanese Beat of the Frontier,Chatot [1st Edition] #82,$2.80
3459781,Pokemon Japanese Beat of the Frontier,Chimecho #49,$1.99
6591099,Pokemon Japanese Beat of the Frontier,Chimecho [1st Edition] #49,$2.08
3459780,Pokemon Japanese Beat of the Frontier,Chingling #48,$2.55
6591100,Pokemon Japanese Beat of the Frontier,Chingling [1st Edition] #48,$2.99
3459779,Pokemon Japanese Beat of the Frontier,Claydol #47,$1.99
6591101,Pokemon Japanese Beat of the Frontier,Claydol [1st Edition] #47,$0.99
3459823,Pokemon Japanese Beat of the Frontier,Cynthia's Guidance #92,$5.72
6591102,Pokemon Japanese Beat of the Frontier,Cynthia's Guidance [1st Edition] #92,$2.99
3459821,Pokemon Japanese Beat of the Frontier,Cyrus's Initiative #90,$2.51
6591103,Pokemon Japanese Beat of the Frontier,Cyrus's Initiative [1st Edition] #90,$3.99
3459827,Pokemon Japanese Beat of the Frontier,Darkness Energy #96,$1.76
6591104,Pokemon Japanese Beat of the Frontier,Darkness Energy [1st Edition] #96,$1.25
3459756,Pokemon Japanese Beat of the Frontier,Dewgong #24,$3.23
6591105,Pokemon Japanese Beat of the Frontier,Dewgong [1st Edition] #24,$3.48
3459804,Pokemon Japanese Beat of the Frontier,Dodrio #72,$1.32
6591106,Pokemon Japanese Beat of the Frontier,Dodrio [1st Edition] #72,$1.70
3459803,Pokemon Japanese Beat of the Frontier,Doduo #71,$1.94
6591107,Pokemon Japanese Beat of the Frontier,Doduo [1st Edition] #71,$1.29
8450936,Pokemon Japanese Beat of the Frontier,Dragonite #73,$18.07
8450937,Pokemon Japanese Beat of the Frontier,Dragonite [1st Edition] #73,$4.00
8450925,Pokemon Japanese Beat of the Frontier,Drifblim #50,$5.99
8450926,Pokemon Japanese Beat of the Frontier,Drifblim [1st Edition] #50,$6.28
8450927,Pokemon Japanese Beat of the Frontier,Dusknoir #51,$2.49
8450928,Pokemon Japanese Beat of the Frontier,Dusknoir [1st Edition] #51,$1.25
7813344,Pokemon Japanese Beat of the Frontier,Electivire #38,$6.06
6591090,Pokemon Japanese Beat of the Frontier,Electivire #39,$10.22
12116884,Pokemon Japanese Beat of the Frontier,Electivire [1st Edition] #38,$5.95
6588245,Pokemon Japanese Beat of the Frontier,Electivire [1st Edition] #39,$7.50
8450922,Pokemon Japanese Beat of the Frontier,Empoleon #35,$2.83
8450923,Pokemon Japanese Beat of the Frontier,Empoleon [1st Edition] #35,$5.91
3459807,Pokemon Japanese Beat of the Frontier,Exploud #76,$2.99
6591108,Pokemon Japanese Beat of the Frontier,Exploud [1st Edition] #76,$2.50
3459764,Pokemon Japanese Beat of the Frontier,Feebas #32,$2.87
6591109,Pokemon Japanese Beat of the Frontier,Feebas [1st Edition] #32,$3.00
3459815,Pokemon Japanese Beat of the Frontier,Gabite #84,$2.99
6591110,Pokemon Japanese Beat of the Frontier,Gabite [1st Edition] #84,$2.99
3459816,Pokemon Japanese Beat of the Frontier,Garchomp #85,$16.99
6591111,Pokemon Japanese Beat of the Frontier,Garchomp [1st Edition] #85,$16.61
3459814,Pokemon Japanese Beat of the Frontier,Gible #83,$2.71
6591112,Pokemon Japanese Beat of the Frontier,Gible [1st Edition] #83,$2.82
3459757,Pokemon Japanese Beat of the Frontier,Goldeen #25,$3.25
6591113,Pokemon Japanese Beat of the Frontier,Goldeen [1st Edition] #25,$2.49
3459795,Pokemon Japanese Beat of the Frontier,Honchkrow #63,$2.69
