id,console-name,product-name,loose-price
3473663,Pokemon Japanese Best of XY,AZ #138,$5.00
3473635,Pokemon Japanese Best of XY,Acro Bike #110,$16.52
3473704,Pokemon Japanese Best of XY,Aegislash EX #179,$60.00
3473612,Pokemon Japanese Best of XY,Aegislash EX #87,$5.47
3473565,Pokemon Japanese Best of XY,Alakazam EX #40,$12.00
3473657,Pokemon Japanese Best of XY,Alakazam Spirit Link #132,$15.50
3473531,Pokemon Japanese Best of XY,Ariados #5,$9.57
3473619,Pokemon Japanese Best of XY,Aromatisse #94,$2.32
6011663,Pokemon Japanese Best of XY,Aromatisse [Reverse Holo] #94,$4.34
3473542,Pokemon Japanese Best of XY,Articuno #17,$5.52
3473639,Pokemon Japanese Best of XY,Battle Compressor #114,$5.54
3473666,Pokemon Japanese Best of XY,Blacksmith #141,$19.26
3473707,Pokemon Japanese Best of XY,Blacksmith #182,$35.00
4956642,Pokemon Japanese Best of XY,Booster Box,$4485.58
11838114,Pokemon Japanese Best of XY,Booster Pack,$287.55
3473662,Pokemon Japanese Best of XY,Brigette #137,$5.99
3473607,Pokemon Japanese Best of XY,Bronzong #82,$18.49
3473608,Pokemon Japanese Best of XY,Bronzong BREAK #83,$4.99
3473606,Pokemon Japanese Best of XY,Bronzor #81,$2.00
6178117,Pokemon Japanese Best of XY,Bronzor [Reverse Holo] #81,$4.97
3473632,Pokemon Japanese Best of XY,Bunnelby #107,$3.32
9861166,Pokemon Japanese Best of XY,Bunnelby [Reverse Holo] #107,$22.99
3473688,Pokemon Japanese Best of XY,Burning Energy #163,$18.99
3473649,Pokemon Japanese Best of XY,Bursting Balloon #124,$10.12
3473537,Pokemon Japanese Best of XY,Camerupt EX #12,$3.18
3473656,Pokemon Japanese Best of XY,Camerupt Spirit Link #131,$4.08
3473590,Pokemon Japanese Best of XY,Carbink #65,$2.94
3473591,Pokemon Japanese Best of XY,Carbink #66,$2.99
3473592,Pokemon Japanese Best of XY,Carbink BREAK #67,$3.60
3473610,Pokemon Japanese Best of XY,Cobalion #85,$13.49
3473533,Pokemon Japanese Best of XY,Combee #8,$8.99
3473564,Pokemon Japanese Best of XY,Crobat #39,$2.94
9778240,Pokemon Japanese Best of XY,Crobat [Reverse Holo] #39,$26.91
3473693,Pokemon Japanese Best of XY,Dangerous Energy #168,$11.00
3473597,Pokemon Japanese Best of XY,Darkrai EX #72,$15.30
3473670,Pokemon Japanese Best of XY,Delinquent #145,$3.99
3473709,Pokemon Japanese Best of XY,Delinquent #184,$328.04
3473681,Pokemon Japanese Best of XY,Dimension Valley #156,$11.63
3473636,Pokemon Japanese Best of XY,Dive Ball #111,$3.00
3473696,Pokemon Japanese Best of XY,Double Dragon Energy #171,$6.93
3473625,Pokemon Japanese Best of XY,Eevee #100,$2.96
5704597,Pokemon Japanese Best of XY,Eevee [Reverse Holo] #100,$51.47
3473536,Pokemon Japanese Best of XY,Entei #11,$7.59
13279837,Pokemon Japanese Best of XY,Entei [Reverse Holo] #11,$89.99
3473570,Pokemon Japanese Best of XY,Espeon EX #45,$23.50
3473642,Pokemon Japanese Best of XY,Fairy Drop #117,$16.47
3473685,Pokemon Japanese Best of XY,Fairy Garden #160,$12.99
3473651,Pokemon Japanese Best of XY,Fighting Fury Belt #126,$3.39
8329952,Pokemon Japanese Best of XY,Fighting Fury Belt [Reverse Holo] #126,$18.99
3473535,Pokemon Japanese Best of XY,Flareon #10,$6.05
4829999,Pokemon Japanese Best of XY,Flareon [Reverse Holo] #10,$41.14
3473690,Pokemon Japanese Best of XY,Flash Energy #165,$9.35
3473648,Pokemon Japanese Best of XY,Focus Sash #123,$19.30
