id,console-name,product-name,loose-price
9647325,Pokemon Japanese Black Bolt,Air Balloon #82,$2.46
9861820,Pokemon Japanese Black Bolt,Air Balloon [Master Ball] #82,
9647529,Pokemon Japanese Black Bolt,Air Balloon [Poke Ball] #82,$2.10
9682994,Pokemon Japanese Black Bolt,Alomomola #112,$5.46
9647270,Pokemon Japanese Black Bolt,Alomomola #27,$1.56
9861732,Pokemon Japanese Black Bolt,Alomomola [Master Ball] #27,$3.19
9647479,Pokemon Japanese Black Bolt,Alomomola [Poke Ball] #27,$1.55
9647252,Pokemon Japanese Black Bolt,Amoonguss #11,$1.00
9681335,Pokemon Japanese Black Bolt,Amoonguss #96,$12.48
9861715,Pokemon Japanese Black Bolt,Amoonguss [Master Ball] #11,$17.75
9647463,Pokemon Japanese Black Bolt,Amoonguss [Poke Ball] #11,$1.30
9647323,Pokemon Japanese Black Bolt,Antique Cover Fossil #80,$1.31
9861818,Pokemon Japanese Black Bolt,Antique Cover Fossil [Master Ball] #80,
9647527,Pokemon Japanese Black Bolt,Antique Cover Fossil [Poke Ball] #80,$1.49
9683052,Pokemon Japanese Black Bolt,Audino #156,$13.15
9647319,Pokemon Japanese Black Bolt,Audino #76,$1.50
9861812,Pokemon Japanese Black Bolt,Audino [Master Ball] #76,$6.50
9647523,Pokemon Japanese Black Bolt,Audino [Poke Ball] #76,$1.63
9683044,Pokemon Japanese Black Bolt,Axew #150,$9.52
9647312,Pokemon Japanese Black Bolt,Axew #70,$1.65
9861802,Pokemon Japanese Black Bolt,Axew [Master Ball] #70,$3.50
9647517,Pokemon Japanese Black Bolt,Axew [Poke Ball] #70,$2.19
9682996,Pokemon Japanese Black Bolt,Beartic #114,$5.30
9647272,Pokemon Japanese Black Bolt,Beartic #29,$1.41
9861735,Pokemon Japanese Black Bolt,Beartic [Master Ball] #29,$3.94
9647481,Pokemon Japanese Black Bolt,Beartic [Poke Ball] #29,$1.99
9683010,Pokemon Japanese Black Bolt,Beheeyem #127,$5.70
9647287,Pokemon Japanese Black Bolt,Beheeyem #44,$1.50
9861759,Pokemon Japanese Black Bolt,Beheeyem [Master Ball] #44,$3.74
9647494,Pokemon Japanese Black Bolt,Beheeyem [Poke Ball] #44,$2.04
9647337,Pokemon Japanese Black Bolt,Bisharp #148,$5.84
9647309,Pokemon Japanese Black Bolt,Bisharp #67,$1.98
9861794,Pokemon Japanese Black Bolt,Bisharp [Master Ball] #67,$3.64
9647515,Pokemon Japanese Black Bolt,Bisharp [Poke Ball] #67,$1.49
9647241,Pokemon Japanese Black Bolt,Booster Box,$107.56
9647237,Pokemon Japanese Black Bolt,Booster Pack,$4.13
9682993,Pokemon Japanese Black Bolt,Carracosta #111,$5.64
9647269,Pokemon Japanese Black Bolt,Carracosta #26,$1.39
9861730,Pokemon Japanese Black Bolt,Carracosta [Master Ball] #26,$3.44
9647478,Pokemon Japanese Black Bolt,Carracosta [Poke Ball] #26,$2.06
9647333,Pokemon Japanese Black Bolt,Chandelure #102,$14.99
