id,console-name,product-name,loose-price
3472856,Pokemon Japanese Blue Sky Stream,Ampharos #28,$2.15
3472879,Pokemon Japanese Blue Sky Stream,Appletun #51,$1.23
3472837,Pokemon Japanese Blue Sky Stream,Applin #9,$1.45
3472895,Pokemon Japanese Blue Sky Stream,Aurora Energy #67,$2.23
3472871,Pokemon Japanese Blue Sky Stream,Bagon #43,$1.00
3472865,Pokemon Japanese Blue Sky Stream,Baltoy #37,$0.82
3472869,Pokemon Japanese Blue Sky Stream,Bewear #41,$1.22
3472882,Pokemon Japanese Blue Sky Stream,Blissey #54,$1.55
5811035,Pokemon Japanese Blue Sky Stream,Booster Box,$1428.03
8798156,Pokemon Japanese Blue Sky Stream,Booster Pack,$10.07
3472845,Pokemon Japanese Blue Sky Stream,Centiskorch #17,$2.09
3472881,Pokemon Japanese Blue Sky Stream,Chansey #53,$1.81
3472866,Pokemon Japanese Blue Sky Stream,Claydol #38,$1.73
3472847,Pokemon Japanese Blue Sky Stream,Cloyster #19,$1.63
3472852,Pokemon Japanese Blue Sky Stream,Cryogonal #24,$1.00
3472870,Pokemon Japanese Blue Sky Stream,Dragonite V #42,$3.64
3472901,Pokemon Japanese Blue Sky Stream,Dragonite V #73,$21.45
3472902,Pokemon Japanese Blue Sky Stream,Dragonite V #74,$390.18
3472855,Pokemon Japanese Blue Sky Stream,Flaaffy #27,$2.76
3472878,Pokemon Japanese Blue Sky Stream,Flapple #50,$1.33
3472915,Pokemon Japanese Blue Sky Stream,Froslass #87,$15.05
3472851,Pokemon Japanese Blue Sky Stream,Galarian Darmanitan #23,$1.30
3472850,Pokemon Japanese Blue Sky Stream,Galarian Darumaka #22,$1.00
3472885,Pokemon Japanese Blue Sky Stream,Great Ball #57,$1.03
3472848,Pokemon Japanese Blue Sky Stream,Gyarados V #20,$2.83
3472898,Pokemon Japanese Blue Sky Stream,Gyarados V #70,$9.87
3472849,Pokemon Japanese Blue Sky Stream,Gyarados VMAX #21,$4.36
3472909,Pokemon Japanese Blue Sky Stream,Gyarados VMAX #81,$45.00
3472829,Pokemon Japanese Blue Sky Stream,Hoppip #1,$1.99
3472831,Pokemon Japanese Blue Sky Stream,Jumpluff #3,$1.66
3472867,Pokemon Japanese Blue Sky Stream,Landorus #39,$1.48
3472918,Pokemon Japanese Blue Sky Stream,Lightning Energy #90,$26.49
3472884,Pokemon Japanese Blue Sky Stream,Lucky Ice Pop #56,$2.24
3472854,Pokemon Japanese Blue Sky Stream,Mareep #26,$1.75
3472864,Pokemon Japanese Blue Sky Stream,Medicham V #36,$1.21
3472899,Pokemon Japanese Blue Sky Stream,Medicham V #71,$4.09
3472900,Pokemon Japanese Blue Sky Stream,Medicham V #72,$27.00
3472858,Pokemon Japanese Blue Sky Stream,Minun #30,$1.82
3472839,Pokemon Japanese Blue Sky Stream,Ninetales #11,$1.99
3472833,Pokemon Japanese Blue Sky Stream,Pansage #5,$1.00
3472841,Pokemon Japanese Blue Sky Stream,Pansear #13,$0.11
3472857,Pokemon Japanese Blue Sky Stream,Plusle #29,$1.99
3472890,Pokemon Japanese Blue Sky Stream,Rapid Strike Scroll of the Flying Dragon #62,
3472874,Pokemon Japanese Blue Sky Stream,Rayquaza V #46,$2.66
3472903,Pokemon Japanese Blue Sky Stream,Rayquaza V #75,$26.66
3472904,Pokemon Japanese Blue Sky Stream,Rayquaza V #76,$550.00
3472875,Pokemon Japanese Blue Sky Stream,Rayquaza VMAX #47,$6.00
3472910,Pokemon Japanese Blue Sky Stream,Rayquaza VMAX #82,$81.93
3472911,Pokemon Japanese Blue Sky Stream,Rayquaza VMAX #83,$2241.00
3472880,Pokemon Japanese Blue Sky Stream,Regidrago #52,$1.60
3472861,Pokemon Japanese Blue Sky Stream,Regieleki #33,$1.45
3472888,Pokemon Japanese Blue Sky Stream,Rubber Gloves #60,$0.50
3472873,Pokemon Japanese Blue Sky Stream,Salamence #45,$2.01
3472862,Pokemon Japanese Blue Sky Stream,Sandshrew #34,$1.99
3472863,Pokemon Japanese Blue Sky Stream,Sandslash #35,$1.31
3472892,Pokemon Japanese Blue Sky Stream,Schoolboy #64,$1.74
3472906,Pokemon Japanese Blue Sky Stream,Schoolboy #78,$3.71
3472913,Pokemon Japanese Blue Sky Stream,Schoolboy #85,$7.05
3472891,Pokemon Japanese Blue Sky Stream,Shauna #63,$1.44
3472905,Pokemon Japanese Blue Sky Stream,Shauna #77,$26.00
3472912,Pokemon Japanese Blue Sky Stream,Shauna #84,$12.57
3472872,Pokemon Japanese Blue Sky Stream,Shelgon #44,$1.02
3472846,Pokemon Japanese Blue Sky Stream,Shellder #18,$1.67
3472834,Pokemon Japanese Blue Sky Stream,Simisage #6,$0.87
3472842,Pokemon Japanese Blue Sky Stream,Simisear #14,$1.66
3472844,Pokemon Japanese Blue Sky Stream,Sizzlipede #16,$0.06
3472830,Pokemon Japanese Blue Sky Stream,Skiploom #2,$1.39
3472889,Pokemon Japanese Blue Sky Stream,Spirit Mask #61,$0.50
3472883,Pokemon Japanese Blue Sky Stream,Stantler #55,$0.58
3472894,Pokemon Japanese Blue Sky Stream,Stormy Mountains #66,$1.12
3472917,Pokemon Japanese Blue Sky Stream,Stormy Mountains #89,$7.39
3472868,Pokemon Japanese Blue Sky Stream,Stufful #40,$1.23
