id,console-name,product-name,loose-price
5204613,Pokemon Japanese Bonds to the End of Time,Aerodactyl GL #49,$2.98
8453243,Pokemon Japanese Bonds to the End of Time,Aerodactyl GL [1st Edition] #49,$3.10
3459696,Pokemon Japanese Bonds to the End of Time,Aggron #65,$2.23
8453244,Pokemon Japanese Bonds to the End of Time,Aggron [1st Edition] #65,$4.00
5204603,Pokemon Japanese Bonds to the End of Time,Alakazam #41,$3.98
5204605,Pokemon Japanese Bonds to the End of Time,Alakazam LV.X #42,$35.36
8453246,Pokemon Japanese Bonds to the End of Time,Alakazam LV.X [1st Edition] #42,$27.97
8453245,Pokemon Japanese Bonds to the End of Time,Alakazam [1st Edition] #41,$6.45
5204625,Pokemon Japanese Bonds to the End of Time,Ambipom #75,$2.70
8453247,Pokemon Japanese Bonds to the End of Time,Ambipom [1st Edition] #75,$6.00
3459631,Pokemon Japanese Bonds to the End of Time,Arcanine #10,$18.38
8453248,Pokemon Japanese Bonds to the End of Time,Arcanine [1st Edition] #10,$24.99
3459694,Pokemon Japanese Bonds to the End of Time,Aron #63,$1.99
8453249,Pokemon Japanese Bonds to the End of Time,Aron [1st Edition] #63,$3.99
5204623,Pokemon Japanese Bonds to the End of Time,Bastiodon GL #67,$3.89
8453250,Pokemon Japanese Bonds to the End of Time,Bastiodon GL [1st Edition] #67,$4.99
3459712,Pokemon Japanese Bonds to the End of Time,Bebe's Search #81,$1.97
8453251,Pokemon Japanese Bonds to the End of Time,Bebe's Search [1st Edition] #81,$1.89
3459624,Pokemon Japanese Bonds to the End of Time,Beedrill #3,$2.01
8453252,Pokemon Japanese Bonds to the End of Time,Beedrill [1st Edition] #3,$3.68
7750377,Pokemon Japanese Bonds to the End of Time,Booster Box,$5830.73
13115558,Pokemon Japanese Bonds to the End of Time,Booster Pack,$403.35
3459690,Pokemon Japanese Bonds to the End of Time,Carvanha #59,$2.49
8453253,Pokemon Japanese Bonds to the End of Time,Carvanha [1st Edition] #59,$2.59
3459711,Pokemon Japanese Bonds to the End of Time,Charon's Choice #80,$3.99
8453254,Pokemon Japanese Bonds to the End of Time,Charon's Choice [1st Edition] #80,$4.49
3459717,Pokemon Japanese Bonds to the End of Time,Darkness Energy #86,$3.49
8453255,Pokemon Japanese Bonds to the End of Time,Darkness Energy [1st Edition] #86,$4.50
3459699,Pokemon Japanese Bonds to the End of Time,Eevee #68,$3.79
8336769,Pokemon Japanese Bonds to the End of Time,Eevee [1st Edition] #68,$4.49
