id,console-name,product-name,loose-price
3473961,Pokemon Japanese CD Promo,Arcanine #59,$35.75
3473959,Pokemon Japanese CD Promo,Blastoise [Holo] #9,$252.94
5252486,Pokemon Japanese CD Promo,Booster Box,$8750.00
3473958,Pokemon Japanese CD Promo,Charizard #6,$463.00
3473960,Pokemon Japanese CD Promo,Meowth #52,$243.50
3473965,Pokemon Japanese CD Promo,Mew [Glossy] #151,$129.20
3473964,Pokemon Japanese CD Promo,Mewtwo [Glossy] #150,$61.21
3473967,Pokemon Japanese CD Promo,Misty's Treatment [Pokemon Mini CD],$448.00
13067531,Pokemon Japanese CD Promo,Pikachu #58,$845.00
3473962,Pokemon Japanese CD Promo,Porygon [Holo] #137,$24.80
3473963,Pokemon Japanese CD Promo,Snorlax [Holo] #143,$122.50
3473966,Pokemon Japanese CD Promo,Super Energy Retrieval [Glossy],$4.50
5154287,Pokemon Japanese CD Promo,Trade Please,$395.04
3473957,Pokemon Japanese CD Promo,Venusaur [Holo] #3,$178.61
