id,console-name,product-name,loose-price
3457630,Pokemon Japanese Challenge from the Darkness,Blaine,$7.00
3457573,Pokemon Japanese Challenge from the Darkness,Blaine's Arcanine #59,$33.99
3457571,Pokemon Japanese Challenge from the Darkness,Blaine's Charizard #6,$165.50
3457564,Pokemon Japanese Challenge from the Darkness,Blaine's Charmander #4,$4.10
6948336,Pokemon Japanese Challenge from the Darkness,Blaine's Charmander [Lv. 18] #4,$4.00
3457568,Pokemon Japanese Challenge from the Darkness,Blaine's Charmeleon #5,$6.34
8484193,Pokemon Japanese Challenge from the Darkness,Blaine's Dodrio #85,$7.99
4360255,Pokemon Japanese Challenge from the Darkness,Blaine's Doduo #84,$2.00
3457613,Pokemon Japanese Challenge from the Darkness,Blaine's Gamble,$2.00
10808423,Pokemon Japanese Challenge from the Darkness,Blaine's Growlithe #56,$3.99
3457566,Pokemon Japanese Challenge from the Darkness,Blaine's Growlithe #58,$2.00
4602288,Pokemon Japanese Challenge from the Darkness,Blaine's Growlithe [Guren Town] #58,$2.96
3457606,Pokemon Japanese Challenge from the Darkness,Blaine's Kangaskhan #115,$2.50
3457618,Pokemon Japanese Challenge from the Darkness,Blaine's Last Resort,$2.18
3457570,Pokemon Japanese Challenge from the Darkness,Blaine's Magmar #126,$3.00
3457595,Pokemon Japanese Challenge from the Darkness,Blaine's Mankey #56,$1.98
3457574,Pokemon Japanese Challenge from the Darkness,Blaine's Moltres #146,$50.00
3457572,Pokemon Japanese Challenge from the Darkness,Blaine's Ninetales,$5.99
4360254,Pokemon Japanese Challenge from the Darkness,Blaine's Ninetales #38,$6.47
3457567,Pokemon Japanese Challenge from the Darkness,Blaine's Ponyta #77,$1.59
3457619,Pokemon Japanese Challenge from the Darkness,Blaine's Quiz #3,$2.00
3457569,Pokemon Japanese Challenge from the Darkness,Blaine's Rapidash #78,$2.62
3457597,Pokemon Japanese Challenge from the Darkness,Blaine's Rhyhorn #111,$2.77
3457604,Pokemon Japanese Challenge from the Darkness,Blaine's Tauros #128,$2.25
3457565,Pokemon Japanese Challenge from the Darkness,Blaine's Vulpix,$2.50
4360253,Pokemon Japanese Challenge from the Darkness,Blaine's Vulpix #37,$2.72
