id,console-name,product-name,loose-price
3439349,Pokemon Japanese Clash of the Blue Sky,Altaria #61,$22.19
8453410,Pokemon Japanese Clash of the Blue Sky,Altaria [1st Edition] #61,$18.49
3439350,Pokemon Japanese Clash of the Blue Sky,Bagon #62,$4.34
8453411,Pokemon Japanese Clash of the Blue Sky,Bagon [1st Edition] #62,$2.00
3439340,Pokemon Japanese Clash of the Blue Sky,Baltoy #53,$1.99
8453412,Pokemon Japanese Clash of the Blue Sky,Baltoy [1st Edition] #53,$1.99
3439317,Pokemon Japanese Clash of the Blue Sky,Barboach #30,$3.05
8453413,Pokemon Japanese Clash of the Blue Sky,Barboach [1st Edition] #30,$2.82
3439295,Pokemon Japanese Clash of the Blue Sky,Beautifly #8,$6.27
8422505,Pokemon Japanese Clash of the Blue Sky,Beautifly [1st Edition] #8,$5.99
3439329,Pokemon Japanese Clash of the Blue Sky,Beldum #42,$1.84
8453414,Pokemon Japanese Clash of the Blue Sky,Beldum [1st Edition] #42,$1.99
3439370,Pokemon Japanese Clash of the Blue Sky,Boost Energy #82,$5.00
8453415,Pokemon Japanese Clash of the Blue Sky,Boost Energy [1st Edition] #82,
13118685,Pokemon Japanese Clash of the Blue Sky,Booster Box,
13118686,Pokemon Japanese Clash of the Blue Sky,Booster Pack,
3439334,Pokemon Japanese Clash of the Blue Sky,Breloom #47,$8.77
8453416,Pokemon Japanese Clash of the Blue Sky,Breloom [1st Edition] #47,$8.06
3439305,Pokemon Japanese Clash of the Blue Sky,Camerupt #18,$9.99
8453417,Pokemon Japanese Clash of the Blue Sky,Camerupt [1st Edition] #18,$8.03
3439359,Pokemon Japanese Clash of the Blue Sky,Carvanha #71,$2.99
8453418,Pokemon Japanese Clash of the Blue Sky,Carvanha [1st Edition] #71,$2.98
3439341,Pokemon Japanese Clash of the Blue Sky,Claydol #54,$4.99
8453419,Pokemon Japanese Clash of the Blue Sky,Claydol [1st Edition] #54,$4.99
3439318,Pokemon Japanese Clash of the Blue Sky,Corphish #31,$2.12
8453420,Pokemon Japanese Clash of the Blue Sky,Corphish [1st Edition] #31,$2.69
3439361,Pokemon Japanese Clash of the Blue Sky,Crawdaunt #73,$8.61
8453421,Pokemon Japanese Clash of the Blue Sky,Crawdaunt [1st Edition] #73,$6.95
3439292,Pokemon Japanese Clash of the Blue Sky,Crobat ex #5,$26.99
8453422,Pokemon Japanese Clash of the Blue Sky,Crobat ex [1st Edition] #5,$28.80
3439365,Pokemon Japanese Clash of the Blue Sky,Crystal Shard #77,
8453423,Pokemon Japanese Clash of the Blue Sky,Crystal Shard [1st Edition] #77,
3439332,Pokemon Japanese Clash of the Blue Sky,Deoxys ex #45,$94.75
3439333,Pokemon Japanese Clash of the Blue Sky,Deoxys ex #46,$64.80
8453424,Pokemon Japanese Clash of the Blue Sky,Deoxys ex [1st Edition] #45,$66.44
8453425,Pokemon Japanese Clash of the Blue Sky,Deoxys ex [1st Edition] #46,$45.75
3439328,Pokemon Japanese Clash of the Blue Sky,Dusclops #41,$5.99
8453426,Pokemon Japanese Clash of the Blue Sky,Dusclops [1st Edition] #41,$7.49
3439327,Pokemon Japanese Clash of the Blue Sky,Duskull #40,$2.49
8453427,Pokemon Japanese Clash of the Blue Sky,Duskull [1st Edition] #40,$2.29
3439319,Pokemon Japanese Clash of the Blue Sky,Electrike #32,$1.49
8453428,Pokemon Japanese Clash of the Blue Sky,Electrike [1st Edition] #32,$2.24
3439289,Pokemon Japanese Clash of the Blue Sky,Golbat #2,$2.99
8453429,Pokemon Japanese Clash of the Blue Sky,Golbat [1st Edition] #2,$2.42
3439306,Pokemon Japanese Clash of the Blue Sky,Goldeen #19,$3.09
8453430,Pokemon Japanese Clash of the Blue Sky,Goldeen [1st Edition] #19,$3.99
3439311,Pokemon Japanese Clash of the Blue Sky,Gyarados #24,$34.99
8453431,Pokemon Japanese Clash of the Blue Sky,Gyarados [1st Edition] #24,$49.18
7870268,Pokemon Japanese Clash of the Blue Sky,Hariyama Ex [1st Edition] #49,$13.62
3439336,Pokemon Japanese Clash of the Blue Sky,Hariyama ex #49,$19.99
3439369,Pokemon Japanese Clash of the Blue Sky,Heal Energy #81,$2.25
8453432,Pokemon Japanese Clash of the Blue Sky,Heal Energy [1st Edition] #81,$0.50
3439363,Pokemon Japanese Clash of the Blue Sky,Jirachi #75,$56.50
8453433,Pokemon Japanese Clash of the Blue Sky,Jirachi [1st Edition] #75,$50.00
3439290,Pokemon Japanese Clash of the Blue Sky,Koffing #3,$2.30
