id,console-name,product-name,loose-price
5003473,Pokemon Japanese Clay Burst,Amulet of Courage #67,
5003445,Pokemon Japanese Clay Burst,Barboach #38,$1.13
5003432,Pokemon Japanese Clay Burst,Bellibolt ex #25,$1.81
5066123,Pokemon Japanese Clay Burst,Bellibolt ex #86,$4.00
5003463,Pokemon Japanese Clay Burst,Bombirdier #56,$1.90
5834338,Pokemon Japanese Clay Burst,Booster Box,$96.29
8253208,Pokemon Japanese Clay Burst,Booster Pack,$7.00
5003418,Pokemon Japanese Clay Burst,Camerupt #11,$1.55
5003438,Pokemon Japanese Clay Burst,Ceruledge #31,$1.45
5003421,Pokemon Japanese Clay Burst,Charcadet #14,$1.23
5003422,Pokemon Japanese Clay Burst,Charcadet #15,$1.30
5003423,Pokemon Japanese Clay Burst,Chi-Yu ex #16,$1.39
5066122,Pokemon Japanese Clay Burst,Chi-Yu ex #85,$3.15
5066129,Pokemon Japanese Clay Burst,Chi-Yu ex #92,$38.73
5003450,Pokemon Japanese Clay Burst,Crabominable #43,$0.51
5003449,Pokemon Japanese Clay Burst,Crabrawler #42,$1.75
5003447,Pokemon Japanese Clay Burst,Croagunk #40,$1.28
5003474,Pokemon Japanese Clay Burst,Delivery Drone #66,$0.50
5003467,Pokemon Japanese Clay Burst,Farigiraf #60,$1.99
5066120,Pokemon Japanese Clay Burst,Farigiraf #83,$3.00
5003472,Pokemon Japanese Clay Burst,Flamigo #65,$1.61
5065931,Pokemon Japanese Clay Burst,Flamigo #82,$3.51
5003419,Pokemon Japanese Clay Burst,Fletchinder #12,$1.00
5066113,Pokemon Japanese Clay Burst,Fletchinder #73,$4.00
5003468,Pokemon Japanese Clay Burst,Fletchling #61,$1.53
5003412,Pokemon Japanese Clay Burst,Forretress ex #5,$0.73
5066121,Pokemon Japanese Clay Burst,Forretress ex #84,$2.27
5003455,Pokemon Japanese Clay Burst,Garganacl #48,$1.45
5003466,Pokemon Japanese Clay Burst,Girafarig #59,$1.65
5003462,Pokemon Japanese Clay Burst,Grafaiai #55,$1.79
5066119,Pokemon Japanese Clay Burst,Grafaiai #80,$2.83
5066136,Pokemon Japanese Clay Burst,Grass Energy #99,$15.49
5003413,Pokemon Japanese Clay Burst,Heracross #6,$1.42
5066112,Pokemon Japanese Clay Burst,Heracross #72,$5.38
5003408,Pokemon Japanese Clay Burst,Hoppip #1,$1.90
5003476,Pokemon Japanese Clay Burst,Iono #69,$1.84
5066128,Pokemon Japanese Clay Burst,Iono #91,$28.49
5066133,Pokemon Japanese Clay Burst,Iono #96,$304.00
5003433,Pokemon Japanese Clay Burst,Jigglypuff #26,$1.40
5003410,Pokemon Japanese Clay Burst,Jumpluff #3,$1.42
5003443,Pokemon Japanese Clay Burst,Larvitar #36,$1.37
5003427,Pokemon Japanese Clay Burst,Luxio #20,$1.71
5003428,Pokemon Japanese Clay Burst,Luxray #21,$1.50
5003471,Pokemon Japanese Clay Burst,Maushold #64,$1.79
5066106,Pokemon Japanese Clay Burst,Maushold #81,$30.87
5003452,Pokemon Japanese Clay Burst,Nacli #45,$1.00
5003453,Pokemon Japanese Clay Burst,Nacli #46,$1.00
5066116,Pokemon Japanese Clay Burst,Nacli #78,$2.45
5003454,Pokemon Japanese Clay Burst,Naclstack #47,$0.53
5003464,Pokemon Japanese Clay Burst,Noibat #57,$1.28
5003465,Pokemon Japanese Clay Burst,Noivern ex #58,$0.62
5066126,Pokemon Japanese Clay Burst,Noivern ex #89,$3.70
5003417,Pokemon Japanese Clay Burst,Numel #10,$1.63
5003437,Pokemon Japanese Clay Burst,Palossand #30,$1.79
5003451,Pokemon Japanese Clay Burst,Passimian #44,$1.79
5003424,Pokemon Japanese Clay Burst,Pikachu #17,$1.79
5003429,Pokemon Japanese Clay Burst,Pincurchin #22,$1.39
5003411,Pokemon Japanese Clay Burst,Pineco #4,$1.79
5003444,Pokemon Japanese Clay Burst,Pupitar #37,$1.45
5003425,Pokemon Japanese Clay Burst,Raichu #18,$1.55
5066114,Pokemon Japanese Clay Burst,Raichu #74,$21.24
5003475,Pokemon Japanese Clay Burst,Saguaro #68,$1.00
5066127,Pokemon Japanese Clay Burst,Saguaro #90,$2.15
5066132,Pokemon Japanese Clay Burst,Saguaro #95,$10.50
5066115,Pokemon Japanese Clay Burst,Sandygast #75,$2.99
5003436,Pokemon Japanese Clay Burst,Sandyghast #29,$1.45
5003426,Pokemon Japanese Clay Burst,Shinx #19,$1.48
5003460,Pokemon Japanese Clay Burst,Shroodle #53,$0.87
5003461,Pokemon Japanese Clay Burst,Shroodle #54,$1.08
5003409,Pokemon Japanese Clay Burst,Skiploom #2,$1.73
5003457,Pokemon Japanese Clay Burst,Sneasel #50,$1.07
5003416,Pokemon Japanese Clay Burst,Spidops #9,$1.00
5003435,Pokemon Japanese Clay Burst,Spiritomb #28,$1.57
5066135,Pokemon Japanese Clay Burst,Superior Energy Retrieval #98,$8.18
5003430,Pokemon Japanese Clay Burst,Tadbulb #23,$1.45
5003431,Pokemon Japanese Clay Burst,Tadbulb #24,$1.11
5003420,Pokemon Japanese Clay Burst,Talonflame #13,$1.47
5003469,Pokemon Japanese Clay Burst,Tandemaus #62,$1.66
5003470,Pokemon Japanese Clay Burst,Tandemaus #63,$1.79
5003414,Pokemon Japanese Clay Burst,Tarountula #7,$1.44
5003415,Pokemon Japanese Clay Burst,Tarountula #8,$1.55
5003478,Pokemon Japanese Clay Burst,Therapeutic Energy #71,$1.21
5003456,Pokemon Japanese Clay Burst,Ting-Lu ex #49,$0.50
5066125,Pokemon Japanese Clay Burst,Ting-Lu ex #88,$2.21
5066131,Pokemon Japanese Clay Burst,Ting-Lu ex #94,$10.22
5066134,Pokemon Japanese Clay Burst,Ting-Lu ex #97,$5.50
5003439,Pokemon Japanese Clay Burst,Tinkatink #32,$1.65
5003440,Pokemon Japanese Clay Burst,Tinkatink #33,$1.79
5065926,Pokemon Japanese Clay Burst,Tinkatink #76,$5.78
5003442,Pokemon Japanese Clay Burst,Tinkaton ex #35,$2.10
5066124,Pokemon Japanese Clay Burst,Tinkaton ex #87,$5.99
5066130,Pokemon Japanese Clay Burst,Tinkaton ex #93,$43.21
5003441,Pokemon Japanese Clay Burst,Tinkatuff #34,$1.58
5065928,Pokemon Japanese Clay Burst,Tinkatuff #77,$4.99
5003448,Pokemon Japanese Clay Burst,Toxicroak #41,$1.80
5003459,Pokemon Japanese Clay Burst,Tyranitar #52,$1.42
5066117,Pokemon Japanese Clay Burst,Tyranitar #79,$13.11
5003458,Pokemon Japanese Clay Burst,Weavile #51,$0.96
5003446,Pokemon Japanese Clay Burst,Whiscash #39,$1.74
5003434,Pokemon Japanese Clay Burst,Wigglytuff #27,$1.81
5003477,Pokemon Japanese Clay Burst,Wilderness of Disaster #70,$1.49
