id,console-name,product-name,loose-price
3461264,Pokemon Japanese Cold Flare,Altaria #65,$126.74
8453490,Pokemon Japanese Cold Flare,Altaria [1st Edition] #65,$64.58
3461256,Pokemon Japanese Cold Flare,Aspertia City Gym #57,$0.75
8453491,Pokemon Japanese Cold Flare,Aspertia City Gym [1st Edition] #57,$1.00
3461262,Pokemon Japanese Cold Flare,Bianca #63,$98.12
8453492,Pokemon Japanese Cold Flare,Bianca [1st Edition] #63,$99.99
3461253,Pokemon Japanese Cold Flare,Bicycle #54,$3.99
8453493,Pokemon Japanese Cold Flare,Bicycle [1st Edition] #54,$0.25
3461213,Pokemon Japanese Cold Flare,Blastoise #14,$7.07
8453494,Pokemon Japanese Cold Flare,Blastoise [1st Edition] #14,$10.84
13118467,Pokemon Japanese Cold Flare,Booster Box,
13118470,Pokemon Japanese Cold Flare,Booster Pack,$70.00
3461210,Pokemon Japanese Cold Flare,Camerupt #11,$0.50
8453495,Pokemon Japanese Cold Flare,Camerupt [1st Edition] #11,
3461203,Pokemon Japanese Cold Flare,Celebi EX #4,$9.31
3461259,Pokemon Japanese Cold Flare,Celebi EX #60,$48.00
8453496,Pokemon Japanese Cold Flare,Celebi EX [1st Edition] #4,$12.47
8453497,Pokemon Japanese Cold Flare,Celebi EX [1st Edition] #60,$31.99
3461257,Pokemon Japanese Cold Flare,Computer Search #58,$4.03
8453498,Pokemon Japanese Cold Flare,Computer Search [1st Edition] #58,$2.99
3461235,Pokemon Japanese Cold Flare,Conkeldurr #36,$0.50
8453499,Pokemon Japanese Cold Flare,Conkeldurr [1st Edition] #36,$2.70
3461226,Pokemon Japanese Cold Flare,Croagunk #27,$2.39
8453500,Pokemon Japanese Cold Flare,Croagunk [1st Edition] #27,$2.00
3461237,Pokemon Japanese Cold Flare,Crustle #38,$2.99
8453501,Pokemon Japanese Cold Flare,Crustle [1st Edition] #38,$3.32
3461258,Pokemon Japanese Cold Flare,Crystal Edge #59,$1.79
8453502,Pokemon Japanese Cold Flare,Crystal Edge [1st Edition] #59,$7.98
3461247,Pokemon Japanese Cold Flare,Delcatty #48,$3.16
8453503,Pokemon Japanese Cold Flare,Delcatty [1st Edition] #48,$2.84
3461241,Pokemon Japanese Cold Flare,Ditto #42,$20.63
8453504,Pokemon Japanese Cold Flare,Ditto [1st Edition] #42,$22.04
3461216,Pokemon Japanese Cold Flare,Ducklett #17,$2.24
8453505,Pokemon Japanese Cold Flare,Ducklett [1st Edition] #17,$1.75
3461242,Pokemon Japanese Cold Flare,Dunsparce #43,$2.99
8453506,Pokemon Japanese Cold Flare,Dunsparce [1st Edition] #43,$3.20
3461224,Pokemon Japanese Cold Flare,Dusclops #25,$2.56
8453507,Pokemon Japanese Cold Flare,Dusclops [1st Edition] #25,$1.83
3461225,Pokemon Japanese Cold Flare,Dusknoir #26,$3.59
8453508,Pokemon Japanese Cold Flare,Dusknoir [1st Edition] #26,$1.18
3461223,Pokemon Japanese Cold Flare,Duskull #24,$2.83
8453509,Pokemon Japanese Cold Flare,Duskull [1st Edition] #24,$3.59
3461236,Pokemon Japanese Cold Flare,Dwebble #37,$2.99
8453510,Pokemon Japanese Cold Flare,Dwebble [1st Edition] #37,$4.49
3461219,Pokemon Japanese Cold Flare,Electabuzz #20,$2.82
8453511,Pokemon Japanese Cold Flare,Electabuzz [1st Edition] #20,$2.44
3461220,Pokemon Japanese Cold Flare,Electivire #21,$2.06
8453512,Pokemon Japanese Cold Flare,Electivire [1st Edition] #21,$2.99
3461254,Pokemon Japanese Cold Flare,Ether #55,
8453513,Pokemon Japanese Cold Flare,Ether [1st Edition] #55,
