id,console-name,product-name,loose-price
6526231,Pokemon Japanese Crimson Haze,Applin #48,$1.38
6526260,Pokemon Japanese Crimson Haze,Applin #77,$4.27
6526188,Pokemon Japanese Crimson Haze,Ariados #5,$1.00
6526215,Pokemon Japanese Crimson Haze,Bellibolt #32,$1.58
6526235,Pokemon Japanese Crimson Haze,Bloodmoon Ursaluna ex #52,$1.82
6526267,Pokemon Japanese Crimson Haze,Bloodmoon Ursaluna ex #84,$3.63
6526273,Pokemon Japanese Crimson Haze,Bloodmoon Ursaluna ex #91,$30.12
6526277,Pokemon Japanese Crimson Haze,Bloodmoon Ursaluna ex #94,$6.99
6526249,Pokemon Japanese Crimson Haze,Boomerang Energy #66,$1.51
6526182,Pokemon Japanese Crimson Haze,Booster Box,$104.98
6526183,Pokemon Japanese Crimson Haze,Booster Pack,$7.00
6526244,Pokemon Japanese Crimson Haze,Caretaker #61,$0.51
6526268,Pokemon Japanese Crimson Haze,Caretaker #85,$5.20
6526201,Pokemon Japanese Crimson Haze,Chi-Yu #18,$1.20
6526198,Pokemon Japanese Crimson Haze,Chimchar #15,$1.61
6526248,Pokemon Japanese Crimson Haze,Community Center #65,$0.38
6526202,Pokemon Japanese Crimson Haze,Corphish #19,$1.42
6526208,Pokemon Japanese Crimson Haze,Cramorant #25,$1.09
6526255,Pokemon Japanese Crimson Haze,Cramorant #72,$2.97
6526203,Pokemon Japanese Crimson Haze,Crawdaunt #20,$1.48
6526232,Pokemon Japanese Crimson Haze,Dipplin #49,$1.50
6526233,Pokemon Japanese Crimson Haze,Eevee #50,$1.79
6526261,Pokemon Japanese Crimson Haze,Eevee #78,$41.02
6526278,Pokemon Japanese Crimson Haze,Emergency Board #95,$5.28
6526222,Pokemon Japanese Crimson Haze,Enamorus #39,$1.81
6526257,Pokemon Japanese Crimson Haze,Enamorus #74,$3.38
6526237,Pokemon Japanese Crimson Haze,Enhanced Hammer #54,$0.38
6526218,Pokemon Japanese Crimson Haze,Farigiraf #35,$1.29
6526219,Pokemon Japanese Crimson Haze,Flabebe #36,$1.89
6526220,Pokemon Japanese Crimson Haze,Floette #37,$1.40
6526221,Pokemon Japanese Crimson Haze,Florges #38,$1.00
6526206,Pokemon Japanese Crimson Haze,Froakie #23,$1.90
6526207,Pokemon Japanese Crimson Haze,Frogadier #24,$1.10
6526217,Pokemon Japanese Crimson Haze,Girafarig #34,$1.80
6526204,Pokemon Japanese Crimson Haze,Glaceon #21,$1.81
6526228,Pokemon Japanese Crimson Haze,Greninja ex #45,$1.42
6526266,Pokemon Japanese Crimson Haze,Greninja ex #83,$8.99
6526274,Pokemon Japanese Crimson Haze,Greninja ex #90,$212.50
6526229,Pokemon Japanese Crimson Haze,Hawlucha #46,$1.62
6526212,Pokemon Japanese Crimson Haze,Heliolisk #29,$1.00
6526256,Pokemon Japanese Crimson Haze,Heliolisk #73,$2.44
6526211,Pokemon Japanese Crimson Haze,Helioptile #28,$1.45
6526225,Pokemon Japanese Crimson Haze,Hisuian Arcanine #42,$1.90
6526224,Pokemon Japanese Crimson Haze,Hisuian Growlithe #41,$1.37
6526258,Pokemon Japanese Crimson Haze,Hisuian Growlithe #75,$9.96
6526238,Pokemon Japanese Crimson Haze,Hyper Aroma #55,$1.76
