id,console-name,product-name,loose-price
3457741,Pokemon Japanese Crossing the Ruins,Beedrill #15,$54.25
10610902,Pokemon Japanese Crossing the Ruins,Booster Box,$24257.92
10610903,Pokemon Japanese Crossing the Ruins,Booster Pack,$765.50
3457740,Pokemon Japanese Crossing the Ruins,Butterfree #12,$40.50
3457732,Pokemon Japanese Crossing the Ruins,Caterpie #10,$2.58
3457748,Pokemon Japanese Crossing the Ruins,Corsola #222,$4.48
3457752,Pokemon Japanese Crossing the Ruins,Dark Raichu #26,$147.28
3457777,Pokemon Japanese Crossing the Ruins,Dunsparce #206,$2.03
3457779,Pokemon Japanese Crossing the Ruins,Eevee #133,$5.58
3457783,Pokemon Japanese Crossing the Ruins,Energy Ark,$1.99
3457760,Pokemon Japanese Crossing the Ruins,Espeon #196,$131.53
3457774,Pokemon Japanese Crossing the Ruins,Forretress #205,$9.99
3457786,Pokemon Japanese Crossing the Ruins,Fossil Egg,$1.47
3457769,Pokemon Japanese Crossing the Ruins,Hitmontop #237,$16.99
3457735,Pokemon Japanese Crossing the Ruins,Hoppip #187,$2.67
3457771,Pokemon Japanese Crossing the Ruins,Houndoom #229,$36.04
3457743,Pokemon Japanese Crossing the Ruins,Houndour #228,$29.60
6468846,Pokemon Japanese Crossing the Ruins,Houndour [Lv. 15] #228,$2.53
3457787,Pokemon Japanese Crossing the Ruins,Hyper Devolution Spray,$1.55
3457780,Pokemon Japanese Crossing the Ruins,Igglybuff #174,$3.41
3457745,Pokemon Japanese Crossing the Ruins,Kabuto #140,$3.20
3457749,Pokemon Japanese Crossing the Ruins,Kabutops #141,$37.49
3457738,Pokemon Japanese Crossing the Ruins,Kakuna #14,$2.49
3457765,Pokemon Japanese Crossing the Ruins,Larvitar #246,$2.56
3457773,Pokemon Japanese Crossing the Ruins,Magnemite #81,$22.25
3457751,Pokemon Japanese Crossing the Ruins,Mareep #179,$2.86
3457737,Pokemon Japanese Crossing the Ruins,Metapod #11,$2.23
3457753,Pokemon Japanese Crossing the Ruins,Natu #177,$1.99
3457763,Pokemon Japanese Crossing the Ruins,Omanyte #138,$3.41
3457766,Pokemon Japanese Crossing the Ruins,Omastar #139,$2.00
3457736,Pokemon Japanese Crossing the Ruins,Pineco #204,$2.98
3457750,Pokemon Japanese Crossing the Ruins,Politoed #186,$42.77
3457744,Pokemon Japanese Crossing the Ruins,Poliwag #60,$2.99
3457747,Pokemon Japanese Crossing the Ruins,Poliwhirl #61,$3.51
3457768,Pokemon Japanese Crossing the Ruins,Poliwrath #62,$19.99
3457767,Pokemon Japanese Crossing the Ruins,Pupitar #247,$2.21
6222986,Pokemon Japanese Crossing the Ruins,Ruin Wall,$4.21
3457775,Pokemon Japanese Crossing the Ruins,Scizor #212,$25.00
3457739,Pokemon Japanese Crossing the Ruins,Scyther #123,$3.16
3457776,Pokemon Japanese Crossing the Ruins,Sentret #161,$2.15
3457782,Pokemon Japanese Crossing the Ruins,Smeargle #235,$19.99
8344071,Pokemon Japanese Crossing the Ruins,Smeargle [Trainer Magazine] #235,$51.50
3457734,Pokemon Japanese Crossing the Ruins,Spinarak #167,$2.72
3457778,Pokemon Japanese Crossing the Ruins,Teddiursa #216,$2.99
3457772,Pokemon Japanese Crossing the Ruins,Tyranitar #248,$50.48
3457764,Pokemon Japanese Crossing the Ruins,Tyrogue #236,$3.25
3457770,Pokemon Japanese Crossing the Ruins,Umbreon #197,$270.00
3457761,Pokemon Japanese Crossing the Ruins,Unown A #201,$13.95
3457756,Pokemon Japanese Crossing the Ruins,Unown D #201,$3.14
3457757,Pokemon Japanese Crossing the Ruins,Unown F #201,$3.80
3457754,Pokemon Japanese Crossing the Ruins,Unown I #201,$3.10
3457758,Pokemon Japanese Crossing the Ruins,Unown M #201,$3.41
3457759,Pokemon Japanese Crossing the Ruins,Unown U #201,$3.40
3457781,Pokemon Japanese Crossing the Ruins,Ursaring #217,$14.29
3457733,Pokemon Japanese Crossing the Ruins,Weedle #13,$2.49
3457762,Pokemon Japanese Crossing the Ruins,Wobbuffet #202,$24.09
3457746,Pokemon Japanese Crossing the Ruins,Wooper #194,$3.16
3457755,Pokemon Japanese Crossing the Ruins,Xatu #178,$2.95
3457742,Pokemon Japanese Crossing the Ruins,Yanma #193,$16.67
