id,console-name,product-name,loose-price
6281498,Pokemon Japanese Cyber Judge,Beldum #46,$1.00
6281521,Pokemon Japanese Cyber Judge,Bianca's Sincerity #69,$1.28
6302876,Pokemon Japanese Cyber Judge,Bianca's Sincerity #92,$5.99
6281535,Pokemon Japanese Cyber Judge,Bianca's Sincerity #97,$29.06
6281451,Pokemon Japanese Cyber Judge,Booster Box,$80.23
6281452,Pokemon Japanese Cyber Judge,Booster Pack,$4.81
6281465,Pokemon Japanese Cyber Judge,Brambleghast #13,$1.19
6281464,Pokemon Japanese Cyber Judge,Bramblin #12,$1.56
6281459,Pokemon Japanese Cyber Judge,Breloom #7,$1.45
6281479,Pokemon Japanese Cyber Judge,Charjabug #27,$1.49
6281527,Pokemon Japanese Cyber Judge,Charjabug #76,$3.14
6302874,Pokemon Japanese Cyber Judge,Code Maniac's Decoding #90,$4.12
6281519,Pokemon Japanese Cyber Judge,Codebreaker's Solution #67,$2.67
6281485,Pokemon Japanese Cyber Judge,Cutiefly #33,$1.45
6302864,Pokemon Japanese Cyber Judge,Cutiefly #78,$3.49
6281525,Pokemon Japanese Cyber Judge,Deerling #73,$14.48
6281460,Pokemon Japanese Cyber Judge,Deerling #8,$1.38
6281508,Pokemon Japanese Cyber Judge,Delcatty #56,$1.19
6281463,Pokemon Japanese Cyber Judge,Dhelmise #11,$1.41
6281512,Pokemon Japanese Cyber Judge,Drampa #60,$1.10
6281530,Pokemon Japanese Cyber Judge,Drampa #83,$7.05
6281491,Pokemon Japanese Cyber Judge,Drilbur #39,$1.22
6281477,Pokemon Japanese Cyber Judge,Electabuzz #25,$1.67
6281478,Pokemon Japanese Cyber Judge,Electivire #26,$1.37
6281492,Pokemon Japanese Cyber Judge,Excadrill #40,$1.96
6302865,Pokemon Japanese Cyber Judge,Excadrill #79,$3.67
6281494,Pokemon Japanese Cyber Judge,Farigiraf ex #42,$1.29
6302872,Pokemon Japanese Cyber Judge,Farigiraf ex #88,$3.38
6281495,Pokemon Japanese Cyber Judge,Forretress #43,$1.41
6281522,Pokemon Japanese Cyber Judge,Full Metal Lab #70,$1.22
6281517,Pokemon Japanese Cyber Judge,Future Booster Energy Capsule #65,$1.36
6281484,Pokemon Japanese Cyber Judge,Girafarig #32,$1.45
6281462,Pokemon Japanese Cyber Judge,Grubbin #10,$0.99
6281513,Pokemon Japanese Cyber Judge,Hand Trimmer #61,$1.00
6281518,Pokemon Japanese Cyber Judge,Heavy Baton #66,$1.26
6281516,Pokemon Japanese Cyber Judge,Hero's Cape #64,$2.75
6281474,Pokemon Japanese Cyber Judge,Incineroar ex #22,$1.53
6302869,Pokemon Japanese Cyber Judge,Incineroar ex #85,$3.00
6302879,Pokemon Japanese Cyber Judge,Iron Boulder ex #100,$6.27
6281493,Pokemon Japanese Cyber Judge,Iron Boulder ex #41,$1.33
6302871,Pokemon Japanese Cyber Judge,Iron Boulder ex #87,$2.79
6281533,Pokemon Japanese Cyber Judge,Iron Boulder ex #95,$15.82
6281488,Pokemon Japanese Cyber Judge,Iron Crown ex #36,$1.50
6302870,Pokemon Japanese Cyber Judge,Iron Crown ex #86,$3.74
6281532,Pokemon Japanese Cyber Judge,Iron Crown ex #94,$28.99
6302878,Pokemon Japanese Cyber Judge,Iron Crown ex #99,$5.73
6281468,Pokemon Japanese Cyber Judge,Iron Leaves ex #16,$1.39
6302868,Pokemon Japanese Cyber Judge,Iron Leaves ex #84,$3.29
6281531,Pokemon Japanese Cyber Judge,Iron Leaves ex #93,$21.85
6302877,Pokemon Japanese Cyber Judge,Iron Leaves ex #98,$7.80
6281482,Pokemon Japanese Cyber Judge,Iron Thorns #30,$1.53
6281528,Pokemon Japanese Cyber Judge,Iron Thorns #77,$2.89
6281503,Pokemon Japanese Cyber Judge,Iron Treads #51,$0.99
