id,console-name,product-name,loose-price
13118443,"Pokemon Japanese Darkness, and to Light",Booster Box,
5227604,"Pokemon Japanese Darkness, and to Light",Booster Pack,$2691.73
3457954,"Pokemon Japanese Darkness, and to Light",Broken Ground Gym,$11.07
3457936,"Pokemon Japanese Darkness, and to Light",Chansey,$10.27
3457947,"Pokemon Japanese Darkness, and to Light",Counterattack Claws,$1.99
3457860,"Pokemon Japanese Darkness, and to Light",Cyndaquil,$4.92
3457890,"Pokemon Japanese Darkness, and to Light",Dark Ampharos #181,$40.60
3457855,"Pokemon Japanese Darkness, and to Light",Dark Ariados,$3.24
3457856,"Pokemon Japanese Darkness, and to Light",Dark Crobat,$26.00
3457880,"Pokemon Japanese Darkness, and to Light",Dark Croconaw,$3.78
3457922,"Pokemon Japanese Darkness, and to Light",Dark Donphan,$15.25
3457911,"Pokemon Japanese Darkness, and to Light",Dark Espeon #196,$160.00
3457900,"Pokemon Japanese Darkness, and to Light",Dark Exeggutor,$4.37
3457883,"Pokemon Japanese Darkness, and to Light",Dark Feraligatr #160,$37.92
3457888,"Pokemon Japanese Darkness, and to Light",Dark Flaaffy,$4.51
3457852,"Pokemon Japanese Darkness, and to Light",Dark Forretress,$2.77
3457910,"Pokemon Japanese Darkness, and to Light",Dark Gengar #94,$258.37
3457899,"Pokemon Japanese Darkness, and to Light",Dark Haunter,$19.98
3457868,"Pokemon Japanese Darkness, and to Light",Dark Houndoom #229,$54.99
3457867,"Pokemon Japanese Darkness, and to Light",Dark Magcargo,$3.23
3457881,"Pokemon Japanese Darkness, and to Light",Dark Octillery,$3.38
3457879,"Pokemon Japanese Darkness, and to Light",Dark Omanyte,$4.46
3457882,"Pokemon Japanese Darkness, and to Light",Dark Omastar,$6.61
3457941,"Pokemon Japanese Darkness, and to Light",Dark Porygon2,$28.48
3457920,"Pokemon Japanese Darkness, and to Light",Dark Pupitar,$3.37
3457864,"Pokemon Japanese Darkness, and to Light",Dark Quilava,$9.96
3457927,"Pokemon Japanese Darkness, and to Light",Dark Scizor #212,$44.83
3457905,"Pokemon Japanese Darkness, and to Light",Dark Slowking #199,$27.91
3457866,"Pokemon Japanese Darkness, and to Light",Dark Typhlosion #157,$34.56
3457923,"Pokemon Japanese Darkness, and to Light",Dark Tyranitar #248,$50.00
3457940,"Pokemon Japanese Darkness, and to Light",Dark Ursaring #217,$7.99
3457935,"Pokemon Japanese Darkness, and to Light",Dark Wigglytuff #40,$5.27
3457931,"Pokemon Japanese Darkness, and to Light",Dratini,$4.76
3457953,"Pokemon Japanese Darkness, and to Light",EXP. ALL,$1.14
3457946,"Pokemon Japanese Darkness, and to Light",Energy Amplifier,$1.98
3457945,"Pokemon Japanese Darkness, and to Light",Energy Stadium,$3.17
3457893,"Pokemon Japanese Darkness, and to Light",Exeggcute,$4.24
3457892,"Pokemon Japanese Darkness, and to Light",Gastly,$4.25
3457933,"Pokemon Japanese Darkness, and to Light",Girafarig,$2.99
3457915,"Pokemon Japanese Darkness, and to Light",Gligar,$1.85
3457859,"Pokemon Japanese Darkness, and to Light",Growlithe,$5.18
3457943,"Pokemon Japanese Darkness, and to Light",Heal Powder,$1.98
3457853,"Pokemon Japanese Darkness, and to Light",Heracross,$3.95
3457914,"Pokemon Japanese Darkness, and to Light",Hitmonchan,$3.75
3457919,"Pokemon Japanese Darkness, and to Light",Hitmonlee,$4.81
3457925,"Pokemon Japanese Darkness, and to Light",Houndour #228,$3.74
3457955,"Pokemon Japanese Darkness, and to Light",Impostor Oak's Invention,$4.20
3457929,"Pokemon Japanese Darkness, and to Light",Jigglypuff,$6.86
3457917,"Pokemon Japanese Darkness, and to Light",Larvitar,$4.25
3457846,"Pokemon Japanese Darkness, and to Light",Ledyba,$5.44
3457865,"Pokemon Japanese Darkness, and to Light",Light Arcanine #59,$150.98
3457884,"Pokemon Japanese Darkness, and to Light",Light Azumarill #184,$16.00
3457877,"Pokemon Japanese Darkness, and to Light",Light Dewgong,$3.22
3457937,"Pokemon Japanese Darkness, and to Light",Light Dragonair #148,$19.25
3457938,"Pokemon Japanese Darkness, and to Light",Light Dragonite #149,$97.50
3457863,"Pokemon Japanese Darkness, and to Light",Light Flareon #136,$15.59
3457876,"Pokemon Japanese Darkness, and to Light",Light Golduck,$4.91
3457887,"Pokemon Japanese Darkness, and to Light",Light Jolteon #135,$43.38
3457889,"Pokemon Japanese Darkness, and to Light",Light Lanturn,$2.00
3457854,"Pokemon Japanese Darkness, and to Light",Light Ledian,$8.50
3457921,"Pokemon Japanese Darkness, and to Light",Light Machamp,$11.50
3457918,"Pokemon Japanese Darkness, and to Light",Light Machoke,$7.31
3457862,"Pokemon Japanese Darkness, and to Light",Light Ninetales,$15.76
3457885,"Pokemon Japanese Darkness, and to Light",Light Piloswine,$9.60
3457898,"Pokemon Japanese Darkness, and to Light",Light Slowbro #80,$24.95
3457848,"Pokemon Japanese Darkness, and to Light",Light Sunflora,$2.95
3457939,"Pokemon Japanese Darkness, and to Light",Light Togetic,$28.31
3457878,"Pokemon Japanese Darkness, and to Light",Light Vaporeon,$23.42
3457850,"Pokemon Japanese Darkness, and to Light",Light Venomoth,$3.47
3457934,"Pokemon Japanese Darkness, and to Light",Light Wigglytuff #40,$8.99
3457950,"Pokemon Japanese Darkness, and to Light",Lucky Stadium,$11.48
