id,console-name,product-name,loose-price
3469441,Pokemon Japanese Double Blaze,Arcanine #9,$2.99
3469452,Pokemon Japanese Double Blaze,Blacephalon #19,$1.99
5732840,Pokemon Japanese Double Blaze,Booster Box,$751.00
8422255,Pokemon Japanese Double Blaze,Booster Pack,$11.50
3469522,Pokemon Japanese Double Blaze,Chatot #78,$2.13
3469524,Pokemon Japanese Double Blaze,Chip-Chip Ice Axe #80,$1.42
3469508,Pokemon Japanese Double Blaze,Cleffa #64,$7.74
3469509,Pokemon Japanese Double Blaze,Cottonee #65,$1.94
3469498,Pokemon Japanese Double Blaze,Crabominable #54,$1.99
3469497,Pokemon Japanese Double Blaze,Crabrawler #53,$0.38
3469489,Pokemon Japanese Double Blaze,Cubone #45,$2.64
3469539,Pokemon Japanese Double Blaze,Cynthia #95,$9.17
3469443,Pokemon Japanese Double Blaze,Darmanitan #11,$2.80
3469442,Pokemon Japanese Double Blaze,Darumaka #10,$2.17
3469462,Pokemon Japanese Double Blaze,Dewgong #25,$1.98
3469487,Pokemon Japanese Double Blaze,Diglett #43,$1.94
3469515,Pokemon Japanese Double Blaze,Dodrio #71,$1.45
3469514,Pokemon Japanese Double Blaze,Doduo #70,$0.99
3469488,Pokemon Japanese Double Blaze,Dugtrio #44,$1.99
3469528,Pokemon Japanese Double Blaze,Dusk Stone #84,$0.38
3469534,Pokemon Japanese Double Blaze,Dust Island #90,$1.69
3469523,Pokemon Japanese Double Blaze,Escape Rope #79,$0.01
3469484,Pokemon Japanese Double Blaze,Espurr #40,$1.99
3469536,Pokemon Japanese Double Blaze,Fiery Flint #92,$2.39
3469558,Pokemon Japanese Double Blaze,Fire Crystal #114,$5.25
3469527,Pokemon Japanese Double Blaze,Fire Crystal #83,$0.51
3469474,Pokemon Japanese Double Blaze,Gastly #30,$1.89
3469475,Pokemon Japanese Double Blaze,Gastly #31,$1.99
3469477,Pokemon Japanese Double Blaze,Gengar #33,$16.32
3469549,Pokemon Japanese Double Blaze,Giovanni's Exile #105,$19.97
3469529,Pokemon Japanese Double Blaze,Giovanni's Exile #85,$1.89
3469435,Pokemon Japanese Double Blaze,Gloom #3,$1.89
3469440,Pokemon Japanese Double Blaze,Growlithe #8,$2.26
3469521,Pokemon Japanese Double Blaze,Happiny #77,$2.93
3469476,Pokemon Japanese Double Blaze,Haunter #32,$2.14
3469546,Pokemon Japanese Double Blaze,Honchkrow GX #102,$5.05
3469555,Pokemon Japanese Double Blaze,Honchkrow GX #111,$8.55
3469500,Pokemon Japanese Double Blaze,Honchkrow GX #56,$2.43
3469561,Pokemon Japanese Double Blaze,Incineroar #16,$2.21
3469506,Pokemon Japanese Double Blaze,Jigglypuff #62,$2.99
3469538,Pokemon Japanese Double Blaze,Kiawe #94,$2.74
3469468,Pokemon Japanese Double Blaze,Kingler #27,$1.98
3469478,Pokemon Japanese Double Blaze,Koffing #34,$1.93
3469465,Pokemon Japanese Double Blaze,Krabby #26,$1.94
3469504,Pokemon Japanese Double Blaze,Krokorok #60,$25.00
3469505,Pokemon Japanese Double Blaze,Krookodile #61,$1.63
3469496,Pokemon Japanese Double Blaze,Landorus #52,$1.72
3469445,Pokemon Japanese Double Blaze,Litten #13,$2.10
3469446,Pokemon Japanese Double Blaze,Litten #14,$1.94
3469490,Pokemon Japanese Double Blaze,Marowak #46,$1.97
3469544,Pokemon Japanese Double Blaze,Marshadow & Machamp GX #100,$19.99
3469545,Pokemon Japanese Double Blaze,Marshadow & Machamp GX #101,$86.95
3469554,Pokemon Japanese Double Blaze,Marshadow & Machamp GX #110,$25.93
3469486,Pokemon Japanese Double Blaze,Marshadow & Machamp GX #42,$8.48
3469533,Pokemon Japanese Double Blaze,Martial Arts Dojo #89,$1.25
3469485,Pokemon Japanese Double Blaze,Meowstic #41,$1.99
3469511,Pokemon Japanese Double Blaze,Meowth #67,$6.02
3469481,Pokemon Japanese Double Blaze,Mew #37,$4.05
3469480,Pokemon Japanese Double Blaze,Mewtwo #36,$3.54
3469482,Pokemon Japanese Double Blaze,Misdreavus #38,$2.11
3469483,Pokemon Japanese Double Blaze,Mismagius #39,$2.42
3469553,Pokemon Japanese Double Blaze,Muk & Alolan Muk GX #109,$21.96
3469473,Pokemon Japanese Double Blaze,Muk & Alolan Muk GX #29,$8.27
3469542,Pokemon Japanese Double Blaze,Muk & Alolan Muk GX #98,$17.99
3469543,Pokemon Japanese Double Blaze,Muk & Alolan Muk GX #99,$43.83
3469499,Pokemon Japanese Double Blaze,Murkrow #55,$1.88
3469433,Pokemon Japanese Double Blaze,Oddish #1,$1.95
3469434,Pokemon Japanese Double Blaze,Oddish #2,$2.99
3469512,Pokemon Japanese Double Blaze,Persian #68,$1.98
3469548,Pokemon Japanese Double Blaze,Persian GX #104,$6.49
3469557,Pokemon Japanese Double Blaze,Persian GX #113,$15.17
3469513,Pokemon Japanese Double Blaze,Persian GX #69,$2.95
3469530,Pokemon Japanese Double Blaze,Pokemon Fan Club #86,$1.42
3469562,Pokemon Japanese Double Blaze,Poliwag #20,$1.54
3469456,Pokemon Japanese Double Blaze,Poliwag #21,$1.99
3469458,Pokemon Japanese Double Blaze,Poliwhirl #22,$1.99
3469459,Pokemon Japanese Double Blaze,Poliwrath #23,$2.24
3469516,Pokemon Japanese Double Blaze,Porygon #72,$1.98
3469517,Pokemon Japanese Double Blaze,Porygon #73,$1.99
3469519,Pokemon Japanese Double Blaze,Porygon-Z #75,$2.24
3469518,Pokemon Japanese Double Blaze,Porygon2 #74,$1.98
3469526,Pokemon Japanese Double Blaze,Rare Candy #82,$1.79
3469551,Pokemon Japanese Double Blaze,Red's Challenge #107,$63.87
3469532,Pokemon Japanese Double Blaze,Red's Challenge #88,$2.84
3469537,Pokemon Japanese Double Blaze,Rescue Stretcher #93,$2.23
3469552,Pokemon Japanese Double Blaze,Reshiram & Charizard GX #108,$99.82
3469438,Pokemon Japanese Double Blaze,Reshiram & Charizard GX #7,$23.92
3469540,Pokemon Japanese Double Blaze,Reshiram & Charizard GX #96,$48.60
3469541,Pokemon Japanese Double Blaze,Reshiram & Charizard GX #97,$358.85
3469494,Pokemon Japanese Double Blaze,Rhydon #49,$1.71
3469491,Pokemon Japanese Double Blaze,Rhyhorn #47,$1.98
3469492,Pokemon Japanese Double Blaze,Rhyhorn #48,$1.62
3469493,Pokemon Japanese Double Blaze,Rhyperior #50,$1.98
3469450,Pokemon Japanese Double Blaze,Salandit #17,$0.38
3469451,Pokemon Japanese Double Blaze,Salazzle #18,$0.52
3469502,Pokemon Japanese Double Blaze,Sandile #58,$2.00
3469503,Pokemon Japanese Double Blaze,Sandile #59,$1.79
3469461,Pokemon Japanese Double Blaze,Seel #24,$1.89
3469559,Pokemon Japanese Double Blaze,Shrine of Punishment #115,$6.31
3469520,Pokemon Japanese Double Blaze,Snorlax #76,$34.00
3469501,Pokemon Japanese Double Blaze,Spiritomb #57,$2.33
3469470,Pokemon Japanese Double Blaze,Stunfisk #28,$1.94
3469447,Pokemon Japanese Double Blaze,Torracat #15,$1.45
3469560,Pokemon Japanese Double Blaze,Triple Acceleration Energy #116,$4.73
3469535,Pokemon Japanese Double Blaze,Triple Acceleration Energy #91,$3.54
3469495,Pokemon Japanese Double Blaze,Tyrogue #51,$1.67
3469525,Pokemon Japanese Double Blaze,Ultra Ball #81,$1.32
