id,console-name,product-name,loose-price
3470162,Pokemon Japanese Dream League,Araquanid #15,$1.98
5400919,Pokemon Japanese Dream League,Booster Box,$810.40
4914324,Pokemon Japanese Dream League,Booster Pack,$123.63
3470195,Pokemon Japanese Dream League,Clay #48,$0.75
3470182,Pokemon Japanese Dream League,Clefairy #35,$2.14
3470161,Pokemon Japanese Dream League,Dewpider #14,$1.84
3470177,Pokemon Japanese Dream League,Drilbur #30,$3.25
3470158,Pokemon Japanese Dream League,Empoleon #11,$2.05
3470178,Pokemon Japanese Dream League,Excadrill #31,$2.01
3470206,Pokemon Japanese Dream League,Excadrill #59,$4.99
3470174,Pokemon Japanese Dream League,Gallade #27,$2.29
3470204,Pokemon Japanese Dream League,Gallade #57,$10.00
3470149,Pokemon Japanese Dream League,Gloom #2,$1.94
3470185,Pokemon Japanese Dream League,Herdier #38,$1.75
3470173,Pokemon Japanese Dream League,Kirlia #26,$1.98
3470168,Pokemon Japanese Dream League,Koffing #21,$1.99
3470203,Pokemon Japanese Dream League,Koffing #56,$27.00
3470189,Pokemon Japanese Dream League,Lana's Fishing Rod #42,$1.49
3470220,Pokemon Japanese Dream League,Lana's Fishing Rod #73,$10.08
3470196,Pokemon Japanese Dream League,Lillie's Full Force #49,$2.74
3470215,Pokemon Japanese Dream League,Lillie's Full Force #68,$189.00
3470190,Pokemon Japanese Dream League,Lillie's Poke Doll #43,$2.69
3470221,Pokemon Japanese Dream League,Lillie's Poke Doll #74,$49.80
3470184,Pokemon Japanese Dream League,Lillipup #37,$1.99
3470151,Pokemon Japanese Dream League,Magcargo #5,$1.87
3470165,Pokemon Japanese Dream League,Magnemite #18,$1.94
3470202,Pokemon Japanese Dream League,Magnemite #55,$17.79
3470166,Pokemon Japanese Dream League,Magneton #19,$2.17
3470175,Pokemon Japanese Dream League,Mimikyu #28,$2.99
3470205,Pokemon Japanese Dream League,Mimikyu #58,$55.00
3470192,Pokemon Japanese Dream League,N's Resolve #45,$2.74
3470213,Pokemon Japanese Dream League,N's Resolve #66,$53.27
3470170,Pokemon Japanese Dream League,Natu #23,$1.39
3470148,Pokemon Japanese Dream League,Oddish #1,$1.98
3470176,Pokemon Japanese Dream League,Onix #29,$1.98
3470179,Pokemon Japanese Dream League,Palpitoad #32,$1.49
3470163,Pokemon Japanese Dream League,Pikachu #16,$3.23
3470201,Pokemon Japanese Dream League,Pikachu #54,$159.99
3470199,Pokemon Japanese Dream League,Piplup #52,$69.75
3470156,Pokemon Japanese Dream League,Piplup #9,$2.26
3470222,Pokemon Japanese Dream League,Power Plant #75,$10.44
3470157,Pokemon Japanese Dream League,Prinplup #10,$2.14
3470164,Pokemon Japanese Dream League,Raichu #17,$2.35
3470172,Pokemon Japanese Dream League,Ralts #25,$1.98
3470183,Pokemon Japanese Dream League,Reshiram & Zekrom GX #36,$35.92
3470211,Pokemon Japanese Dream League,Reshiram & Zekrom GX #64,$210.00
3470218,Pokemon Japanese Dream League,Reshiram & Zekrom GX #71,$125.24
3470194,Pokemon Japanese Dream League,Rosa #47,$2.47
3470214,Pokemon Japanese Dream League,Rosa #67,$260.00
3470193,Pokemon Japanese Dream League,Roxie #46,$1.78
3470180,Pokemon Japanese Dream League,Seismitoad #33,$1.98
3470188,Pokemon Japanese Dream League,Silvally GX #41,$3.99
3470212,Pokemon Japanese Dream League,Silvally GX #65,$31.00
3470219,Pokemon Japanese Dream League,Silvally GX #72,$25.23
3470153,Pokemon Japanese Dream League,Slugma #4,$2.00
3470154,Pokemon Japanese Dream League,Sneasel #7,$1.98
3470167,Pokemon Japanese Dream League,Solgaleo & Lunala GX #20,$17.31
3470210,Pokemon Japanese Dream League,Solgaleo & Lunala GX #63,$156.84
3470217,Pokemon Japanese Dream League,Solgaleo & Lunala GX #70,$104.45
3470181,Pokemon Japanese Dream League,Steelix #34,$2.04
3470207,Pokemon Japanese Dream League,Steelix #60,$20.93
3470186,Pokemon Japanese Dream League,Stoutland #39,$2.18
3470208,Pokemon Japanese Dream League,Stoutland #61,$8.91
3470197,Pokemon Japanese Dream League,Torkoal #50,$14.05
3470152,Pokemon Japanese Dream League,Torkoal #6,$1.99
3470159,Pokemon Japanese Dream League,Tympole #12,$1.99
3470187,Pokemon Japanese Dream League,Type: Null #40,$1.98
3470150,Pokemon Japanese Dream League,Vileplume GX #3,$8.99
3470209,Pokemon Japanese Dream League,Vileplume GX #62,$68.90
3470216,Pokemon Japanese Dream League,Vileplume GX #69,$36.94
3470198,Pokemon Japanese Dream League,Weavile #51,$9.99
3470155,Pokemon Japanese Dream League,Weavile #8,$1.75
3470169,Pokemon Japanese Dream League,Weezing #22,$2.30
3470191,Pokemon Japanese Dream League,Will #44,$1.80
3470160,Pokemon Japanese Dream League,Wishiwashi #13,$1.77
3470200,Pokemon Japanese Dream League,Wishiwashi #53,$17.93
3470171,Pokemon Japanese Dream League,Xatu #24,$1.80
