id,console-name,product-name,loose-price
3461622,Pokemon Japanese EX Battle Boost,Altaria #76,$2.99
9434996,Pokemon Japanese EX Battle Boost,Altaria [1st Edition] #76,$5.99
13713699,Pokemon Japanese EX Battle Boost,Altaria [Reverse Holo] #76,$70.79
3461571,Pokemon Japanese EX Battle Boost,Articuno #24,$3.83
10801460,Pokemon Japanese EX Battle Boost,Articuno [1st Edition] #24,$3.97
10108936,Pokemon Japanese EX Battle Boost,Articuno [Reverse Holo] #24,$18.99
3461630,Pokemon Japanese EX Battle Boost,Black Kyurem EX #84,$4.37
10801461,Pokemon Japanese EX Battle Boost,Black Kyurem EX [1st Edition] #84,$5.99
13071615,Pokemon Japanese EX Battle Boost,Booster Box,
13071616,Pokemon Japanese EX Battle Boost,Booster Pack,$256.32
3461637,Pokemon Japanese EX Battle Boost,Bouffalant #91,$3.19
10801462,Pokemon Japanese EX Battle Boost,Bouffalant [1st Edition] #91,$1.95
3461639,Pokemon Japanese EX Battle Boost,Cedric Juniper #93,$1.14
10801463,Pokemon Japanese EX Battle Boost,Cedric Juniper [1st Edition] #93,$1.14
3461607,Pokemon Japanese EX Battle Boost,Chandelure EX #61,$3.83
10801464,Pokemon Japanese EX Battle Boost,Chandelure EX [1st Edition] #61,$7.80
3461558,Pokemon Japanese EX Battle Boost,Charizard #11,$19.99
8464083,Pokemon Japanese EX Battle Boost,Charizard [1st Edition] #11,$23.30
7277623,Pokemon Japanese EX Battle Boost,Charizard [Reverse Foil] #11,$89.99
3461556,Pokemon Japanese EX Battle Boost,Charmander #9,$5.65
10801465,Pokemon Japanese EX Battle Boost,Charmander [1st Edition] #9,$4.99
8893871,Pokemon Japanese EX Battle Boost,Charmander [Reverse Holo] #9,$100.00
3461557,Pokemon Japanese EX Battle Boost,Charmeleon #10,$4.98
10801466,Pokemon Japanese EX Battle Boost,Charmeleon [1st Edition] #10,$4.31
9543950,Pokemon Japanese EX Battle Boost,Charmeleon [Reverse Holo] #10,$29.99
3461635,Pokemon Japanese EX Battle Boost,Cinccino #89,$1.14
10801467,Pokemon Japanese EX Battle Boost,Cinccino [1st Edition] #89,$1.92
3461621,Pokemon Japanese EX Battle Boost,Cobalion #75,$1.14
10801468,Pokemon Japanese EX Battle Boost,Cobalion [1st Edition] #75,$3.97
3461596,Pokemon Japanese EX Battle Boost,Croagunk #50,$1.14
10801469,Pokemon Japanese EX Battle Boost,Croagunk [1st Edition] #50,$1.19
3461618,Pokemon Japanese EX Battle Boost,Darkrai EX #72,$9.42
10801470,Pokemon Japanese EX Battle Boost,Darkrai EX [1st Edition] #72,$7.62
3461627,Pokemon Japanese EX Battle Boost,Deino #81,$1.14
10801471,Pokemon Japanese EX Battle Boost,Deino [1st Edition] #81,$9.82
3461577,Pokemon Japanese EX Battle Boost,Dewott #30,$2.76
10801472,Pokemon Japanese EX Battle Boost,Dewott [1st Edition] #30,$1.14
10021256,Pokemon Japanese EX Battle Boost,Dewott [Reverse Holo] #30,$10.80
3461636,Pokemon Japanese EX Battle Boost,Druddigon #90,$1.14
10801473,Pokemon Japanese EX Battle Boost,Druddigon [1st Edition] #90,$3.50
3461605,Pokemon Japanese EX Battle Boost,Duosion #59,$1.60
10801474,Pokemon Japanese EX Battle Boost,Duosion [1st Edition] #59,$1.14
3461566,Pokemon Japanese EX Battle Boost,Emboar #19,$5.10
10801475,Pokemon Japanese EX Battle Boost,Emboar [1st Edition] #19,$3.96
3461587,Pokemon Japanese EX Battle Boost,Emolga #41,$3.58
9021581,Pokemon Japanese EX Battle Boost,Emolga [1st Edition] #41,$8.78
3461574,Pokemon Japanese EX Battle Boost,Empoleon #27,$8.63
10801476,Pokemon Japanese EX Battle Boost,Empoleon [1st Edition] #27,$2.49
3461612,Pokemon Japanese EX Battle Boost,Excadrill EX #66,$2.43
10801477,Pokemon Japanese EX Battle Boost,Excadrill EX [1st Edition] #66,$1.97
3461625,Pokemon Japanese EX Battle Boost,Gabite #79,$3.79
