id,console-name,product-name,loose-price
3472644,Pokemon Japanese Eevee Heroes,Araquanid #8,$1.62
3472702,Pokemon Japanese Eevee Heroes,Aroma Lady #66,$1.18
3472722,Pokemon Japanese Eevee Heroes,Aroma Lady #86,$11.70
3472732,Pokemon Japanese Eevee Heroes,Aroma Lady #96,$6.99
3472653,Pokemon Japanese Eevee Heroes,Azumarill #17,$1.99
3472696,Pokemon Japanese Eevee Heroes,Boost Shake #60,$0.38
3472735,Pokemon Japanese Eevee Heroes,Boost Shake #99,$2.99
4135581,Pokemon Japanese Eevee Heroes,Booster Box,$785.18
6160332,Pokemon Japanese Eevee Heroes,Booster Pack,$39.99
3472737,Pokemon Japanese Eevee Heroes,Darkness Energy #101,$13.02
3472643,Pokemon Japanese Eevee Heroes,Dewpider #7,$1.72
3472697,Pokemon Japanese Eevee Heroes,Dream Ball #61,$1.45
3472669,Pokemon Japanese Eevee Heroes,Eelektrik #33,$1.00
3472670,Pokemon Japanese Eevee Heroes,Eelektross #34,$1.55
3472694,Pokemon Japanese Eevee Heroes,Eevee #58,$1.98
3472646,Pokemon Japanese Eevee Heroes,Eldegoss #10,$1.69
3472665,Pokemon Japanese Eevee Heroes,Electrode #29,$1.99
3472698,Pokemon Japanese Eevee Heroes,Elemental Badge #62,$1.23
3472650,Pokemon Japanese Eevee Heroes,Entei #14,$1.51
3472671,Pokemon Japanese Eevee Heroes,Espeon V #35,$2.58
3472716,Pokemon Japanese Eevee Heroes,Espeon V #80,$16.31
3472717,Pokemon Japanese Eevee Heroes,Espeon V #81,$131.50
3472658,Pokemon Japanese Eevee Heroes,Feebas #22,$1.63
3472673,Pokemon Japanese Eevee Heroes,Flabebe #37,$0.66
3472647,Pokemon Japanese Eevee Heroes,Flareon V #11,$2.60
3472708,Pokemon Japanese Eevee Heroes,Flareon V #72,$10.02
3472709,Pokemon Japanese Eevee Heroes,Flareon V #73,$100.00
3472674,Pokemon Japanese Eevee Heroes,Floette #38,$1.66
3472675,Pokemon Japanese Eevee Heroes,Florges #39,$1.55
3472660,Pokemon Japanese Eevee Heroes,Glaceon V #24,$2.99
3472712,Pokemon Japanese Eevee Heroes,Glaceon V #76,$13.47
3472713,Pokemon Japanese Eevee Heroes,Glaceon V #77,$97.04
3472661,Pokemon Japanese Eevee Heroes,Glaceon VMAX #25,$3.72
3472726,Pokemon Japanese Eevee Heroes,Glaceon VMAX #90,$22.24
3472727,Pokemon Japanese Eevee Heroes,Glaceon VMAX #91,$389.25
3472703,Pokemon Japanese Eevee Heroes,Gordie #67,$1.50
3472723,Pokemon Japanese Eevee Heroes,Gordie #87,$1.99
3472733,Pokemon Japanese Eevee Heroes,Gordie #97,$2.91
3472645,Pokemon Japanese Eevee Heroes,Gossifleur #9,$1.00
3472690,Pokemon Japanese Eevee Heroes,Grimmsnarl #54,$1.39
4135582,Pokemon Japanese Eevee Heroes,Gym Box,$2319.87
3472688,Pokemon Japanese Eevee Heroes,Impidimp #52,$1.40
3472681,Pokemon Japanese Eevee Heroes,Indeedee #45,$1.39
3472734,Pokemon Japanese Eevee Heroes,Inteleon #98,$8.07
3472666,Pokemon Japanese Eevee Heroes,Jolteon V #30,$2.48
3472714,Pokemon Japanese Eevee Heroes,Jolteon V #78,$10.75
3472715,Pokemon Japanese Eevee Heroes,Jolteon V #79,$79.13
3472693,Pokemon Japanese Eevee Heroes,Kangaskhan #57,$1.55
3472638,Pokemon Japanese Eevee Heroes,Leafeon V #2,$2.59
3472706,Pokemon Japanese Eevee Heroes,Leafeon V #70,$11.75
3472707,Pokemon Japanese Eevee Heroes,Leafeon V #71,$91.42
3472639,Pokemon Japanese Eevee Heroes,Leafeon VMAX #3,$3.53
3472724,Pokemon Japanese Eevee Heroes,Leafeon VMAX #88,$22.13
3472725,Pokemon Japanese Eevee Heroes,Leafeon VMAX #89,$312.57
3472642,Pokemon Japanese Eevee Heroes,Leavanny #6,$1.39
3472649,Pokemon Japanese Eevee Heroes,Magcargo #13,$0.60
3472654,Pokemon Japanese Eevee Heroes,Mantine #18,$1.60
3472652,Pokemon Japanese Eevee Heroes,Marill #16,$1.95
3472680,Pokemon Japanese Eevee Heroes,Marshadow #44,$1.83
3472656,Pokemon Japanese Eevee Heroes,Marshtomp #20,$1.77
3472672,Pokemon Japanese Eevee Heroes,Mawile #36,$1.37
3472691,Pokemon Japanese Eevee Heroes,Meowth #55,$1.83
3472659,Pokemon Japanese Eevee Heroes,Milotic #23,$1.74
3472700,Pokemon Japanese Eevee Heroes,Moon & Sun Badge #64,$1.52
3472689,Pokemon Japanese Eevee Heroes,Morgrem #53,$0.20
3472655,Pokemon Japanese Eevee Heroes,Mudkip #19,$1.87
3472679,Pokemon Japanese Eevee Heroes,Palossand #43,$1.23
3472682,Pokemon Japanese Eevee Heroes,Pancham #46,$1.80
3472687,Pokemon Japanese Eevee Heroes,Pangoro #51,$1.58
3472692,Pokemon Japanese Eevee Heroes,Persian #56,$1.55
3472662,Pokemon Japanese Eevee Heroes,Pikachu #26,$1.94
3472637,Pokemon Japanese Eevee Heroes,Pinsir #1,$1.98
3472663,Pokemon Japanese Eevee Heroes,Raichu #27,$2.07
3472701,Pokemon Japanese Eevee Heroes,Ribbon Badge #65,$1.74
3472667,Pokemon Japanese Eevee Heroes,Rotom #31,$1.59
3472678,Pokemon Japanese Eevee Heroes,Sandygast #42,$1.59
6160450,Pokemon Japanese Eevee Heroes,Sealed Promo Box,$55.66
3472640,Pokemon Japanese Eevee Heroes,Sewaddle #4,$1.49
3472704,Pokemon Japanese Eevee Heroes,Shopping Center #68,$2.31
3472648,Pokemon Japanese Eevee Heroes,Slugma #12,$1.04
3472695,Pokemon Japanese Eevee Heroes,Smeargle #59,$1.48
3472699,Pokemon Japanese Eevee Heroes,Snow Leaf Badge #63,$1.26
3472641,Pokemon Japanese Eevee Heroes,Swadloon #5,$0.99
3472657,Pokemon Japanese Eevee Heroes,Swampert #21,$2.11
3472676,Pokemon Japanese Eevee Heroes,Sylveon V #40,$3.22
3472718,Pokemon Japanese Eevee Heroes,Sylveon V #82,$22.12
3472719,Pokemon Japanese Eevee Heroes,Sylveon V #83,$140.00
3472677,Pokemon Japanese Eevee Heroes,Sylveon VMAX #41,$4.89
3472728,Pokemon Japanese Eevee Heroes,Sylveon VMAX #92,$30.00
3472729,Pokemon Japanese Eevee Heroes,Sylveon VMAX #93,$536.71
3472705,Pokemon Japanese Eevee Heroes,Treasure Energy #69,$9.95
3472736,Pokemon Japanese Eevee Heroes,Turffield Stadium #100,$4.86
3472668,Pokemon Japanese Eevee Heroes,Tynamo #32,$1.49
3472683,Pokemon Japanese Eevee Heroes,Umbreon V #47,$3.82
3472720,Pokemon Japanese Eevee Heroes,Umbreon V #84,$25.89
3472721,Pokemon Japanese Eevee Heroes,Umbreon V #85,$281.17
3472684,Pokemon Japanese Eevee Heroes,Umbreon VMAX #48,$7.36
3472730,Pokemon Japanese Eevee Heroes,Umbreon VMAX #94,$42.00
3472731,Pokemon Japanese Eevee Heroes,Umbreon VMAX #95,$2120.27
3472651,Pokemon Japanese Eevee Heroes,Vaporeon V #15,$2.05
3472710,Pokemon Japanese Eevee Heroes,Vaporeon V #74,$13.12
3472711,Pokemon Japanese Eevee Heroes,Vaporeon V #75,$120.00
3472664,Pokemon Japanese Eevee Heroes,Voltorb #28,$1.99
3472686,Pokemon Japanese Eevee Heroes,Zoroark #50,$1.65
3472685,Pokemon Japanese Eevee Heroes,Zorua #49,$1.75
