id,console-name,product-name,loose-price
3462207,Pokemon Japanese Emerald Break,Absol #34,$4.64
8453610,Pokemon Japanese Emerald Break,Absol [1st Edition] #34,$5.50
3462217,Pokemon Japanese Emerald Break,Altaria #44,$3.19
3462233,Pokemon Japanese Emerald Break,Altaria #60,$3.91
8453611,Pokemon Japanese Emerald Break,Altaria [1st Edition] #44,$4.90
8453612,Pokemon Japanese Emerald Break,Altaria [1st Edition] #60,$5.53
3462188,Pokemon Japanese Emerald Break,Articuno #15,$3.51
3462189,Pokemon Japanese Emerald Break,Articuno #16,$5.24
8453613,Pokemon Japanese Emerald Break,Articuno [1st Edition] #15,$4.68
8453614,Pokemon Japanese Emerald Break,Articuno [1st Edition] #16,$5.37
3462218,Pokemon Japanese Emerald Break,Bagon #45,$3.28
8453615,Pokemon Japanese Emerald Break,Bagon [1st Edition] #45,$2.37
3462200,Pokemon Japanese Emerald Break,Banette #27,$3.16
3462201,Pokemon Japanese Emerald Break,Banette #28,$3.99
8453616,Pokemon Japanese Emerald Break,Banette [1st Edition] #27,$2.81
8453617,Pokemon Japanese Emerald Break,Banette [1st Edition] #28,$2.60
3462178,Pokemon Japanese Emerald Break,Beautifly #5,$4.98
8453618,Pokemon Japanese Emerald Break,Beautifly [1st Edition] #5,$4.99
6021682,Pokemon Japanese Emerald Break,Booster Box,$1130.01
13138177,Pokemon Japanese Emerald Break,Booster Pack,
3462179,Pokemon Japanese Emerald Break,Cascoon #6,$3.44
8453620,Pokemon Japanese Emerald Break,Cascoon [1st Edition] #6,$1.00
3462202,Pokemon Japanese Emerald Break,Deoxys #29,$7.94
8453619,Pokemon Japanese Emerald Break,Deoxys [1st Edition] #29,$6.92
3462251,Pokemon Japanese Emerald Break,Double Dragon Energy #78,$2.99
8453621,Pokemon Japanese Emerald Break,Double Dragon Energy [1st Edition] #78,$2.00
3462214,Pokemon Japanese Emerald Break,Dragonair #41,$4.67
8453622,Pokemon Japanese Emerald Break,Dragonair [1st Edition] #41,$3.98
3462215,Pokemon Japanese Emerald Break,Dragonite #42,$12.88
3462216,Pokemon Japanese Emerald Break,Dragonite #43,$25.00
7855660,Pokemon Japanese Emerald Break,Dragonite [1st Edition] #42,$9.14
8453623,Pokemon Japanese Emerald Break,Dragonite [1st Edition] #43,$23.95
3462213,Pokemon Japanese Emerald Break,Dratini #40,$3.89
8453624,Pokemon Japanese Emerald Break,Dratini [1st Edition] #40,$3.99
3462227,Pokemon Japanese Emerald Break,Dunsparce #54,$3.31
8453625,Pokemon Japanese Emerald Break,Dunsparce [1st Edition] #54,$2.99
3462180,Pokemon Japanese Emerald Break,Dustox #7,$2.98
3462181,Pokemon Japanese Emerald Break,Dustox #8,$1.14
8453626,Pokemon Japanese Emerald Break,Dustox [1st Edition] #7,$2.99
8453627,Pokemon Japanese Emerald Break,Dustox [1st Edition] #8,$1.98
3462193,Pokemon Japanese Emerald Break,Electrode #20,$4.87
8453628,Pokemon Japanese Emerald Break,Electrode [1st Edition] #20,$2.49
3462263,Pokemon Japanese Emerald Break,Energy Switch #90,$23.67
8453629,Pokemon Japanese Emerald Break,Energy Switch [1st Edition] #90,$15.00
3462174,Pokemon Japanese Emerald Break,Exeggcute #1,$3.39
8453630,Pokemon Japanese Emerald Break,Exeggcute [1st Edition] #1,$2.49
3462176,Pokemon Japanese Emerald Break,Exeggutor #2,$2.49
8453631,Pokemon Japanese Emerald Break,Exeggutor [1st Edition] #2,$2.29
3462226,Pokemon Japanese Emerald Break,Fearow #53,
7855661,Pokemon Japanese Emerald Break,Fearow [1st Edition] #53,$2.33
3462186,Pokemon Japanese Emerald Break,Fletchinder #13,
8453632,Pokemon Japanese Emerald Break,Fletchinder [1st Edition] #13,$2.65
3462241,Pokemon Japanese Emerald Break,Fletchling #68,$2.57
8453633,Pokemon Japanese Emerald Break,Fletchling [1st Edition] #68,$1.98
3462203,Pokemon Japanese Emerald Break,Gallade EX #30,$3.99
3462253,Pokemon Japanese Emerald Break,Gallade EX #80,$23.98
8453634,Pokemon Japanese Emerald Break,Gallade EX [1st Edition] #30,$5.99
8453635,Pokemon Japanese Emerald Break,Gallade EX [1st Edition] #80,$18.50
3462245,Pokemon Japanese Emerald Break,Gallade Spirit Link #73,$3.73
8453636,Pokemon Japanese Emerald Break,Gallade Spirit Link [1st Edition] #73,$1.00
3462205,Pokemon Japanese Emerald Break,Gligar #32,$3.16
8453637,Pokemon Japanese Emerald Break,Gligar [1st Edition] #32,$1.80
3462206,Pokemon Japanese Emerald Break,Gliscor #33,$1.99
8453638,Pokemon Japanese Emerald Break,Gliscor [1st Edition] #33,$2.99
3462223,Pokemon Japanese Emerald Break,Hydreigon EX #50,$4.68
3462257,Pokemon Japanese Emerald Break,Hydreigon EX #84,$93.25
8453639,Pokemon Japanese Emerald Break,Hydreigon EX [1st Edition] #50,$1.49
8453640,Pokemon Japanese Emerald Break,Hydreigon EX [1st Edition] #84,$30.00
3462208,Pokemon Japanese Emerald Break,Jirachi #35,$13.16
8453641,Pokemon Japanese Emerald Break,Jirachi [1st Edition] #35,$16.00
3462221,Pokemon Japanese Emerald Break,Latios EX #48,$10.00
3462255,Pokemon Japanese Emerald Break,Latios EX #82,$54.50
8453642,Pokemon Japanese Emerald Break,Latios EX [1st Edition] #48,$11.71
8315394,Pokemon Japanese Emerald Break,Latios EX [1st Edition] #82,$69.36
3462247,Pokemon Japanese Emerald Break,Latios Spirit Link #74,$3.15
8453643,Pokemon Japanese Emerald Break,Latios Spirit Link [1st Edition] #74,$2.42
3462204,Pokemon Japanese Emerald Break,M Gallade EX #31,$16.70
3462254,Pokemon Japanese Emerald Break,M Gallade EX #81,$78.00
8453644,Pokemon Japanese Emerald Break,M Gallade EX [1st Edition] #31,$15.73
8453645,Pokemon Japanese Emerald Break,M Gallade EX [1st Edition] #81,$69.00
3462222,Pokemon Japanese Emerald Break,M Latios EX #49,$27.92
3462256,Pokemon Japanese Emerald Break,M Latios EX #83,$133.28
8453646,Pokemon Japanese Emerald Break,M Latios EX [1st Edition] #49,$24.99
8453647,Pokemon Japanese Emerald Break,M Latios EX [1st Edition] #83,
3462235,Pokemon Japanese Emerald Break,M Rayquaza EX #62,$40.00
3462259,Pokemon Japanese Emerald Break,M Rayquaza EX #86,$1310.70
8453648,Pokemon Japanese Emerald Break,M Rayquaza EX [1st Edition] #62,$49.99
8453649,Pokemon Japanese Emerald Break,M Rayquaza EX [1st Edition] #86,$616.25
3462244,Pokemon Japanese Emerald Break,Mega  Turbo #71,$4.99
8453650,Pokemon Japanese Emerald Break,Mega  Turbo [1st Edition] #71,
3462196,Pokemon Japanese Emerald Break,Natu #23,$2.39
3462197,Pokemon Japanese Emerald Break,Natu #24,$1.74
8453651,Pokemon Japanese Emerald Break,Natu [1st Edition] #23,
8453652,Pokemon Japanese Emerald Break,Natu [1st Edition] #24,$4.68
3462182,Pokemon Japanese Emerald Break,Nincada #9,$2.99
8453653,Pokemon Japanese Emerald Break,Nincada [1st Edition] #9,
3462183,Pokemon Japanese Emerald Break,Ninjask #10,$2.99
8453654,Pokemon Japanese Emerald Break,Ninjask [1st Edition] #10,$2.00
3462191,Pokemon Japanese Emerald Break,Pelipper #18,$1.00
8453655,Pokemon Japanese Emerald Break,Pelipper [1st Edition] #18,$3.34
3462237,Pokemon Japanese Emerald Break,Pidove #64,$2.49
8453656,Pokemon Japanese Emerald Break,Pidove [1st Edition] #64,$2.54
3462234,Pokemon Japanese Emerald Break,Rayquaza EX #61,$26.99
3462258,Pokemon Japanese Emerald Break,Rayquaza EX #85,$203.59
8453657,Pokemon Japanese Emerald Break,Rayquaza EX [1st Edition] #61,$34.53
