id,console-name,product-name,loose-price
3453317,Pokemon Japanese Expansion Pack,Abra #63,$2.94
3491980,Pokemon Japanese Expansion Pack,Abra [No Rarity] #63,$26.78
3453323,Pokemon Japanese Expansion Pack,Alakazam #65,$32.94
3491981,Pokemon Japanese Expansion Pack,Alakazam [No Rarity] #65,$499.00
3453293,Pokemon Japanese Expansion Pack,Arcanine #59,$3.44
3491982,Pokemon Japanese Expansion Pack,Arcanine [No Rarity] #59,$38.69
3453286,Pokemon Japanese Expansion Pack,Beedrill #15,$5.03
3491983,Pokemon Japanese Expansion Pack,Beedrill [No Rarity] #15,$67.49
3453348,Pokemon Japanese Expansion Pack,Bill,$2.80
3491984,Pokemon Japanese Expansion Pack,Bill [No Rarity],$19.70
3453306,Pokemon Japanese Expansion Pack,Blastoise #9,$70.00
3491985,Pokemon Japanese Expansion Pack,Blastoise [No Rarity] #9,$193.71
5135045,Pokemon Japanese Expansion Pack,Booster Box [Base Set],$118340.00
3813031,Pokemon Japanese Expansion Pack,Booster Pack,$1557.72
9041751,Pokemon Japanese Expansion Pack,Booster Pack [Short],$1749.89
3453275,Pokemon Japanese Expansion Pack,Bulbasaur #1,$3.99
3491986,Pokemon Japanese Expansion Pack,Bulbasaur [No Rarity] #1,$25.91
3453276,Pokemon Japanese Expansion Pack,Caterpie #10,$3.12
3491987,Pokemon Japanese Expansion Pack,Caterpie [No Rarity] #10,$10.67
3453342,Pokemon Japanese Expansion Pack,Chansey #113,$19.22
3491988,Pokemon Japanese Expansion Pack,Chansey [No Rarity] #113,$151.44
3453295,Pokemon Japanese Expansion Pack,Charizard #6,$358.44
3491979,Pokemon Japanese Expansion Pack,Charizard [No Rarity] #6,$5680.97
3453288,Pokemon Japanese Expansion Pack,Charmander #4,$5.32
3491989,Pokemon Japanese Expansion Pack,Charmander [No Rarity] #4,$47.33
3453291,Pokemon Japanese Expansion Pack,Charmeleon #5,$5.00
3491990,Pokemon Japanese Expansion Pack,Charmeleon [No Rarity] #5,$37.40
3453341,Pokemon Japanese Expansion Pack,Clefairy #35,$17.72
3453365,Pokemon Japanese Expansion Pack,Clefairy Doll,$7.33
3491992,Pokemon Japanese Expansion Pack,Clefairy Doll [No Rarity],$106.32
3491991,Pokemon Japanese Expansion Pack,Clefairy [No Rarity] #35,$66.13
3453364,Pokemon Japanese Expansion Pack,Computer Search,$5.88
3491993,Pokemon Japanese Expansion Pack,Computer Search [No Rarity],$80.00
3453353,Pokemon Japanese Expansion Pack,Defender,$1.88
3491994,Pokemon Japanese Expansion Pack,Defender [No Rarity],$14.47
3453360,Pokemon Japanese Expansion Pack,Devolution Spray,$5.99
3491995,Pokemon Japanese Expansion Pack,Devolution Spray [No Rarity],$51.33
3453304,Pokemon Japanese Expansion Pack,Dewgong #87,$3.55
