id,console-name,product-name,loose-price
3507004,Pokemon Japanese Expedition Expansion Pack,Abra #18,$7.53
3506986,Pokemon Japanese Expedition Expansion Pack,Abra [1st Edition] #18,$6.36
3506963,Pokemon Japanese Expedition Expansion Pack,Abra [1st Edition] #93,$2.79
3507070,Pokemon Japanese Expedition Expansion Pack,Alakazam #116,$133.93
3506992,Pokemon Japanese Expedition Expansion Pack,Alakazam #84,$25.00
3507068,Pokemon Japanese Expedition Expansion Pack,Alakazam [1st Edition] #116,$104.99
3507001,Pokemon Japanese Expedition Expansion Pack,Alakazam [1st Edition] #84,$45.65
3438295,Pokemon Japanese Expedition Expansion Pack,Ampharos #115,$77.87
3438279,Pokemon Japanese Expedition Expansion Pack,Ampharos #83,$14.99
3438358,Pokemon Japanese Expedition Expansion Pack,Ampharos [1st Edition] #115,$62.75
3438342,Pokemon Japanese Expedition Expansion Pack,Ampharos [1st Edition] #83,$14.56
3438271,Pokemon Japanese Expedition Expansion Pack,Arbok #67,$9.99
3438287,Pokemon Japanese Expedition Expansion Pack,Arbok #99,$53.17
3438334,Pokemon Japanese Expedition Expansion Pack,Arbok [1st Edition] #67,$10.51
3438350,Pokemon Japanese Expedition Expansion Pack,Arbok [1st Edition] #99,$37.50
3507111,Pokemon Japanese Expedition Expansion Pack,Bill's Maintenance #60,$3.51
3506975,Pokemon Japanese Expedition Expansion Pack,Bill's Maintenance [1st Edition] #60,$4.30
3507056,Pokemon Japanese Expedition Expansion Pack,Blastoise #108,$179.00
3506977,Pokemon Japanese Expedition Expansion Pack,Blastoise #76,$63.93
3507048,Pokemon Japanese Expedition Expansion Pack,Blastoise [1st Edition] #108,$234.64
3506995,Pokemon Japanese Expedition Expansion Pack,Blastoise [1st Edition] #76,$56.00
3438330,Pokemon Japanese Expedition Expansion Pack,Bulbasaur #94,
3506965,Pokemon Japanese Expedition Expansion Pack,Butterfree #66,$18.11
3507028,Pokemon Japanese Expedition Expansion Pack,Butterfree #98,$91.48
3506984,Pokemon Japanese Expedition Expansion Pack,Butterfree [1st Edition] #66,$20.00
3507033,Pokemon Japanese Expedition Expansion Pack,Butterfree [1st Edition] #98,$122.20
3438239,Pokemon Japanese Expedition Expansion Pack,Caterpie #3,$4.33
3438303,Pokemon Japanese Expedition Expansion Pack,Caterpie [1st Edition] #3,$5.80
3438261,Pokemon Japanese Expedition Expansion Pack,Chansey #47,$11.99
3438325,Pokemon Japanese Expedition Expansion Pack,Chansey [1st Edition] #47,$10.07
3438289,Pokemon Japanese Expedition Expansion Pack,Charizard #103,$176.00
3438273,Pokemon Japanese Expedition Expansion Pack,Charizard #71,$81.99
3438352,Pokemon Japanese Expedition Expansion Pack,Charizard [1st Edition] #103,$400.23
3438336,Pokemon Japanese Expedition Expansion Pack,Charizard [1st Edition] #71,$80.32
