id,console-name,product-name,loose-price
3439140,Pokemon Japanese Flight of Legends,Arcanine #21,$3.89
3507121,Pokemon Japanese Flight of Legends,Arcanine [1st Edition] #21,$2.53
3439155,Pokemon Japanese Flight of Legends,Articuno ex #36,$71.49
3507122,Pokemon Japanese Flight of Legends,Articuno ex [1st Edition] #36,$49.00
3439125,Pokemon Japanese Flight of Legends,Beedrill #6,$8.00
3507123,Pokemon Japanese Flight of Legends,Beedrill [1st Edition] #6,$9.84
3439134,Pokemon Japanese Flight of Legends,Bellsprout #15,$3.42
3507124,Pokemon Japanese Flight of Legends,Bellsprout [1st Edition] #15,$3.84
3439198,Pokemon Japanese Flight of Legends,Bill's Maintenance #80,$4.03
3507125,Pokemon Japanese Flight of Legends,Bill's Maintenance [1st Edition] #80,
13118658,Pokemon Japanese Flight of Legends,Booster Box,
13118657,Pokemon Japanese Flight of Legends,Booster Pack,
3439122,Pokemon Japanese Flight of Legends,Butterfree #3,$7.32
3507126,Pokemon Japanese Flight of Legends,Butterfree [1st Edition] #3,$9.99
3439120,Pokemon Japanese Flight of Legends,Caterpie #1,$2.69
3507666,Pokemon Japanese Flight of Legends,Caterpie [1st Edition] #1,$3.24
3439201,Pokemon Japanese Flight of Legends,Celio's Network #79,$1.99
3507127,Pokemon Japanese Flight of Legends,Celio's Network [1st Edition] #79,$2.43
3439188,Pokemon Japanese Flight of Legends,Chansey #69,$7.03
3507128,Pokemon Japanese Flight of Legends,Chansey [1st Edition] #69,$3.99
3439185,Pokemon Japanese Flight of Legends,Clefable ex #66,$33.81
3507129,Pokemon Japanese Flight of Legends,Clefable ex [1st Edition] #66,$28.99
3439184,Pokemon Japanese Flight of Legends,Clefairy #65,$3.27
3507130,Pokemon Japanese Flight of Legends,Clefairy [1st Edition] #65,$2.99
3439150,Pokemon Japanese Flight of Legends,Cloyster #31,$20.42
3507131,Pokemon Japanese Flight of Legends,Cloyster [1st Edition] #31,$15.20
3439181,Pokemon Japanese Flight of Legends,Cubone #62,$16.79
3507187,Pokemon Japanese Flight of Legends,Cubone [1st Edition] #62,$13.16
3439148,Pokemon Japanese Flight of Legends,Dewgong #29,$9.65
3507132,Pokemon Japanese Flight of Legends,Dewgong [1st Edition] #29,$12.99
3439176,Pokemon Japanese Flight of Legends,Diglett #57,$2.99
3507188,Pokemon Japanese Flight of Legends,Diglett [1st Edition] #57,$3.97
3439191,Pokemon Japanese Flight of Legends,Ditto #72,$31.19
3507133,Pokemon Japanese Flight of Legends,Ditto [1st Edition] #72,$37.00
3439168,Pokemon Japanese Flight of Legends,Drowzee #49,$3.47
3507134,Pokemon Japanese Flight of Legends,Drowzee [1st Edition] #49,$3.24
3439177,Pokemon Japanese Flight of Legends,Dugtrio #58,$6.70
3507189,Pokemon Japanese Flight of Legends,Dugtrio [1st Edition] #58,$3.88
3439199,Pokemon Japanese Flight of Legends,EXP. ALL #81,$4.01
3507135,Pokemon Japanese Flight of Legends,EXP. ALL [1st Edition] #81,
3439161,Pokemon Japanese Flight of Legends,Electrode ex #42,$34.40
3507136,Pokemon Japanese Flight of Legends,Electrode ex [1st Edition] #42,$47.24
3439170,Pokemon Japanese Flight of Legends,Exeggcute #51,$2.68
3507137,Pokemon Japanese Flight of Legends,Exeggcute [1st Edition] #51,$3.99
3439171,Pokemon Japanese Flight of Legends,Exeggutor #52,$13.47
3507138,Pokemon Japanese Flight of Legends,Exeggutor [1st Edition] #52,$12.49
3439186,Pokemon Japanese Flight of Legends,Farfetch'd #67,$3.37
3507139,Pokemon Japanese Flight of Legends,Farfetch'd [1st Edition] #67,$4.79
3439165,Pokemon Japanese Flight of Legends,Gastly #46,$2.01
3507140,Pokemon Japanese Flight of Legends,Gastly [1st Edition] #46,$2.57
3439167,Pokemon Japanese Flight of Legends,Gengar ex #48,$392.69
3507141,Pokemon Japanese Flight of Legends,Gengar ex [1st Edition] #48,$300.00
3439194,Pokemon Japanese Flight of Legends,Great Ball #75,$0.50
3507142,Pokemon Japanese Flight of Legends,Great Ball [1st Edition] #75,$2.19
3439139,Pokemon Japanese Flight of Legends,Growlithe #20,$3.01
3507143,Pokemon Japanese Flight of Legends,Growlithe [1st Edition] #20,$3.49
3439154,Pokemon Japanese Flight of Legends,Gyarados ex #35,$74.25
3507144,Pokemon Japanese Flight of Legends,Gyarados ex [1st Edition] #35,$45.00
3439166,Pokemon Japanese Flight of Legends,Haunter #47,$10.99
3507667,Pokemon Japanese Flight of Legends,Haunter [1st Edition] #47,$5.86
3439169,Pokemon Japanese Flight of Legends,Hypno #50,$3.59
3507145,Pokemon Japanese Flight of Legends,Hypno [1st Edition] #50,$10.00
3439124,Pokemon Japanese Flight of Legends,Kakuna #5,$2.54
3507190,Pokemon Japanese Flight of Legends,Kakuna [1st Edition] #5,$2.29
3439189,Pokemon Japanese Flight of Legends,Kangaskhan #70,$12.30
3507146,Pokemon Japanese Flight of Legends,Kangaskhan [1st Edition] #70,$11.37
3439152,Pokemon Japanese Flight of Legends,Kingler #33,$3.35
3507147,Pokemon Japanese Flight of Legends,Kingler [1st Edition] #33,
3439151,Pokemon Japanese Flight of Legends,Krabby #32,$2.87
3507148,Pokemon Japanese Flight of Legends,Krabby [1st Edition] #32,$2.07
3439187,Pokemon Japanese Flight of Legends,Lickitung #68,$4.72
3507149,Pokemon Japanese Flight of Legends,Lickitung [1st Edition] #68,$10.99
3439153,Pokemon Japanese Flight of Legends,Magikarp #34,$4.89
3507150,Pokemon Japanese Flight of Legends,Magikarp [1st Edition] #34,$4.49
3439158,Pokemon Japanese Flight of Legends,Magnemite #39,$2.49
3507151,Pokemon Japanese Flight of Legends,Magnemite [1st Edition] #39,$2.49
3439159,Pokemon Japanese Flight of Legends,Magneton #40,$3.49
3507152,Pokemon Japanese Flight of Legends,Magneton [1st Edition] #40,$1.00
3439178,Pokemon Japanese Flight of Legends,Mankey #59,$2.21
3507191,Pokemon Japanese Flight of Legends,Mankey [1st Edition] #59,$2.27
3439182,Pokemon Japanese Flight of Legends,Marowak #63,$20.00
3507153,Pokemon Japanese Flight of Legends,Marowak [1st Edition] #63,$19.88
3439121,Pokemon Japanese Flight of Legends,Metapod #2,$2.60
3507154,Pokemon Japanese Flight of Legends,Metapod [1st Edition] #2,$2.26
3439143,Pokemon Japanese Flight of Legends,Moltres ex #24,$70.97
3507155,Pokemon Japanese Flight of Legends,Moltres ex [1st Edition] #24,$60.13
3439172,Pokemon Japanese Flight of Legends,Mr. Mime ex #53,$15.89
3439173,Pokemon Japanese Flight of Legends,Mr. Mime ex #54,$18.52
3507156,Pokemon Japanese Flight of Legends,Mr. Mime ex [1st Edition] #53,$23.63
3507157,Pokemon Japanese Flight of Legends,Mr. Mime ex [1st Edition] #54,$19.92
3439200,Pokemon Japanese Flight of Legends,Mt. Moon #82,$3.50
3507158,Pokemon Japanese Flight of Legends,Mt. Moon [1st Edition] #82,$7.99
3439175,Pokemon Japanese Flight of Legends,Nidoking #56,$19.63
3507159,Pokemon Japanese Flight of Legends,Nidoking [1st Edition] #56,$14.99
3439174,Pokemon Japanese Flight of Legends,Nidoqueen #55,$10.65
3507160,Pokemon Japanese Flight of Legends,Nidoqueen [1st Edition] #55,$11.25
3439126,Pokemon Japanese Flight of Legends,Nidoran #7,$2.49
3439128,Pokemon Japanese Flight of Legends,Nidoran #9,$2.37
3507161,Pokemon Japanese Flight of Legends,Nidoran [1st Edition] #7,$2.95
3507162,Pokemon Japanese Flight of Legends,Nidoran [1st Edition] #9,$5.86
3439127,Pokemon Japanese Flight of Legends,Nidorina #8,$2.92
3507163,Pokemon Japanese Flight of Legends,Nidorina [1st Edition] #8,$5.04
3439129,Pokemon Japanese Flight of Legends,Nidorino #10,$3.32
3507164,Pokemon Japanese Flight of Legends,Nidorino [1st Edition] #10,$4.99
3439180,Pokemon Japanese Flight of Legends,Onix #61,$2.54
3507192,Pokemon Japanese Flight of Legends,Onix [1st Edition] #61,$4.99
3439130,Pokemon Japanese Flight of Legends,Paras #11,$3.55
3507165,Pokemon Japanese Flight of Legends,Paras [1st Edition] #11,$2.59
3439131,Pokemon Japanese Flight of Legends,Parasect #12,$6.44
3507166,Pokemon Japanese Flight of Legends,Parasect [1st Edition] #12,$5.43
