id,console-name,product-name,loose-price
3440593,Pokemon Japanese Fusion Arts,Accelgor #8,$0.86
3440598,Pokemon Japanese Fusion Arts,Arcanine #13,$1.67
3440676,Pokemon Japanese Fusion Arts,Battle  VIP Pass #91,$2.19
3440688,Pokemon Japanese Fusion Arts,Boltund V #104,$3.99
3440619,Pokemon Japanese Fusion Arts,Boltund V #34,$1.49
3440701,Pokemon Japanese Fusion Arts,Boltund VMAX #117,$6.30
3440620,Pokemon Japanese Fusion Arts,Boltund VMAX #35,$1.96
5604355,Pokemon Japanese Fusion Arts,Booster Box,$286.00
8672548,Pokemon Japanese Fusion Arts,Booster Pack,$8.85
3440590,Pokemon Japanese Fusion Arts,Breloom #5,$1.63
3440668,Pokemon Japanese Fusion Arts,Bunnelby #83,$1.49
3440588,Pokemon Japanese Fusion Arts,Butterfree #3,$1.99
3440586,Pokemon Japanese Fusion Arts,Caterpie #1,$1.86
3440686,Pokemon Japanese Fusion Arts,Chandelure V #102,$3.75
3440599,Pokemon Japanese Fusion Arts,Chandelure V #14,$1.89
3440700,Pokemon Japanese Fusion Arts,Chandelure VMAX #116,$9.29
3440600,Pokemon Japanese Fusion Arts,Chandelure VMAX #15,$2.55
3440617,Pokemon Japanese Fusion Arts,Charjabug #32,$1.56
3440699,Pokemon Japanese Fusion Arts,Chili & Cilan & Cress #115,$4.58
3440708,Pokemon Japanese Fusion Arts,Chili & Cilan & Cress #124,$3.40
3440683,Pokemon Japanese Fusion Arts,Chili & Cilan & Cress #98,$1.72
3440608,Pokemon Japanese Fusion Arts,Clamperl #23,$1.93
3440658,Pokemon Japanese Fusion Arts,Corviknight #73,$1.36
3440673,Pokemon Japanese Fusion Arts,Corvisquire #88,$1.23
3440687,Pokemon Japanese Fusion Arts,Crabominable V #103,$2.89
3440611,Pokemon Japanese Fusion Arts,Crabominable V #26,$1.48
3440606,Pokemon Japanese Fusion Arts,Croconaw #21,$1.99
3440675,Pokemon Japanese Fusion Arts,Cross Switcher #90,$2.50
3440674,Pokemon Japanese Fusion Arts,Crossceiver #89,$2.12
3440698,Pokemon Japanese Fusion Arts,Dancer #114,$3.88
3440707,Pokemon Japanese Fusion Arts,Dancer #123,$5.01
3440682,Pokemon Japanese Fusion Arts,Dancer #97,$1.99
3440667,Pokemon Japanese Fusion Arts,Delcatty #82,$1.50
3440630,Pokemon Japanese Fusion Arts,Deoxys #45,$1.99
3440669,Pokemon Japanese Fusion Arts,Diggersby #84,$1.30
3440636,Pokemon Japanese Fusion Arts,Dragapult #51,$1.00
3440635,Pokemon Japanese Fusion Arts,Drakloak #50,$1.45
3440634,Pokemon Japanese Fusion Arts,Dreepy #49,$1.73
3440642,Pokemon Japanese Fusion Arts,Drilbur #57,$0.53
3440664,Pokemon Japanese Fusion Arts,Dunsparce #79,$1.79
3440653,Pokemon Japanese Fusion Arts,Durant #68,$1.45
3440697,Pokemon Japanese Fusion Arts,Elesa's Sparkle #113,$14.99
3440706,Pokemon Japanese Fusion Arts,Elesa's Sparkle #122,$12.04
3440681,Pokemon Japanese Fusion Arts,Elesa's Sparkle #96,$1.45
3440652,Pokemon Japanese Fusion Arts,Excadrill #67,$0.78
3440643,Pokemon Japanese Fusion Arts,Falinks #58,$1.24
3440679,Pokemon Japanese Fusion Arts,Farewell Bell #94,$0.50
3440607,Pokemon Japanese Fusion Arts,Feraligatr #22,$1.74
3440713,Pokemon Japanese Fusion Arts,Fire Energy #129,$24.99
3440709,Pokemon Japanese Fusion Arts,Flaaffy #125,$13.36
3440614,Pokemon Japanese Fusion Arts,Frosmoth #29,$1.00
3440714,Pokemon Japanese Fusion Arts,Fusion Strike Energy #100,$2.14
3440628,Pokemon Japanese Fusion Arts,Galarian Corsola #43,$1.49
3440629,Pokemon Japanese Fusion Arts,Galarian Cursola #44,$1.49
3440645,Pokemon Japanese Fusion Arts,Galarian Linoone #60,$1.50
3440646,Pokemon Japanese Fusion Arts,Galarian Obstagoon #61,$1.99
3440644,Pokemon Japanese Fusion Arts,Galarian Zigzagoon #59,$1.62
3440648,Pokemon Japanese Fusion Arts,Garbodor #63,$1.63
3440692,Pokemon Japanese Fusion Arts,Genesect V #108,$4.56
3440693,Pokemon Japanese Fusion Arts,Genesect V #109,$19.99
3440654,Pokemon Japanese Fusion Arts,Genesect V #69,$2.03
3440637,Pokemon Japanese Fusion Arts,Geodude #52,$1.17
3440639,Pokemon Japanese Fusion Arts,Golem #54,$1.15
3440663,Pokemon Japanese Fusion Arts,Goodra #78,$1.69
3440661,Pokemon Japanese Fusion Arts,Goomy #76,$1.55
