id,console-name,product-name,loose-price
5953465,Pokemon Japanese Future Flash,Aegislash ex #45,$1.18
5953481,Pokemon Japanese Future Flash,Aegislash ex #82,$2.70
5952710,Pokemon Japanese Future Flash,Aipom #51,$1.70
5952734,Pokemon Japanese Future Flash,Aipom #75,$5.21
5953467,Pokemon Japanese Future Flash,Altaria ex #46,$1.71
5953483,Pokemon Japanese Future Flash,Altaria ex #83,$3.25
5953488,Pokemon Japanese Future Flash,Altaria ex #90,$53.50
5952711,Pokemon Japanese Future Flash,Ambipom #52,$0.81
5952754,Pokemon Japanese Future Flash,Basic Metal Energy #95,$12.68
5952663,Pokemon Japanese Future Flash,Blipbug #3,$1.38
5952683,Pokemon Japanese Future Flash,Blitzle #23,$1.78
5952731,Pokemon Japanese Future Flash,Blitzle #72,$3.98
5952659,Pokemon Japanese Future Flash,Booster Box,$70.00
5952660,Pokemon Japanese Future Flash,Booster Pack,$4.08
5952681,Pokemon Japanese Future Flash,Chien-Pao #21,$1.23
5952688,Pokemon Japanese Future Flash,Chimecho #28,$1.33
5952718,Pokemon Japanese Future Flash,Counter Catcher #59,$1.35
5952753,Pokemon Japanese Future Flash,Counter Catcher #94,$10.95
5952720,Pokemon Japanese Future Flash,Cursed Duster #61,$0.90
5952664,Pokemon Japanese Future Flash,Dottler #4,$0.72
5952726,Pokemon Japanese Future Flash,Dottler #67,$3.20
5952704,Pokemon Japanese Future Flash,Doublade #44,$1.25
5952702,Pokemon Japanese Future Flash,Durant #42,$1.68
5952682,Pokemon Japanese Future Flash,Elekid #22,$1.81
5952693,Pokemon Japanese Future Flash,Espathra #33,$1.38
5952732,Pokemon Japanese Future Flash,Espathra #73,$3.18
5952673,Pokemon Japanese Future Flash,Feebas #13,$1.47
5952691,Pokemon Japanese Future Flash,Flittle #31,$1.45
5952692,Pokemon Japanese Future Flash,Flittle #32,$1.75
5952721,Pokemon Japanese Future Flash,Future Booster Energy Capsule #62,$1.33
5952690,Pokemon Japanese Future Flash,Gourgeist #30,$1.54
5952703,Pokemon Japanese Future Flash,Honedge #43,$1.27
5952680,Pokemon Japanese Future Flash,Iron Bundle #20,$1.45
5952730,Pokemon Japanese Future Flash,Iron Bundle #71,$3.14
5953449,Pokemon Japanese Future Flash,Iron Hands ex #27,$1.36
5953478,Pokemon Japanese Future Flash,Iron Hands ex #79,$2.99
5953486,Pokemon Japanese Future Flash,Iron Hands ex #88,$15.07
5952717,Pokemon Japanese Future Flash,Iron Jugulis #58,$1.44
5952737,Pokemon Japanese Future Flash,Iron Jugulis #78,$4.12
5952672,Pokemon Japanese Future Flash,Iron Moth #12,$1.40
5952728,Pokemon Japanese Future Flash,Iron Moth #69,$3.21
5953452,Pokemon Japanese Future Flash,Iron Valiant ex #38,$1.78
5953479,Pokemon Japanese Future Flash,Iron Valiant ex #80,$3.12
5953487,Pokemon Japanese Future Flash,Iron Valiant ex #89,$21.64
5953489,Pokemon Japanese Future Flash,Iron Valiant ex #93,$7.54
5952662,Pokemon Japanese Future Flash,Masquerain #2,$0.25
5953469,Pokemon Japanese Future Flash,Maushold ex #57,$2.16
5953484,Pokemon Japanese Future Flash,Maushold ex #84,$10.99
