id,console-name,product-name,loose-price
3473433,Pokemon Japanese GX Battle Boost,Acerola #103,$2.98
3473440,Pokemon Japanese GX Battle Boost,Aether Paradise Conservation Area #110,$0.25
3473396,Pokemon Japanese GX Battle Boost,Alolan Diglett #66,$3.29
3473397,Pokemon Japanese GX Battle Boost,Alolan Dugtrio #67,$4.66
3473408,Pokemon Japanese GX Battle Boost,Alolan Exeggutor #78,$5.61
3473364,Pokemon Japanese GX Battle Boost,Alolan Grimer #34,$5.34
3473365,Pokemon Japanese GX Battle Boost,Alolan Muk #35,$0.35
3473353,Pokemon Japanese GX Battle Boost,Alolan Ninetales #23,$11.99
3473350,Pokemon Japanese GX Battle Boost,Alolan Sandshrew #20,$5.00
3473351,Pokemon Japanese GX Battle Boost,Alolan Sandslash #21,$3.49
3473352,Pokemon Japanese GX Battle Boost,Alolan Vulpix #22,$39.12
3473441,Pokemon Japanese GX Battle Boost,Altar of the Moone #111,$1.49
3473443,Pokemon Japanese GX Battle Boost,Altar of the Sunne #113,$6.07
3473430,Pokemon Japanese GX Battle Boost,Ancient Crystal #100,$0.01
3473418,Pokemon Japanese GX Battle Boost,Aqua Patch #88,$3.46
3473335,Pokemon Japanese GX Battle Boost,Araquanid #5,$2.42
3473411,Pokemon Japanese GX Battle Boost,Blissey #81,$3.78
4567622,Pokemon Japanese GX Battle Boost,Booster Box Version 1,$13543.45
7960591,Pokemon Japanese GX Battle Boost,Booster Pack,$179.48
3473338,Pokemon Japanese GX Battle Boost,Bounsweet #8,$1.99
3473442,Pokemon Japanese GX Battle Boost,Brooklet Hill #112,$3.99
3473447,Pokemon Japanese GX Battle Boost,Celesteela GX #117,$5.53
3473453,Pokemon Japanese GX Battle Boost,Celesteela GX #123,$11.73
3473401,Pokemon Japanese GX Battle Boost,Celesteela GX #71,$2.41
3473347,Pokemon Japanese GX Battle Boost,Chandelure #17,$2.99
3473410,Pokemon Japanese GX Battle Boost,Chansey #80,$5.40
3473360,Pokemon Japanese GX Battle Boost,Charjabug #30,$3.26
3473431,Pokemon Japanese GX Battle Boost,Choice Band #101,$0.01
3473377,Pokemon Japanese GX Battle Boost,Cosmoem #47,$2.24
3473376,Pokemon Japanese GX Battle Boost,Cosmog #46,$2.99
3473394,Pokemon Japanese GX Battle Boost,Darkrai GX #64,$6.75
3473334,Pokemon Japanese GX Battle Boost,Dewpider #4,$0.51
3473374,Pokemon Japanese GX Battle Boost,Dhelmise #44,$2.99
3473404,Pokemon Japanese GX Battle Boost,Diancie #74,$3.01
3473444,Pokemon Japanese GX Battle Boost,Double Colorless Energy #114,$3.38
3473409,Pokemon Japanese GX Battle Boost,Drampa #79,$3.57
3473417,Pokemon Japanese GX Battle Boost,Drampa GX #87,$3.37
3473413,Pokemon Japanese GX Battle Boost,Eevee #83,$12.70
3473429,Pokemon Japanese GX Battle Boost,Electric Memory #99,$5.00
3473420,Pokemon Japanese GX Battle Boost,Enhanced Hammer #90,$1.86
3473419,Pokemon Japanese GX Battle Boost,Escape Rope #89,$0.25
3473331,Pokemon Japanese GX Battle Boost,Exeggcute #1,$2.49
3473423,Pokemon Japanese GX Battle Boost,Field Blower #93,$2.73
3473432,Pokemon Japanese GX Battle Boost,Fire Memory #102,$3.57
3473336,Pokemon Japanese GX Battle Boost,Fomantis #6,$0.99
3473370,Pokemon Japanese GX Battle Boost,Garbodor #40,$2.97
3473333,Pokemon Japanese GX Battle Boost,Grubbin #3,$2.99
3473435,Pokemon Japanese GX Battle Boost,Guzma #105,$0.36
3473395,Pokemon Japanese GX Battle Boost,Guzzlord GX #65,$6.07
3473343,Pokemon Japanese GX Battle Boost,Ho-Oh GX #13,$8.77
3473392,Pokemon Japanese GX Battle Boost,Honchkrow #62,$3.99
3473412,Pokemon Japanese GX Battle Boost,Kangaskhan #82,$3.99
3473434,Pokemon Japanese GX Battle Boost,Kiawe #104,$0.51
3473346,Pokemon Japanese GX Battle Boost,Lampent #16,$2.99
3473436,Pokemon Japanese GX Battle Boost,Lana #106,$8.73
3473448,Pokemon Japanese GX Battle Boost,Lana #118,$84.25
3473438,Pokemon Japanese GX Battle Boost,Lillie #108,$19.27
3473449,Pokemon Japanese GX Battle Boost,Lillie #119,$1550.00
3473345,Pokemon Japanese GX Battle Boost,Litwick #15,$3.41
3473378,Pokemon Japanese GX Battle Boost,Lunala #48,$4.92
3473454,Pokemon Japanese GX Battle Boost,Lunala GX #124,$15.00
3473379,Pokemon Japanese GX Battle Boost,Lunala GX #49,$5.77
3473382,Pokemon Japanese GX Battle Boost,Lunatone #52,$0.88
3473337,Pokemon Japanese GX Battle Boost,Lurantis #7,$5.28
3473439,Pokemon Japanese GX Battle Boost,Lusamine #109,$3.99
3473450,Pokemon Japanese GX Battle Boost,Lusamine #120,$468.73
3473386,Pokemon Japanese GX Battle Boost,Lycanroc GX #56,$2.40
3473387,Pokemon Japanese GX Battle Boost,Lycanroc GX #57,$1.73
3473402,Pokemon Japanese GX Battle Boost,Magearna #72,$2.65
3473437,Pokemon Japanese GX Battle Boost,Mallow #107,$6.99
3473426,Pokemon Japanese GX Battle Boost,Max Potion #96,$0.99
3473366,Pokemon Japanese GX Battle Boost,Mewtwo GX #36,$10.69
3473373,Pokemon Japanese GX Battle Boost,Mimikyu #43,$18.99
3473405,Pokemon Japanese GX Battle Boost,Morelull #75,$2.73
3473425,Pokemon Japanese GX Battle Boost,Multi Switch #95,$0.50
3473391,Pokemon Japanese GX Battle Boost,Murkrow #61,$4.49
3473380,Pokemon Japanese GX Battle Boost,Necrozma GX #50,$3.79
3473422,Pokemon Japanese GX Battle Boost,Nest Ball #92,$1.99
3473371,Pokemon Japanese GX Battle Boost,Oricorio #41,$2.68
3473372,Pokemon Japanese GX Battle Boost,Oricorio #42,$0.50
3473390,Pokemon Japanese GX Battle Boost,Palossand #60,
3473388,Pokemon Japanese GX Battle Boost,Passimian #58,$4.99
3473445,Pokemon Japanese GX Battle Boost,Pheromosa GX #115,$16.96
3473342,Pokemon Japanese GX Battle Boost,Pheromosa GX #12,$6.46
3473451,Pokemon Japanese GX Battle Boost,Pheromosa GX #121,$14.10
3473358,Pokemon Japanese GX Battle Boost,Pikachu #28,$9.62
3473332,Pokemon Japanese GX Battle Boost,Pinsir #2,$1.99
3473355,Pokemon Japanese GX Battle Boost,Pyukumuku #25,$1.99
3473359,Pokemon Japanese GX Battle Boost,Raichu #29,$5.12
3473424,Pokemon Japanese GX Battle Boost,Rare Candy #94,
3473414,Pokemon Japanese GX Battle Boost,Rayquaza #84,$15.99
10287245,Pokemon Japanese GX Battle Boost,Rayquaza [Reverse Holo] #84,$17.39
3473354,Pokemon Japanese GX Battle Boost,Regice #24,$2.97
3473384,Pokemon Japanese GX Battle Boost,Regirock #54,$3.00
3473398,Pokemon Japanese GX Battle Boost,Registeel #68,$5.97
3473427,Pokemon Japanese GX Battle Boost,Rescue Stretcher #97,$1.98
3473385,Pokemon Japanese GX Battle Boost,Rockruff #55,$3.49
3473428,Pokemon Japanese GX Battle Boost,Rotom Dex #98,$6.58
3473393,Pokemon Japanese GX Battle Boost,Sableye #63,$4.99
3473348,Pokemon Japanese GX Battle Boost,Salandit #18,$0.50
3473349,Pokemon Japanese GX Battle Boost,Salazzle #19,$1.94
3473389,Pokemon Japanese GX Battle Boost,Sandygast #59,$2.76
3473368,Pokemon Japanese GX Battle Boost,Seviper #38,$1.25
3473406,Pokemon Japanese GX Battle Boost,Shiinotic #76,$3.72
3473416,Pokemon Japanese GX Battle Boost,Silvally GX #86,$4.72
3473399,Pokemon Japanese GX Battle Boost,Solgaleo #69,$1.25
3473455,Pokemon Japanese GX Battle Boost,Solgaleo GX #125,$36.13
3473400,Pokemon Japanese GX Battle Boost,Solgaleo GX #70,$5.50
3473383,Pokemon Japanese GX Battle Boost,Solrock #53,$1.99
3473339,Pokemon Japanese GX Battle Boost,Steenee #9,$1.99
3473381,Pokemon Japanese GX Battle Boost,Sudowoodo #51,$4.07
3473403,Pokemon Japanese GX Battle Boost,Sylveon GX #73,$20.70
3473341,Pokemon Japanese GX Battle Boost,Tapu Bulu #11,$1.57
3473356,Pokemon Japanese GX Battle Boost,Tapu Fini #26,$2.99
3473357,Pokemon Japanese GX Battle Boost,Tapu Fini GX #27,$2.22
3473362,Pokemon Japanese GX Battle Boost,Tapu Koko GX #32,$2.99
3473407,Pokemon Japanese GX Battle Boost,Tapu Lele #77,$3.27
3473375,Pokemon Japanese GX Battle Boost,Tapu Lele GX #45,$3.05
3473421,Pokemon Japanese GX Battle Boost,Timer Ball #91,$2.70
3473369,Pokemon Japanese GX Battle Boost,Trubbish #39,$8.99
3473340,Pokemon Japanese GX Battle Boost,Tsareena #10,$1.99
3473415,Pokemon Japanese GX Battle Boost,Type: Null #85,$3.28
3473344,Pokemon Japanese GX Battle Boost,Victini #14,$5.08
3473361,Pokemon Japanese GX Battle Boost,Vikavolt #31,$1.99
3473367,Pokemon Japanese GX Battle Boost,Wobbuffet #37,$4.94
3473446,Pokemon Japanese GX Battle Boost,Xurkitree GX #116,$12.23
3473452,Pokemon Japanese GX Battle Boost,Xurkitree GX #122,$12.52
3473363,Pokemon Japanese GX Battle Boost,Xurkitree GX #33,$2.99
