id,console-name,product-name,loose-price
3445574,Pokemon Japanese GX Ultra Shiny,Abomasnow #26,$1.77
3445676,Pokemon Japanese GX Ultra Shiny,Acerola #128,$7.30
3445699,Pokemon Japanese GX Ultra Shiny,Aether Foundation Employee #151,$20.61
3445624,Pokemon Japanese GX Ultra Shiny,Alolan Diglett #76,$2.90
3445625,Pokemon Japanese GX Ultra Shiny,Alolan Dugtrio #77,$3.07
3445644,Pokemon Japanese GX Ultra Shiny,Alolan Exeggutor #96,$3.26
3445588,Pokemon Japanese GX Ultra Shiny,Alolan Marowak #40,$2.24
8329913,Pokemon Japanese GX Ultra Shiny,Alolan Marowak [Reverse Holo] #40,$19.95
3445637,Pokemon Japanese GX Ultra Shiny,Alolan Ninetales #89,$3.99
3445761,Pokemon Japanese GX Ultra Shiny,Alolan Ninetales GX #213,$26.91
9897110,Pokemon Japanese GX Ultra Shiny,Alolan Ninetales [Reverse Holo] #89,$19.98
3445716,Pokemon Japanese GX Ultra Shiny,Alolan Vulpix #168,$18.99
3445570,Pokemon Japanese GX Ultra Shiny,Alolan Vulpix #22,$2.99
11320636,Pokemon Japanese GX Ultra Shiny,Alolan Vulpix [Reverse Holo] #22,$25.06
3445745,Pokemon Japanese GX Ultra Shiny,Altaria #197,$13.20
3445645,Pokemon Japanese GX Ultra Shiny,Altaria #97,$3.33
3445787,Pokemon Japanese GX Ultra Shiny,Altaria GX #239,$29.96
3445762,Pokemon Japanese GX Ultra Shiny,Articuno GX #214,$35.00
3445769,Pokemon Japanese GX Ultra Shiny,Banette GX #221,$14.51
3445695,Pokemon Japanese GX Ultra Shiny,Beast Energy Prism Star #147,$1.21
3445663,Pokemon Japanese GX Ultra Shiny,Beast Ring #115,$3.99
3445738,Pokemon Japanese GX Ultra Shiny,Beldum #190,$5.97
3445562,Pokemon Japanese GX Ultra Shiny,Blaziken #14,$3.28
10247643,Pokemon Japanese GX Ultra Shiny,Blaziken [Reverse Holo] #14,$7.69
3445675,Pokemon Japanese GX Ultra Shiny,Bodybuilding Dumbbells #127,$1.99
4602477,Pokemon Japanese GX Ultra Shiny,Booster Box,$1010.00
13087009,Pokemon Japanese GX Ultra Shiny,Booster Pack,$324.99
3445568,Pokemon Japanese GX Ultra Shiny,Braixen #20,$2.21
8329912,Pokemon Japanese GX Ultra Shiny,Braixen [Reverse Holofoil] #20,$3.80
3445549,Pokemon Japanese GX Ultra Shiny,Bulbasaur #1,$7.88
3445732,Pokemon Japanese GX Ultra Shiny,Buzzwole #184,$3.30
3445610,Pokemon Japanese GX Ultra Shiny,Buzzwole #62,$2.47
3445776,Pokemon Japanese GX Ultra Shiny,Buzzwole GX #228,$16.73
3445611,Pokemon Japanese GX Ultra Shiny,Buzzwole GX #63,$2.90
3445740,Pokemon Japanese GX Ultra Shiny,Celesteela #192,$3.99
3445631,Pokemon Japanese GX Ultra Shiny,Celesteela #83,$2.90
3445757,Pokemon Japanese GX Ultra Shiny,Charizard GX #209,$594.12
3445714,Pokemon Japanese GX Ultra Shiny,Charmander #166,$38.94
3445715,Pokemon Japanese GX Ultra Shiny,Charmeleon #167,$19.23
3445561,Pokemon Japanese GX Ultra Shiny,Combusken #13,$3.98
3445683,Pokemon Japanese GX Ultra Shiny,Copycat #135,$3.99
3445594,Pokemon Japanese GX Ultra Shiny,Cosmoem #46,$3.24
3445593,Pokemon Japanese GX Ultra Shiny,Cosmog #45,$4.35
3445662,Pokemon Japanese GX Ultra Shiny,Counter Catcher #114,$3.18
3445694,Pokemon Japanese GX Ultra Shiny,Counter Energy #146,$2.99
3445601,Pokemon Japanese GX Ultra Shiny,Cubone #53,$4.22
9772142,Pokemon Japanese GX Ultra Shiny,Cubone [Reverse Holo] #53,$44.77
3445680,Pokemon Japanese GX Ultra Shiny,Cynthia #132,$8.20
3445701,Pokemon Japanese GX Ultra Shiny,Cynthia #153,$240.32
3445686,Pokemon Japanese GX Ultra Shiny,Dana #138,$4.69
3445706,Pokemon Japanese GX Ultra Shiny,Dana #158,$49.99
3445616,Pokemon Japanese GX Ultra Shiny,Darkrai #68,$2.99
3445778,Pokemon Japanese GX Ultra Shiny,Darkrai GX #230,$62.18
3445711,Pokemon Japanese GX Ultra Shiny,Dartrix #163,$4.15
3445596,Pokemon Japanese GX Ultra Shiny,Dawn Wings Necrozma #48,$2.24
3445597,Pokemon Japanese GX Ultra Shiny,Dawn Wings Necrozma GX #49,$3.00
3445755,Pokemon Japanese GX Ultra Shiny,Decidueye GX #207,$15.00
3445619,Pokemon Japanese GX Ultra Shiny,Deino #71,$3.53
3445569,Pokemon Japanese GX Ultra Shiny,Delphox #21,$3.73
3445744,Pokemon Japanese GX Ultra Shiny,Diancie #196,$6.05
3445642,Pokemon Japanese GX Ultra Shiny,Diancie #94,$2.69
