id,console-name,product-name,loose-price
3462071,Pokemon Japanese Gaia Volcano,Acro Bike #60,$2.69
10801616,Pokemon Japanese Gaia Volcano,Acro Bike [1st Edition] #60,$2.00
3462063,Pokemon Japanese Gaia Volcano,Aegislash #52,$3.73
10801621,Pokemon Japanese Gaia Volcano,Aegislash [1st Edition] #52,$2.94
3462056,Pokemon Japanese Gaia Volcano,Aggron EX #45,$4.93
3462086,Pokemon Japanese Gaia Volcano,Aggron EX #75,$51.51
10801620,Pokemon Japanese Gaia Volcano,Aggron EX [1st Edition] #45,$5.49
10801623,Pokemon Japanese Gaia Volcano,Aggron EX [1st Edition] #75,$32.00
3462076,Pokemon Japanese Gaia Volcano,Aggron Spirit Link #65,$4.47
10801624,Pokemon Japanese Gaia Volcano,Aggron Spirit Link [1st Edition] #65,$1.92
3462031,Pokemon Japanese Gaia Volcano,Blaziken #20,$5.16
10801627,Pokemon Japanese Gaia Volcano,Blaziken [1st Edition] #20,$5.99
5917467,Pokemon Japanese Gaia Volcano,Booster Box,$2024.00
13118450,Pokemon Japanese Gaia Volcano,Booster Pack,$65.15
3462068,Pokemon Japanese Gaia Volcano,Bouffalant #57,$2.50
10801630,Pokemon Japanese Gaia Volcano,Bouffalant [1st Edition] #57,$2.99
3462019,Pokemon Japanese Gaia Volcano,Breloom #8,$2.28
10801633,Pokemon Japanese Gaia Volcano,Breloom [1st Edition] #8,$2.64
3462069,Pokemon Japanese Gaia Volcano,Bunnelby #58,$1.99
3462070,Pokemon Japanese Gaia Volcano,Bunnelby #59,$2.49
10801634,Pokemon Japanese Gaia Volcano,Bunnelby [1st Edition] #58,$2.65
10801636,Pokemon Japanese Gaia Volcano,Bunnelby [1st Edition] #59,
3462032,Pokemon Japanese Gaia Volcano,Camerupt EX #21,$3.00
3462083,Pokemon Japanese Gaia Volcano,Camerupt EX #72,$20.00
10801637,Pokemon Japanese Gaia Volcano,Camerupt EX [1st Edition] #21,$2.43
10801639,Pokemon Japanese Gaia Volcano,Camerupt EX [1st Edition] #72,$28.20
