id,console-name,product-name,loose-price
9090515,Pokemon Japanese Glory of Team Rocket,Abomasnow #27,$1.50
9090526,Pokemon Japanese Glory of Team Rocket,Annihilape #47,$1.60
9088595,Pokemon Japanese Glory of Team Rocket,Arboliva ex #111,$4.79
9090500,Pokemon Japanese Glory of Team Rocket,Arboliva ex #12,$1.74
9090502,Pokemon Japanese Glory of Team Rocket,Arcanine #14,$1.61
9090517,Pokemon Japanese Glory of Team Rocket,Arrokuda #29,$1.46
9143620,Pokemon Japanese Glory of Team Rocket,Attache Case Set,$297.99
9090518,Pokemon Japanese Glory of Team Rocket,Barraskewda #30,$1.51
9088538,Pokemon Japanese Glory of Team Rocket,Blaziken #101,$4.97
9090508,Pokemon Japanese Glory of Team Rocket,Blaziken #20,$1.40
9042171,Pokemon Japanese Glory of Team Rocket,Booster Box,$135.00
9042173,Pokemon Japanese Glory of Team Rocket,Booster Pack,$5.27
9088484,Pokemon Japanese Glory of Team Rocket,Breloom #3,$1.48
9088597,Pokemon Japanese Glory of Team Rocket,Cetitan ex #113,$3.15
9090520,Pokemon Japanese Glory of Team Rocket,Cetitan ex #32,$1.37
9090519,Pokemon Japanese Glory of Team Rocket,Cetoddle #31,$1.80
9090535,Pokemon Japanese Glory of Team Rocket,Clampearl #102,$3.12
9090511,Pokemon Japanese Glory of Team Rocket,Clampearl #23,$0.72
9090507,Pokemon Japanese Glory of Team Rocket,Combusken #19,$1.25
9090499,Pokemon Japanese Glory of Team Rocket,Dolliv #11,$1.66
9088486,Pokemon Japanese Glory of Team Rocket,Fomantis #5,$1.44
9088562,Pokemon Japanese Glory of Team Rocket,Forretress #73,$2.76
9090513,Pokemon Japanese Glory of Team Rocket,Gorebyss #25,$1.65
9090501,Pokemon Japanese Glory of Team Rocket,Growlithe #13,$1.53
9090509,Pokemon Japanese Glory of Team Rocket,Heat Rotom #21,$1.25
9090512,Pokemon Japanese Glory of Team Rocket,Huntail #24,$1.69
9088616,Pokemon Japanese Glory of Team Rocket,Jamming Tower #132,$13.18
9088594,Pokemon Japanese Glory of Team Rocket,Kangaskhan #110,$5.72
9088572,Pokemon Japanese Glory of Team Rocket,Kangaskhan #80,$1.50
9088487,Pokemon Japanese Glory of Team Rocket,Lurantis #6,$1.50
9088526,Pokemon Japanese Glory of Team Rocket,Mankey #45,$1.20
9090534,Pokemon Japanese Glory of Team Rocket,Medicham #54,$1.41
9090533,Pokemon Japanese Glory of Team Rocket,Meditite #53,$1.50
9088485,Pokemon Japanese Glory of Team Rocket,Mow Rotom #4,$1.19
9090530,Pokemon Japanese Glory of Team Rocket,Nosepass #51,$1.20
9088482,Pokemon Japanese Glory of Team Rocket,Pineco #1,$1.14
9090525,Pokemon Japanese Glory of Team Rocket,Primeape #46,$1.44
9090531,Pokemon Japanese Glory of Team Rocket,Probopass #52,$1.47
9088599,Pokemon Japanese Glory of Team Rocket,Regirock ex #115,$4.52
9090536,Pokemon Japanese Glory of Team Rocket,Regirock ex #55,$1.70
9088483,Pokemon Japanese Glory of Team Rocket,Shroomish #2,$1.53
9088564,Pokemon Japanese Glory of Team Rocket,Skarmory #74,$1.50
9090498,Pokemon Japanese Glory of Team Rocket,Smoliv #10,$1.49
9090514,Pokemon Japanese Glory of Team Rocket,Snover #26,$1.90
9090586,Pokemon Japanese Glory of Team Rocket,Squawkabilly #86,$1.12
9090585,Pokemon Japanese Glory of Team Rocket,Swellow #85,$1.98
9090584,Pokemon Japanese Glory of Team Rocket,Taillow #84,$1.46
9090598,Pokemon Japanese Glory of Team Rocket,Team Rocket Energy #98,$1.34
9090524,Pokemon Japanese Glory of Team Rocket,Team Rocket's Ampharos #36,$1.57
9090541,Pokemon Japanese Glory of Team Rocket,Team Rocket's Arbok #57,$1.50
9090609,Pokemon Japanese Glory of Team Rocket,Team Rocket's Archer #120,$4.49
9090592,Pokemon Japanese Glory of Team Rocket,Team Rocket's Archer #92,$1.53
9090608,Pokemon Japanese Glory of Team Rocket,Team Rocket's Ariana #119,$5.99
9090617,Pokemon Japanese Glory of Team Rocket,Team Rocket's Ariana #128,$20.00
9090591,Pokemon Japanese Glory of Team Rocket,Team Rocket's Ariana #91,$1.46
9090510,Pokemon Japanese Glory of Team Rocket,Team Rocket's Articuno #22,$1.57
9088488,Pokemon Japanese Glory of Team Rocket,Team Rocket's Blipbug #7,$1.50
9088522,Pokemon Japanese Glory of Team Rocket,Team Rocket's Chingling #41,$1.49
9090606,Pokemon Japanese Glory of Team Rocket,Team Rocket's Crobat ex #117,$4.70
9090616,Pokemon Japanese Glory of Team Rocket,Team Rocket's Crobat ex #127,$49.61
9090620,Pokemon Japanese Glory of Team Rocket,Team Rocket's Crobat ex #131,$15.11
9090563,Pokemon Japanese Glory of Team Rocket,Team Rocket's Crobat ex #66,$1.85
9088524,Pokemon Japanese Glory of Team Rocket,Team Rocket's Dottler #43,$1.19
9088518,Pokemon Japanese Glory of Team Rocket,Team Rocket's Drowzee #37,$1.17
9090538,Pokemon Japanese Glory of Team Rocket,Team Rocket's Ekans #56,$1.23
9090597,Pokemon Japanese Glory of Team Rocket,Team Rocket's Factory #97,$1.74
9090523,Pokemon Japanese Glory of Team Rocket,Team Rocket's Flaafy #35,$0.50
9090610,Pokemon Japanese Glory of Team Rocket,Team Rocket's Giovanni #121,$6.50
9090618,Pokemon Japanese Glory of Team Rocket,Team Rocket's Giovanni #129,$20.90
9090593,Pokemon Japanese Glory of Team Rocket,Team Rocket's Giovanni #93,$1.41
9090561,Pokemon Japanese Glory of Team Rocket,Team Rocket's Golbat #65,$1.41
9090588,Pokemon Japanese Glory of Team Rocket,Team Rocket's Great Ball #88,$0.72
9090564,Pokemon Japanese Glory of Team Rocket,Team Rocket's Grimer #67,$1.50
9090587,Pokemon Japanese Glory of Team Rocket,Team Rocket's Hindering Robo #87,$1.27
9090601,Pokemon Japanese Glory of Team Rocket,Team Rocket's Houndoom #100,$7.54
9090505,Pokemon Japanese Glory of Team Rocket,Team Rocket's Houndoom #17,$1.49
9090504,Pokemon Japanese Glory of Team Rocket,Team Rocket's Houndour #16,$1.38
9088519,Pokemon Japanese Glory of Team Rocket,Team Rocket's Hypno #38,$1.42
9090569,Pokemon Japanese Glory of Team Rocket,Team Rocket's Koffing #69,$1.33
9090527,Pokemon Japanese Glory of Team Rocket,Team Rocket's Larvitar #48,$1.41
9090522,Pokemon Japanese Glory of Team Rocket,Team Rocket's Mareep #34,$1.74
9090550,Pokemon Japanese Glory of Team Rocket,Team Rocket's Meowth #109,$13.88
9088568,Pokemon Japanese Glory of Team Rocket,Team Rocket's Meowth #78,$1.50
9090605,Pokemon Japanese Glory of Team Rocket,Team Rocket's Mewtwo ex #114,$23.31
