id,console-name,product-name,loose-price
3667171,Pokemon Japanese Go,Aipom #57,$1.99
4577309,Pokemon Japanese Go,Alolan Exeggutor #72,$3.53
3667119,Pokemon Japanese Go,Alolan Exeggutor V #5,$1.74
3667156,Pokemon Japanese Go,Alolan Raticate #42,$1.80
3667155,Pokemon Japanese Go,Alolan Rattata #41,$1.99
3667172,Pokemon Japanese Go,Ambipom #58,$1.83
3667121,Pokemon Japanese Go,Ariados #7,$1.72
3667138,Pokemon Japanese Go,Articuno #24,$1.97
3667175,Pokemon Japanese Go,Bibarel #61,$1.50
3667174,Pokemon Japanese Go,Bidoof #60,$4.00
7537025,Pokemon Japanese Go,Bidoof [Ditto] #60,$12.22
3667184,Pokemon Japanese Go,Blanche #70,$1.59
3667189,Pokemon Japanese Go,Blanche #83,$4.00
3685008,Pokemon Japanese Go,Blanche #90,$7.18
3667131,Pokemon Japanese Go,Blastoise #17,$2.58
3667166,Pokemon Japanese Go,Blissey #52,$1.96
5408085,Pokemon Japanese Go,Booster Box,$146.74
7629533,Pokemon Japanese Go,Booster Pack,$8.03
3667115,Pokemon Japanese Go,Bulbasaur #1,$2.00
3667128,Pokemon Japanese Go,Camerupt #14,$1.64
3667182,Pokemon Japanese Go,Candela #68,$1.36
3667187,Pokemon Japanese Go,Candela #80,$3.99
3685005,Pokemon Japanese Go,Candela #87,$6.00
13077468,Pokemon Japanese Go,Card File Set,$50.00
3667165,Pokemon Japanese Go,Chansey #51,$1.94
3667124,Pokemon Japanese Go,Charizard #10,$3.39
3667122,Pokemon Japanese Go,Charmander #8,$2.08
3667123,Pokemon Japanese Go,Charmeleon #9,$1.52
3667154,Pokemon Japanese Go,Conkeldurr V #40,$1.25
3684998,Pokemon Japanese Go,Conkeldurr V #75,$4.18
3684895,Pokemon Japanese Go,Conkeldurr V #76,$5.04
4894515,Pokemon Japanese Go,Darkness Energy #DAR,$0.50
5442444,Pokemon Japanese Go,Darkness Energy [Holo] #DAR,$1.24
3667167,Pokemon Japanese Go,Ditto #53,$4.19
3667163,Pokemon Japanese Go,Dragonite V #49,$3.26
3685000,Pokemon Japanese Go,Dragonite V #78,$10.60
3667164,Pokemon Japanese Go,Dragonite VSTAR #50,$2.46
3685004,Pokemon Japanese Go,Dragonite VSTAR #86,$20.88
3667168,Pokemon Japanese Go,Eevee #54,$1.62
3667179,Pokemon Japanese Go,Egg Incubator #65,$1.83
3685010,Pokemon Japanese Go,Egg Incubator #92,$6.29
4894506,Pokemon Japanese Go,Fighting Energy #FIG,$0.50
5442442,Pokemon Japanese Go,Fighting Energy [Holo] #FIG,$1.26
4891820,Pokemon Japanese Go,Fire Energy,$1.69
5442434,Pokemon Japanese Go,Fire Energy [Holo] #FIR,$2.17
3667140,Pokemon Japanese Go,Golisopod #26,$1.40
4894507,Pokemon Japanese Go,Grass Energy #GRA,$0.50
5442432,Pokemon Japanese Go,Grass Energy [Holo] #GRA,$1.01
3667136,Pokemon Japanese Go,Gyarados #22,$2.13
3667116,Pokemon Japanese Go,Ivysaur #2,$1.98
3667137,Pokemon Japanese Go,Lapras #23,$1.75
3667151,Pokemon Japanese Go,Larvitar #37,$1.94
4894517,Pokemon Japanese Go,Lightning Energy #LIG,$0.50
5442439,Pokemon Japanese Go,Lightning Energy [Holo] #LIG,$1.48
3667148,Pokemon Japanese Go,Lunatone #34,$1.50
3667181,Pokemon Japanese Go,Lure Module #67,$1.80
3685011,Pokemon Japanese Go,Lure Module #93,$4.45
3667135,Pokemon Japanese Go,Magikarp #21,$1.99
3667160,Pokemon Japanese Go,Melmetal #46,$1.38
3667161,Pokemon Japanese Go,Melmetal V #47,$1.89
3684999,Pokemon Japanese Go,Melmetal V #77,$3.39
3667162,Pokemon Japanese Go,Melmetal VMAX #48,$1.80
3685003,Pokemon Japanese Go,Melmetal VMAX #85,$7.11
3667159,Pokemon Japanese Go,Meltan #45,$1.51
4613772,Pokemon Japanese Go,Metal Energy,$1.32
5442443,Pokemon Japanese Go,Metal Energy [Holo] #MET,$1.32
3667144,Pokemon Japanese Go,Mewtwo V #30,$3.44
3684997,Pokemon Japanese Go,Mewtwo V #73,$14.09
3667186,Pokemon Japanese Go,Mewtwo V #74,$81.66
3667145,Pokemon Japanese Go,Mewtwo VSTAR #31,$2.99
3685002,Pokemon Japanese Go,Mewtwo VSTAR #84,$28.39
3684893,Pokemon Japanese Go,Mewtwo VSTAR #91,$24.37
3667126,Pokemon Japanese Go,Moltres #12,$1.82
3667146,Pokemon Japanese Go,Natu #32,$1.77
3667127,Pokemon Japanese Go,Numel #13,$1.98
5403072,Pokemon Japanese Go,Numel [Ditto] #13,$12.00
3667150,Pokemon Japanese Go,Onix #36,$1.99
3667176,Pokemon Japanese Go,Pidove #62,$1.98
3667141,Pokemon Japanese Go,Pikachu #27,$1.99
3667142,Pokemon Japanese Go,Pikachu #28,$5.94
3667185,Pokemon Japanese Go,PokeStop #71,$2.47
3684894,Pokemon Japanese Go,Professor's Research: Professor Willow #82,$4.65
3685007,Pokemon Japanese Go,Professor's Research: Professor Willow #89,$6.69
4894509,Pokemon Japanese Go,Psychic Energy #PSY,$0.50
5442441,Pokemon Japanese Go,Psychic Energy [Holo] #PSY,$1.36
3667152,Pokemon Japanese Go,Pupitar #38,$1.48
3667132,Pokemon Japanese Go,Radiant Blastoise #18,$10.05
3667125,Pokemon Japanese Go,Radiant Charizard #11,$20.15
3667169,Pokemon Japanese Go,Radiant Eevee #55,$17.01
3667118,Pokemon Japanese Go,Radiant Venusaur #4,$8.83
3667180,Pokemon Japanese Go,Rare Candy #66,$1.80
8649272,Pokemon Japanese Go,Sealed 1 Card Pack,$4.87
10600098,Pokemon Japanese Go,Sealed Special Set,$146.89
3667173,Pokemon Japanese Go,Slaking V #59,$1.41
3685001,Pokemon Japanese Go,Slaking V #79,$3.57
3667134,Pokemon Japanese Go,Slowbro #20,$1.98
3667133,Pokemon Japanese Go,Slowpoke #19,$1.93
3667170,Pokemon Japanese Go,Snorlax #56,$2.11
3667153,Pokemon Japanese Go,Solrock #39,$9.06
3667183,Pokemon Japanese Go,Spark #69,$1.62
3667188,Pokemon Japanese Go,Spark #81,$4.99
3685006,Pokemon Japanese Go,Spark #88,$5.00
3667120,Pokemon Japanese Go,Spinarak #6,$1.75
5403073,Pokemon Japanese Go,Spinarak [Ditto] #6,$11.48
3667129,Pokemon Japanese Go,Squirtle #15,$2.12
3667158,Pokemon Japanese Go,Steelix #44,$1.75
3667149,Pokemon Japanese Go,Sylveon #35,$1.92
3667177,Pokemon Japanese Go,Tranquill #63,$1.99
3667157,Pokemon Japanese Go,Tyranitar #43,$2.04
3667178,Pokemon Japanese Go,Unfezant #64,$1.67
3667117,Pokemon Japanese Go,Venusaur #3,$2.38
3667130,Pokemon Japanese Go,Wartortle #16,$1.99
4894512,Pokemon Japanese Go,Water Energy #WAT,$0.50
5442437,Pokemon Japanese Go,Water Energy [Holo] #WAT,$0.98
3667139,Pokemon Japanese Go,Wimpod #25,$1.63
3667147,Pokemon Japanese Go,Xatu #33,$1.77
3667143,Pokemon Japanese Go,Zapdos #29,$2.00
