id,console-name,product-name,loose-price
8227885,"Pokemon Japanese Gold, Silver, New World",9-Card Set With Binder,
3457702,"Pokemon Japanese Gold, Silver, New World",Aipom #190,$2.55
3457678,"Pokemon Japanese Gold, Silver, New World",Ampharos #181,$13.47
3457725,"Pokemon Japanese Gold, Silver, New World",Arcade Game,$25.00
3457646,"Pokemon Japanese Gold, Silver, New World",Ariados #168,$1.95
3457669,"Pokemon Japanese Gold, Silver, New World",Azumarill #184,$10.75
3457644,"Pokemon Japanese Gold, Silver, New World",Bayleef #153,$2.90
6423174,"Pokemon Japanese Gold, Silver, New World",Bayleef [Lv 39] #153,$2.09
3457650,"Pokemon Japanese Gold, Silver, New World",Bellossom #182,$10.25
3457708,"Pokemon Japanese Gold, Silver, New World",Berry,$1.71
3457719,"Pokemon Japanese Gold, Silver, New World",Bill's Teleporter,$2.73
6551422,"Pokemon Japanese Gold, Silver, New World",Booster Box,$45000.00
6402679,"Pokemon Japanese Gold, Silver, New World",Booster Pack,$875.00
3457715,"Pokemon Japanese Gold, Silver, New World",Card-Flip Game,$17.99
3457637,"Pokemon Japanese Gold, Silver, New World",Chikorita #152,$2.00
6330492,"Pokemon Japanese Gold, Silver, New World",Chikorita [Lv. 12] #152,$1.50
3457672,"Pokemon Japanese Gold, Silver, New World",Chinchou #170,$2.00
3457698,"Pokemon Japanese Gold, Silver, New World",Clefairy #35,$4.25
3457705,"Pokemon Japanese Gold, Silver, New World",Cleffa #173,$4.49
3457665,"Pokemon Japanese Gold, Silver, New World",Croconaw #159,$2.00
3457653,"Pokemon Japanese Gold, Silver, New World",Cyndaquil #155,$2.98
3457729,"Pokemon Japanese Gold, Silver, New World",Darkness Energy,$2.19
3457689,"Pokemon Japanese Gold, Silver, New World",Donphan #232,$2.82
3457710,"Pokemon Japanese Gold, Silver, New World",Double Gust,$2.96
3457721,"Pokemon Japanese Gold, Silver, New World",Ecogym,$2.25
3457674,"Pokemon Japanese Gold, Silver, New World",Electabuzz #125,$2.76
3457679,"Pokemon Japanese Gold, Silver, New World",Elekid #239,$3.88
3457722,"Pokemon Japanese Gold, Silver, New World",Energy Charge,$2.15
3457668,"Pokemon Japanese Gold, Silver, New World",Feraligatr #160,$20.34
3457676,"Pokemon Japanese Gold, Silver, New World",Flaaffy #180,$2.56
3457723,"Pokemon Japanese Gold, Silver, New World",Focus Band,$6.02
3457699,"Pokemon Japanese Gold, Silver, New World",Furret #162,$2.30
3457682,"Pokemon Japanese Gold, Silver, New World",Girafarig #203,$2.07
3457687,"Pokemon Japanese Gold, Silver, New World",Gligar #207,$1.92
3457643,"Pokemon Japanese Gold, Silver, New World",Gloom #44,$2.91
3457714,"Pokemon Japanese Gold, Silver, New World",Gold Berry,$1.99
3457703,"Pokemon Japanese Gold, Silver, New World",Granbull #210,$2.04
3457652,"Pokemon Japanese Gold, Silver, New World",Heracross #214,$15.06
3457695,"Pokemon Japanese Gold, Silver, New World",Hoothoot #163,$2.18
3457640,"Pokemon Japanese Gold, Silver, New World",Hoppip #187,$2.73
3457658,"Pokemon Japanese Gold, Silver, New World",Horsea #116,$2.37
3457651,"Pokemon Japanese Gold, Silver, New World",Jumpluff #189,$8.64
3457670,"Pokemon Japanese Gold, Silver, New World",Kingdra #230,$12.50
3457675,"Pokemon Japanese Gold, Silver, New World",Lanturn #171,$2.60
7226049,"Pokemon Japanese Gold, Silver, New World",Lanturn #38,$2.00
3457645,"Pokemon Japanese Gold, Silver, New World",Ledian #166,$2.83
3457638,"Pokemon Japanese Gold, Silver, New World",Ledyba #165,$2.62
3457707,"Pokemon Japanese Gold, Silver, New World",Lugia #249,$167.50
3457657,"Pokemon Japanese Gold, Silver, New World",Magby #240,$3.18
3457654,"Pokemon Japanese Gold, Silver, New World",Magmar #126,$2.99
3457663,"Pokemon Japanese Gold, Silver, New World",Mantine #226,$2.00
6222987,"Pokemon Japanese Gold, Silver, New World",March,$2.97
3457673,"Pokemon Japanese Gold, Silver, New World",Mareep #179,$2.85
3457660,"Pokemon Japanese Gold, Silver, New World",Marill #183,$3.17
3457724,"Pokemon Japanese Gold, Silver, New World",Mary,$2.75
3457649,"Pokemon Japanese Gold, Silver, New World",Meganium #154,$14.75
6047901,"Pokemon Japanese Gold, Silver, New World",Meganium [Lv 57] #154,$10.25
3457730,"Pokemon Japanese Gold, Silver, New World",Metal Energy,$3.52
3457704,"Pokemon Japanese Gold, Silver, New World",Miltank #241,$2.87
3457716,"Pokemon Japanese Gold, Silver, New World",Miracle Berry,$2.44
3457712,"Pokemon Japanese Gold, Silver, New World",Moo-Moo Milk,$21.24
3457690,"Pokemon Japanese Gold, Silver, New World",Murkrow #198,$3.58
3457681,"Pokemon Japanese Gold, Silver, New World",Natu #177,$1.99
3457700,"Pokemon Japanese Gold, Silver, New World",Noctowl #164,$2.23
3457636,"Pokemon Japanese Gold, Silver, New World",Oddish #43,$2.98
3457685,"Pokemon Japanese Gold, Silver, New World",Onix #95,$2.97
5325915,"Pokemon Japanese Gold, Silver, New World",Onix [Holo] #95,$3.00
3457688,"Pokemon Japanese Gold, Silver, New World",Phanpy #231,$2.24
3457677,"Pokemon Japanese Gold, Silver, New World",Pichu #172,$41.00
10497275,"Pokemon Japanese Gold, Silver, New World",Pichu [Corrected] #172,$21.47
3457671,"Pokemon Japanese Gold, Silver, New World",Pikachu #25,$8.05
3457667,"Pokemon Japanese Gold, Silver, New World",Piloswine #221,$1.98
5234631,"Pokemon Japanese Gold, Silver, New World",Pokedex Handy808,$4.86
8314557,"Pokemon Japanese Gold, Silver, New World",Pokegear,$1.17
3457713,"Pokemon Japanese Gold, Silver, New World",Professor Elm,$2.90
3457666,"Pokemon Japanese Gold, Silver, New World",Quagsire #195,$3.09
3457655,"Pokemon Japanese Gold, Silver, New World",Quilava #156,$2.91
3457731,"Pokemon Japanese Gold, Silver, New World",Recycle Energy,$2.47
3457664,"Pokemon Japanese Gold, Silver, New World",Seadra #117,$2.50
3457694,"Pokemon Japanese Gold, Silver, New World",Sentret #161,$2.08
3457642,"Pokemon Japanese Gold, Silver, New World",Shuckle #213,$2.41
3457693,"Pokemon Japanese Gold, Silver, New World",Skarmory #227,$11.18
3457647,"Pokemon Japanese Gold, Silver, New World",Skiploom #188,$2.80
3457684,"Pokemon Japanese Gold, Silver, New World",Slowking #199,$29.45
3457680,"Pokemon Japanese Gold, Silver, New World",Slowpoke #79,$3.98
3457691,"Pokemon Japanese Gold, Silver, New World",Sneasel #215,$4.61
7226078,"Pokemon Japanese Gold, Silver, New World",Sneasel [Lv. 32] #215,$10.00
3457696,"Pokemon Japanese Gold, Silver, New World",Snubbull #209,$2.24
3457639,"Pokemon Japanese Gold, Silver, New World",Spinarak #167,$2.10
