id,console-name,product-name,loose-price
3439453,"Pokemon Japanese Golden Sky, Silvery Ocean",Aipom #82,$2.75
3507265,"Pokemon Japanese Golden Sky, Silvery Ocean",Aipom [1st Edition] #82,$3.47
3439408,"Pokemon Japanese Golden Sky, Silvery Ocean",Ampharos #37,$19.99
3507266,"Pokemon Japanese Golden Sky, Silvery Ocean",Ampharos [1st Edition] #37,$17.45
3439377,"Pokemon Japanese Golden Sky, Silvery Ocean",Ariados #6,$5.10
3507267,"Pokemon Japanese Golden Sky, Silvery Ocean",Ariados [1st Edition] #6,$1.05
3439378,"Pokemon Japanese Golden Sky, Silvery Ocean",Bellossom #7,$9.00
3507268,"Pokemon Japanese Golden Sky, Silvery Ocean",Bellossom [1st Edition] #7,$9.49
3439460,"Pokemon Japanese Golden Sky, Silvery Ocean",Blissey ex #89,$31.21
3507269,"Pokemon Japanese Golden Sky, Silvery Ocean",Blissey ex [1st Edition] #89,$16.43
13118708,"Pokemon Japanese Golden Sky, Silvery Ocean",Booster Box,
13118710,"Pokemon Japanese Golden Sky, Silvery Ocean",Booster Pack,
3439449,"Pokemon Japanese Golden Sky, Silvery Ocean",Chansey #78,$10.15
3507270,"Pokemon Japanese Golden Sky, Silvery Ocean",Chansey [1st Edition] #78,$2.75
3439452,"Pokemon Japanese Golden Sky, Silvery Ocean",Cleffa #81,$8.34
3507271,"Pokemon Japanese Golden Sky, Silvery Ocean",Cleffa [1st Edition] #81,$7.14
3439399,"Pokemon Japanese Golden Sky, Silvery Ocean",Corsola #28,$4.84
3507272,"Pokemon Japanese Golden Sky, Silvery Ocean",Corsola [1st Edition] #28,$8.73
3439473,"Pokemon Japanese Golden Sky, Silvery Ocean",Curse Powder #102,$4.00
3507273,"Pokemon Japanese Golden Sky, Silvery Ocean",Curse Powder [1st Edition] #102,
3439476,"Pokemon Japanese Golden Sky, Silvery Ocean",Cyclone Energy #105,$2.58
3507274,"Pokemon Japanese Golden Sky, Silvery Ocean",Cyclone Energy [1st Edition] #105,$2.39
3439450,"Pokemon Japanese Golden Sky, Silvery Ocean",Eevee #79,$6.50
3507275,"Pokemon Japanese Golden Sky, Silvery Ocean",Eevee [1st Edition] #79,$6.70
3439404,"Pokemon Japanese Golden Sky, Silvery Ocean",Electabuzz #33,$3.67
3507276,"Pokemon Japanese Golden Sky, Silvery Ocean",Electabuzz [1st Edition] #33,$1.99
3439409,"Pokemon Japanese Golden Sky, Silvery Ocean",Elekid #38,$11.52
3507277,"Pokemon Japanese Golden Sky, Silvery Ocean",Elekid [1st Edition] #38,$11.11
3439472,"Pokemon Japanese Golden Sky, Silvery Ocean",Energy Root #101,$2.24
3507278,"Pokemon Japanese Golden Sky, Silvery Ocean",Energy Root [1st Edition] #101,$4.99
12983440,"Pokemon Japanese Golden Sky, Silvery Ocean",Entei [Gold Star 1st Edition] #19,
4642822,"Pokemon Japanese Golden Sky, Silvery Ocean",Entei [Gold Star] #19,$926.31
3439412,"Pokemon Japanese Golden Sky, Silvery Ocean",Espeon ex #41,$235.75
3507279,"Pokemon Japanese Golden Sky, Silvery Ocean",Espeon ex [1st Edition] #41,$197.94
3439397,"Pokemon Japanese Golden Sky, Silvery Ocean",Feraligatr #26,$34.34
3507280,"Pokemon Japanese Golden Sky, Silvery Ocean",Feraligatr [1st Edition] #26,$18.01
3439407,"Pokemon Japanese Golden Sky, Silvery Ocean",Flaaffy #36,$2.82
3507281,"Pokemon Japanese Golden Sky, Silvery Ocean",Flaaffy [1st Edition] #36,$3.99
3439384,"Pokemon Japanese Golden Sky, Silvery Ocean",Flareon #13,$34.38
3507282,"Pokemon Japanese Golden Sky, Silvery Ocean",Flareon [1st Edition] #13,$38.97
3439474,"Pokemon Japanese Golden Sky, Silvery Ocean",Fluffy Berry #103,$2.18
3507283,"Pokemon Japanese Golden Sky, Silvery Ocean",Fluffy Berry [1st Edition] #103,$2.73
3439465,"Pokemon Japanese Golden Sky, Silvery Ocean",Forretress #94,$4.99
3507284,"Pokemon Japanese Golden Sky, Silvery Ocean",Forretress [1st Edition] #94,$5.49
3439444,"Pokemon Japanese Golden Sky, Silvery Ocean",Gligar #73,$2.95
3507285,"Pokemon Japanese Golden Sky, Silvery Ocean",Gligar [1st Edition] #73,$2.54
3439373,"Pokemon Japanese Golden Sky, Silvery Ocean",Gloom #2,$3.44
3507286,"Pokemon Japanese Golden Sky, Silvery Ocean",Gloom [1st Edition] #2,$3.98
3439442,"Pokemon Japanese Golden Sky, Silvery Ocean",Hitmonchan #71,$2.99
3507287,"Pokemon Japanese Golden Sky, Silvery Ocean",Hitmonchan [1st Edition] #71,$4.06
3439441,"Pokemon Japanese Golden Sky, Silvery Ocean",Hitmonlee #70,$3.22
3507288,"Pokemon Japanese Golden Sky, Silvery Ocean",Hitmonlee [1st Edition] #70,$2.17
3439446,"Pokemon Japanese Golden Sky, Silvery Ocean",Hitmontop #75,$3.58
3507289,"Pokemon Japanese Golden Sky, Silvery Ocean",Hitmontop [1st Edition] #75,$1.73
3439391,"Pokemon Japanese Golden Sky, Silvery Ocean",Ho-Oh ex #20,$70.00
3507290,"Pokemon Japanese Golden Sky, Silvery Ocean",Ho-Oh ex [1st Edition] #20,$92.88
3439389,"Pokemon Japanese Golden Sky, Silvery Ocean",Houndoom #18,$18.48
3507291,"Pokemon Japanese Golden Sky, Silvery Ocean",Houndoom [1st Edition] #18,$16.09
3439388,"Pokemon Japanese Golden Sky, Silvery Ocean",Houndour #17,$2.73
3507292,"Pokemon Japanese Golden Sky, Silvery Ocean",Houndour [1st Edition] #17,$2.99
3439405,"Pokemon Japanese Golden Sky, Silvery Ocean",Jolteon #34,$26.17
3507293,"Pokemon Japanese Golden Sky, Silvery Ocean",Jolteon [1st Edition] #34,$28.01
3439395,"Pokemon Japanese Golden Sky, Silvery Ocean",Jynx #24,$8.32
3507294,"Pokemon Japanese Golden Sky, Silvery Ocean",Jynx [1st Edition] #24,$4.99
3439447,"Pokemon Japanese Golden Sky, Silvery Ocean",Larvitar #76,$2.99
3507295,"Pokemon Japanese Golden Sky, Silvery Ocean",Larvitar [1st Edition] #76,$3.17
3439461,"Pokemon Japanese Golden Sky, Silvery Ocean",Lugia ex #90,$225.88
3507296,"Pokemon Japanese Golden Sky, Silvery Ocean",Lugia ex [1st Edition] #90,$193.50
3439387,"Pokemon Japanese Golden Sky, Silvery Ocean",Magcargo #16,$3.68
3507298,"Pokemon Japanese Golden Sky, Silvery Ocean",Magcargo [1st Edition] #16,$3.99
3439406,"Pokemon Japanese Golden Sky, Silvery Ocean",Mareep #35,$3.42
3507297,"Pokemon Japanese Golden Sky, Silvery Ocean",Mareep [1st Edition] #35,$3.24
3439469,"Pokemon Japanese Golden Sky, Silvery Ocean",Mary's Request #98,$2.94
3507299,"Pokemon Japanese Golden Sky, Silvery Ocean",Mary's Request [1st Edition] #98,$3.87
3439375,"Pokemon Japanese Golden Sky, Silvery Ocean",Meganium #4,$10.25
3507300,"Pokemon Japanese Golden Sky, Silvery Ocean",Meganium [1st Edition] #4,$10.50
3439459,"Pokemon Japanese Golden Sky, Silvery Ocean",Miltank #88,$6.68
3507301,"Pokemon Japanese Golden Sky, Silvery Ocean",Miltank [1st Edition] #88,$5.03
3439463,"Pokemon Japanese Golden Sky, Silvery Ocean",Murkrow #92,$3.01
3507302,"Pokemon Japanese Golden Sky, Silvery Ocean",Murkrow [1st Edition] #92,$1.99
3439401,"Pokemon Japanese Golden Sky, Silvery Ocean",Octillery #30,$5.07
3507303,"Pokemon Japanese Golden Sky, Silvery Ocean",Octillery [1st Edition] #30,$7.71
3439372,"Pokemon Japanese Golden Sky, Silvery Ocean",Oddish #1,$2.74
3507304,"Pokemon Japanese Golden Sky, Silvery Ocean",Oddish [1st Edition] #1,$2.98
3439440,"Pokemon Japanese Golden Sky, Silvery Ocean",Onix #69,$2.93
3507305,"Pokemon Japanese Golden Sky, Silvery Ocean",Onix [1st Edition] #69,$3.09
3439382,"Pokemon Japanese Golden Sky, Silvery Ocean",Pineco #11,$2.69
3507306,"Pokemon Japanese Golden Sky, Silvery Ocean",Pineco [1st Edition] #11,$0.50
3439398,"Pokemon Japanese Golden Sky, Silvery Ocean",Politoed ex #27,$59.80
3507307,"Pokemon Japanese Golden Sky, Silvery Ocean",Politoed ex [1st Edition] #27,$66.51
3439392,"Pokemon Japanese Golden Sky, Silvery Ocean",Poliwag #21,$2.57
3507308,"Pokemon Japanese Golden Sky, Silvery Ocean",Poliwag [1st Edition] #21,$3.74
3439393,"Pokemon Japanese Golden Sky, Silvery Ocean",Poliwhirl #22,$2.48
3507309,"Pokemon Japanese Golden Sky, Silvery Ocean",Poliwhirl [1st Edition] #22,$3.27
3439439,"Pokemon Japanese Golden Sky, Silvery Ocean",Poliwrath #68,$5.50
3507310,"Pokemon Japanese Golden Sky, Silvery Ocean",Poliwrath [1st Edition] #68,$25.00
3439451,"Pokemon Japanese Golden Sky, Silvery Ocean",Porygon #80,$2.99
3507311,"Pokemon Japanese Golden Sky, Silvery Ocean",Porygon [1st Edition] #80,$3.88
3439456,"Pokemon Japanese Golden Sky, Silvery Ocean",Porygon2 #85,$9.92
3507312,"Pokemon Japanese Golden Sky, Silvery Ocean",Porygon2 [1st Edition] #85,$7.11
3439468,"Pokemon Japanese Golden Sky, Silvery Ocean",Professor Elm's Training Method #97,$2.49
3507313,"Pokemon Japanese Golden Sky, Silvery Ocean",Professor Elm's Training Method [1st Edition] #97,$3.99
3439475,"Pokemon Japanese Golden Sky, Silvery Ocean",Protective Orb #104,$3.33
3507314,"Pokemon Japanese Golden Sky, Silvery Ocean",Protective Orb [1st Edition] #104,
3439448,"Pokemon Japanese Golden Sky, Silvery Ocean",Pupitar #77,$3.99
3507315,"Pokemon Japanese Golden Sky, Silvery Ocean",Pupitar [1st Edition] #77,$1.99
11692760,"Pokemon Japanese Golden Sky, Silvery Ocean",Raikou [Gold Star 1st Edition] #39,$951.10
4642821,"Pokemon Japanese Golden Sky, Silvery Ocean",Raikou [Gold Star] #39,$500.00
