id,console-name,product-name,loose-price
8830637,Pokemon Japanese Heat Wave Arena,Applin #9,$1.44
8867736,Pokemon Japanese Heat Wave Arena,Arven's Greedent #55,$1.49
8867748,Pokemon Japanese Heat Wave Arena,Arven's Greedent #75,$2.49
8867734,Pokemon Japanese Heat Wave Arena,Arven's Mabosstiff ex #52,$1.57
8867752,Pokemon Japanese Heat Wave Arena,Arven's Mabosstiff ex #81,$3.00
8867757,Pokemon Japanese Heat Wave Arena,Arven's Mabosstiff ex #88,$18.41
8867733,Pokemon Japanese Heat Wave Arena,Arven's Maschiff #51,$1.24
8867738,Pokemon Japanese Heat Wave Arena,Arven's Sandwich #57,$1.52
8867737,Pokemon Japanese Heat Wave Arena,Arven's Skwovet #54,$1.42
8867731,Pokemon Japanese Heat Wave Arena,Arven's Toedscool #47,$1.49
8867735,Pokemon Japanese Heat Wave Arena,Arven's Toedscruel #48,$1.00
8830723,Pokemon Japanese Heat Wave Arena,Booster Box,$110.51
8830722,Pokemon Japanese Heat Wave Arena,Booster Pack,$7.00
8830658,Pokemon Japanese Heat Wave Arena,Buizel #30,$1.40
8830677,Pokemon Japanese Heat Wave Arena,Cornerstone Mask Ogerpon #49,$1.38
8830695,Pokemon Japanese Heat Wave Arena,Crustle #67,$2.27
8830636,Pokemon Japanese Heat Wave Arena,Crustle #8,$1.47
8867724,Pokemon Japanese Heat Wave Arena,Cynthia's Feebas #28,$0.99
8867729,Pokemon Japanese Heat Wave Arena,Cynthia's Gabite #43,$1.30
8867730,Pokemon Japanese Heat Wave Arena,Cynthia's Garchomp ex #44,$1.67
8867751,Pokemon Japanese Heat Wave Arena,Cynthia's Garchomp ex #80,$6.99
8867756,Pokemon Japanese Heat Wave Arena,Cynthia's Garchomp ex #87,$167.14
8867759,Pokemon Japanese Heat Wave Arena,Cynthia's Garchomp ex #91,$27.41
8867728,Pokemon Japanese Heat Wave Arena,Cynthia's Gible #42,$1.27
8867725,Pokemon Japanese Heat Wave Arena,Cynthia's Milotic #29,$1.45
8867740,Pokemon Japanese Heat Wave Arena,Cynthia's Power Weights #60,$0.50
