id,console-name,product-name,loose-price
3439670,Pokemon Japanese Holon Phantom,Aerodactyl #9,$16.95
8710251,Pokemon Japanese Holon Phantom,Aerodactyl [1st Edition] #9,$17.11
3439706,Pokemon Japanese Holon Phantom,Anorith #45,$1.99
10801901,Pokemon Japanese Holon Phantom,Anorith [1st Edition] #45,$3.00
3439694,Pokemon Japanese Holon Phantom,Armaldo #33,$13.28
10801904,Pokemon Japanese Holon Phantom,Armaldo [1st Edition] #33,$12.38
3439674,Pokemon Japanese Holon Phantom,Bellossom #13,$3.85
10801908,Pokemon Japanese Holon Phantom,Bellossom [1st Edition] #13,$3.49
3439692,Pokemon Japanese Holon Phantom,Carvanha #31,$1.15
10801911,Pokemon Japanese Holon Phantom,Carvanha [1st Edition] #31,$3.01
3439707,Pokemon Japanese Holon Phantom,Chimecho #46,$3.56
10801915,Pokemon Japanese Holon Phantom,Chimecho [1st Edition] #46,$3.00
3439701,Pokemon Japanese Holon Phantom,Cradily #40,$9.75
8469643,Pokemon Japanese Holon Phantom,Cradily [1st Edition] #40,$15.07
3439683,Pokemon Japanese Holon Phantom,Deoxys #22,$40.33
3439696,Pokemon Japanese Holon Phantom,Deoxys #35,$34.95
3439698,Pokemon Japanese Holon Phantom,Deoxys #37,$58.50
3439708,Pokemon Japanese Holon Phantom,Deoxys #47,$30.62
10801921,Pokemon Japanese Holon Phantom,Deoxys [1st Edition] #22,$48.00
10801923,Pokemon Japanese Holon Phantom,Deoxys [1st Edition] #35,$60.93
8470112,Pokemon Japanese Holon Phantom,Deoxys [1st Edition] #37,$38.66
10801933,Pokemon Japanese Holon Phantom,Deoxys [1st Edition] #47,$15.14
3439690,Pokemon Japanese Holon Phantom,Exeggcute #29,$1.57
10801939,Pokemon Japanese Holon Phantom,Exeggcute [1st Edition] #29,$1.98
3439691,Pokemon Japanese Holon Phantom,Exeggutor #30,$3.56
10801949,Pokemon Japanese Holon Phantom,Exeggutor [1st Edition] #30,$1.99
3439664,Pokemon Japanese Holon Phantom,Flygon #3,$23.47
10803280,Pokemon Japanese Holon Phantom,Flygon [1st Edition] #3,$29.63
3439686,Pokemon Japanese Holon Phantom,Gloom #25,$3.98
10801952,Pokemon Japanese Holon Phantom,Gloom [1st Edition] #25,$2.08
3439680,Pokemon Japanese Holon Phantom,Golduck #19,$5.44
10801956,Pokemon Japanese Holon Phantom,Golduck [1st Edition] #19,$2.50
3439685,Pokemon Japanese Holon Phantom,Gyarados #24,$92.70
10801962,Pokemon Japanese Holon Phantom,Gyarados [1st Edition] #24,$90.00
10608180,Pokemon Japanese Holon Phantom,Gyarados [Gold Star 1st Edition] #8,$1624.98
4637560,Pokemon Japanese Holon Phantom,Gyarados [Gold Star] #8,$1104.59
3439711,Pokemon Japanese Holon Phantom,Holon Adventurer #50,$2.49
10801964,Pokemon Japanese Holon Phantom,Holon Adventurer [1st Edition] #50,
3439710,Pokemon Japanese Holon Phantom,Holon Fossil #49,$2.37
10801967,Pokemon Japanese Holon Phantom,Holon Fossil [1st Edition] #49,$2.44
3439712,Pokemon Japanese Holon Phantom,Holon Lake #51,$1.60
10801970,Pokemon Japanese Holon Phantom,Holon Lake [1st Edition] #51,$3.34
3439695,Pokemon Japanese Holon Phantom,Holon's Castform #34,$2.98
10801973,Pokemon Japanese Holon Phantom,Holon's Castform [1st Edition] #34,$4.38
3439667,Pokemon Japanese Holon Phantom,Horsea #6,$2.24
10801980,Pokemon Japanese Holon Phantom,Horsea [1st Edition] #6,$1.83
3439681,Pokemon Japanese Holon Phantom,Kabuto #20,$3.77
10801985,Pokemon Japanese Holon Phantom,Kabuto [1st Edition] #20,$4.26
3439682,Pokemon Japanese Holon Phantom,Kabutops #21,$39.50
10801987,Pokemon Japanese Holon Phantom,Kabutops [1st Edition] #21,$39.99
3439672,Pokemon Japanese Holon Phantom,Kingdra #11,$37.00
10801991,Pokemon Japanese Holon Phantom,Kingdra [1st Edition] #11,$38.50
3439671,Pokemon Japanese Holon Phantom,Latias #10,$69.00
8924024,Pokemon Japanese Holon Phantom,Latias [1st Edition] #10,$39.38
3439675,Pokemon Japanese Holon Phantom,Latios #14,$33.00
10801998,Pokemon Japanese Holon Phantom,Latios [1st Edition] #14,$39.12
3439697,Pokemon Japanese Holon Phantom,Lileep #36,$1.95
10802001,Pokemon Japanese Holon Phantom,Lileep [1st Edition] #36,$1.99
3439704,Pokemon Japanese Holon Phantom,Magikarp #43,$8.55
10802006,Pokemon Japanese Holon Phantom,Magikarp [1st Edition] #43,$8.84
3439665,Pokemon Japanese Holon Phantom,Mankey #4,$2.22
10802007,Pokemon Japanese Holon Phantom,Mankey [1st Edition] #4,$3.31
3439699,Pokemon Japanese Holon Phantom,Meowth #38,$11.12
10802012,Pokemon Japanese Holon Phantom,Meowth [1st Edition] #38,$4.60
3439673,Pokemon Japanese Holon Phantom,Oddish #12,$3.99
10802013,Pokemon Japanese Holon Phantom,Oddish [1st Edition] #12,$6.45
3439687,Pokemon Japanese Holon Phantom,Omanyte #26,$2.96
10802018,Pokemon Japanese Holon Phantom,Omanyte [1st Edition] #26,$2.98
3439688,Pokemon Japanese Holon Phantom,Omastar #27,$14.39
9778245,Pokemon Japanese Holon Phantom,Omastar [1st Edition] #27,$15.43
3439700,Pokemon Japanese Holon Phantom,Persian #39,$6.64
10802022,Pokemon Japanese Holon Phantom,Persian [1st Edition] #39,$5.39
3439705,Pokemon Japanese Holon Phantom,Pichu #44,$4.98
10802023,Pokemon Japanese Holon Phantom,Pichu [1st Edition] #44,$6.70
3439684,Pokemon Japanese Holon Phantom,Pidgeot #23,$19.83
10802024,Pokemon Japanese Holon Phantom,Pidgeot [1st Edition] #23,$17.23
3439678,Pokemon Japanese Holon Phantom,Pidgeotto #17,$3.99
10802025,Pokemon Japanese Holon Phantom,Pidgeotto [1st Edition] #17,$2.00
3439677,Pokemon Japanese Holon Phantom,Pidgey #16,$2.72
10802027,Pokemon Japanese Holon Phantom,Pidgey [1st Edition] #16,$1.99
3439702,Pokemon Japanese Holon Phantom,Pikachu #41,$15.44
10802028,Pokemon Japanese Holon Phantom,Pikachu [1st Edition] #41,$39.03
4642815,Pokemon Japanese Holon Phantom,Pikachu [Gold Star] #104,$217.50
3439666,Pokemon Japanese Holon Phantom,Primeape #5,$4.58
10802029,Pokemon Japanese Holon Phantom,Primeape [1st Edition] #5,$7.35
3439679,Pokemon Japanese Holon Phantom,Psyduck #18,$19.99
9047108,Pokemon Japanese Holon Phantom,Psyduck [1st Edition] #18,$15.05
3439703,Pokemon Japanese Holon Phantom,Raichu #42,$24.98
10802030,Pokemon Japanese Holon Phantom,Raichu [1st Edition] #42,$50.84
3439713,Pokemon Japanese Holon Phantom,Rainbow Energy #52,$2.29
10802032,Pokemon Japanese Holon Phantom,Rainbow Energy [1st Edition] #52,$1.99
3439709,Pokemon Japanese Holon Phantom,Rare Candy #48,$2.68
10802033,Pokemon Japanese Holon Phantom,Rare Candy [1st Edition] #48,$2.67
3439676,Pokemon Japanese Holon Phantom,Rayquaza #15,$121.16
10561183,Pokemon Japanese Holon Phantom,Rayquaza [1st Edition] #15,$190.69
3439668,Pokemon Japanese Holon Phantom,Seadra #7,$2.50
10802034,Pokemon Japanese Holon Phantom,Seadra [1st Edition] #7,$2.39
3439693,Pokemon Japanese Holon Phantom,Sharpedo #32,$3.74
10802036,Pokemon Japanese Holon Phantom,Sharpedo [1st Edition] #32,$2.68
3439662,Pokemon Japanese Holon Phantom,Trapinch #1,$1.60
10802037,Pokemon Japanese Holon Phantom,Trapinch [1st Edition] #1,$4.00
3439663,Pokemon Japanese Holon Phantom,Vibrava #2,$1.14
10802038,Pokemon Japanese Holon Phantom,Vibrava [1st Edition] #2,$1.99
3439689,Pokemon Japanese Holon Phantom,Vileplume #28,$15.00
8796343,Pokemon Japanese Holon Phantom,Vileplume [1st Edition] #28,$17.49
