id,console-name,product-name,loose-price
11424179,Pokemon Japanese Holon Research,Azumarill #6,$4.16
3439552,Pokemon Japanese Holon Research,Azurill #66,$4.89
3507368,Pokemon Japanese Holon Research,Azurill [1st Edition] #66,$4.07
3439502,Pokemon Japanese Holon Research,Bagon #16,$1.35
3507369,Pokemon Japanese Holon Research,Bagon [1st Edition] #16,$2.99
3439496,Pokemon Japanese Holon Research,Beedrill #10,$23.47
3507370,Pokemon Japanese Holon Research,Beedrill [1st Edition] #10,$24.99
3439522,Pokemon Japanese Holon Research,Beldum #36,$3.06
3507371,Pokemon Japanese Holon Research,Beldum [1st Edition] #36,$4.99
3439553,Pokemon Japanese Holon Research,Castform #67,$4.00
3507372,Pokemon Japanese Holon Research,Castform [1st Edition] #67,$2.99
3439497,Pokemon Japanese Holon Research,Crobat #11,$19.99
3507373,Pokemon Japanese Holon Research,Crobat [1st Edition] #11,$17.77
3439538,Pokemon Japanese Holon Research,Cubone #52,$18.24
3507374,Pokemon Japanese Holon Research,Cubone [1st Edition] #52,$8.75
3439498,Pokemon Japanese Holon Research,Ditto #12,$70.00
8740860,Pokemon Japanese Holon Research,Ditto #2,$42.64
3439510,Pokemon Japanese Holon Research,Ditto #24,$74.40
8740865,Pokemon Japanese Holon Research,Ditto #3,$61.32
3439519,Pokemon Japanese Holon Research,Ditto #33,$71.69
3439532,Pokemon Japanese Holon Research,Ditto #46,$57.57
3439539,Pokemon Japanese Holon Research,Ditto #53,$50.00
3439547,Pokemon Japanese Holon Research,Ditto #61,$32.75
3439493,Pokemon Japanese Holon Research,Ditto #7,$60.00
3507375,Pokemon Japanese Holon Research,Ditto [1st Edition] #12,$49.95
8740859,Pokemon Japanese Holon Research,Ditto [1st Edition] #2,$28.56
3507376,Pokemon Japanese Holon Research,Ditto [1st Edition] #24,$42.00
8740862,Pokemon Japanese Holon Research,Ditto [1st Edition] #3,$55.00
3507377,Pokemon Japanese Holon Research,Ditto [1st Edition] #33,$99.27
3507378,Pokemon Japanese Holon Research,Ditto [1st Edition] #46,$79.40
3507379,Pokemon Japanese Holon Research,Ditto [1st Edition] #53,$50.00
3507380,Pokemon Japanese Holon Research,Ditto [1st Edition] #61,$29.99
3507381,Pokemon Japanese Holon Research,Ditto [1st Edition] #7,$64.66
8740867,Pokemon Japanese Holon Research,Ditto [Charmander 1st Edition] #3,$32.91
8740868,Pokemon Japanese Holon Research,Ditto [Charmander] #3,$41.30
3439521,Pokemon Japanese Holon Research,Dragonair #35,$4.55
3507382,Pokemon Japanese Holon Research,Dragonair [1st Edition] #35,$3.49
3439525,Pokemon Japanese Holon Research,Dragonite #39,$78.16
3507383,Pokemon Japanese Holon Research,Dragonite [1st Edition] #39,$92.53
3439520,Pokemon Japanese Holon Research,Dratini #34,$3.11
3507384,Pokemon Japanese Holon Research,Dratini [1st Edition] #34,$2.87
3439530,Pokemon Japanese Holon Research,Drowzee #44,$6.11
3507385,Pokemon Japanese Holon Research,Drowzee [1st Edition] #44,$4.39
3439559,Pokemon Japanese Holon Research,Eevee #73,$10.80
