id,console-name,product-name,loose-price
4050312,Pokemon Japanese Incandescent Arcana,Alolan Vulpix V #22,$1.99
4127558,Pokemon Japanese Incandescent Arcana,Alolan Vulpix V #77,$6.99
4050313,Pokemon Japanese Incandescent Arcana,Alolan Vulpix VSTAR #23,$2.67
4127566,Pokemon Japanese Incandescent Arcana,Alolan Vulpix VSTAR #87,$12.45
4050347,Pokemon Japanese Incandescent Arcana,Altaria #57,$2.21
4127556,Pokemon Japanese Incandescent Arcana,Altaria #74,$9.98
7985869,Pokemon Japanese Incandescent Arcana,Altaria [Reverse Holo] #57,$1.80
7985885,Pokemon Japanese Incandescent Arcana,Altaria [Reverse Holo] #74,
4050303,Pokemon Japanese Incandescent Arcana,Arcanine #13,$2.22
7985836,Pokemon Japanese Incandescent Arcana,Arcanine [Reverse Holo] #13,$3.99
4050314,Pokemon Japanese Incandescent Arcana,Articuno #24,$1.89
7985843,Pokemon Japanese Incandescent Arcana,Articuno [Reverse Holo] #24,
4050340,Pokemon Japanese Incandescent Arcana,Bisharp #50,$1.02
7985864,Pokemon Japanese Incandescent Arcana,Bisharp [Reverse Holo] #50,$2.13
4127552,Pokemon Japanese Incandescent Arcana,Booster Box,$85.01
4127551,Pokemon Japanese Incandescent Arcana,Booster Pack,$8.00
4050307,Pokemon Japanese Incandescent Arcana,Braixen #17,$1.98
4050358,Pokemon Japanese Incandescent Arcana,Braixen #69,$6.83
7985839,Pokemon Japanese Incandescent Arcana,Braixen [Reverse Holo] #17,$1.53
7985880,Pokemon Japanese Incandescent Arcana,Braixen [Reverse Holo] #69,
4050301,Pokemon Japanese Incandescent Arcana,Calyrex #11,$1.99
7985834,Pokemon Japanese Incandescent Arcana,Calyrex [Reverse Holo] #11,
4050351,Pokemon Japanese Incandescent Arcana,Capture Aroma #60,$1.61
7985872,Pokemon Japanese Incandescent Arcana,Capture Aroma [Reverse Holo] #60,$0.50
4050294,Pokemon Japanese Incandescent Arcana,Carnivine #4,$1.68
7985830,Pokemon Japanese Incandescent Arcana,Carnivine [Reverse Holo] #4,$1.56
4050348,Pokemon Japanese Incandescent Arcana,Chatot #58,$1.62
7985870,Pokemon Japanese Incandescent Arcana,Chatot [Reverse Holo] #58,$2.15
4050308,Pokemon Japanese Incandescent Arcana,Delphox #18,$1.60
7985840,Pokemon Japanese Incandescent Arcana,Delphox [Reverse Holo] #18,$2.08
4050359,Pokemon Japanese Incandescent Arcana,Double Turbo Energy #67,$1.49
7985878,Pokemon Japanese Incandescent Arcana,Double Turbo Energy [Reverse Holo] #67,$1.79
4130297,Pokemon Japanese Incandescent Arcana,Emergency Jelly #62,$1.79
7985874,Pokemon Japanese Incandescent Arcana,Emergency Jelly [Reverse Holo] #62,$0.60
4127572,Pokemon Japanese Incandescent Arcana,Energy Switch #93,$10.73
4050304,Pokemon Japanese Incandescent Arcana,Entei #14,$1.99
7985837,Pokemon Japanese Incandescent Arcana,Entei [Reverse Holo] #14,
4050331,Pokemon Japanese Incandescent Arcana,Espurr #41,$1.98
7985857,Pokemon Japanese Incandescent Arcana,Espurr [Reverse Holo] #41,$1.99
4050322,Pokemon Japanese Incandescent Arcana,Exeggcute #32,$1.67
7985850,Pokemon Japanese Incandescent Arcana,Exeggcute [Reverse Holo] #32,$1.60
4050323,Pokemon Japanese Incandescent Arcana,Exeggutor #33,$1.85
7985851,Pokemon Japanese Incandescent Arcana,Exeggutor [Reverse Holo] #33,$2.45
4050317,Pokemon Japanese Incandescent Arcana,Feebas #27,$1.99
7985846,Pokemon Japanese Incandescent Arcana,Feebas [Reverse Holo] #27,$1.53
4050306,Pokemon Japanese Incandescent Arcana,Fennekin #16,$1.58
7985838,Pokemon Japanese Incandescent Arcana,Fennekin [Reverse Holo] #16,$1.77
4050356,Pokemon Japanese Incandescent Arcana,Furisode Girl #65,$2.01
4127263,Pokemon Japanese Incandescent Arcana,Furisode Girl #82,$17.27
4127569,Pokemon Japanese Incandescent Arcana,Furisode Girl #90,$10.13
7985877,Pokemon Japanese Incandescent Arcana,Furisode Girl [Reverse Holo] #65,$1.75
4050328,Pokemon Japanese Incandescent Arcana,Gardevoir #38,$2.49
4127555,Pokemon Japanese Incandescent Arcana,Gardevoir #72,$6.99
7985856,Pokemon Japanese Incandescent Arcana,Gardevoir [Reverse Holo] #38,$2.16
7985883,Pokemon Japanese Incandescent Arcana,Gardevoir [Reverse Holo] #72,
4050302,Pokemon Japanese Incandescent Arcana,Growlithe #12,$1.95
7985835,Pokemon Japanese Incandescent Arcana,Growlithe [Reverse Holo] #12,$2.46
4050298,Pokemon Japanese Incandescent Arcana,Hisuian Lilligant #8,$1.50
7985832,Pokemon Japanese Incandescent Arcana,Hisuian Lilligant [Reverse Holo] #8,$1.55
4050345,Pokemon Japanese Incandescent Arcana,Ho-Oh V #55,$4.12
4127561,Pokemon Japanese Incandescent Arcana,Ho-Oh V #80,$7.49
4050353,Pokemon Japanese Incandescent Arcana,Judge #63,$0.99
7985875,Pokemon Japanese Incandescent Arcana,Judge [Reverse Holo] #63,$2.13
4050324,Pokemon Japanese Incandescent Arcana,Jynx #34,$2.11
4127554,Pokemon Japanese Incandescent Arcana,Jynx #71,$3.50
7985852,Pokemon Japanese Incandescent Arcana,Jynx [Reverse Holo] #34,$2.55
7985882,Pokemon Japanese Incandescent Arcana,Jynx [Reverse Holo] #71,
4050327,Pokemon Japanese Incandescent Arcana,Kirlia #37,$1.70
7985855,Pokemon Japanese Incandescent Arcana,Kirlia [Reverse Holo] #37,$2.01
4050337,Pokemon Japanese Incandescent Arcana,Klang #47,$1.00
7985861,Pokemon Japanese Incandescent Arcana,Klang [Reverse Holo] #47,$1.77
4130295,Pokemon Japanese Incandescent Arcana,Klink #46,$1.21
7985860,Pokemon Japanese Incandescent Arcana,Klink [Reverse Holo] #46,$1.88
