id,console-name,product-name,loose-price
10602352,Pokemon Japanese Inferno X,Aipom #66,$1.49
10602353,Pokemon Japanese Inferno X,Ambipom #67,$1.38
10602361,Pokemon Japanese Inferno X,Ambipom #92,$2.93
10656756,Pokemon Japanese Inferno X,Archaludon #63,$1.26
10665694,Pokemon Japanese Inferno X,Battle Colosseum #108,$1.78
10665669,Pokemon Japanese Inferno X,Battle Colosseum #79,$1.50
10665651,Pokemon Japanese Inferno X,Boltund #31,$1.39
10602321,Pokemon Japanese Inferno X,Booster Box,$102.15
10602320,Pokemon Japanese Inferno X,Booster Pack,$5.96
10602340,Pokemon Japanese Inferno X,Brambleghast #41,$1.50
10602339,Pokemon Japanese Inferno X,Bramblin #40,$1.23
10602351,Pokemon Japanese Inferno X,Bronzong #60,$1.64
10602350,Pokemon Japanese Inferno X,Bronzor #59,$1.20
10665668,Pokemon Japanese Inferno X,Buneary #71,$1.49
10602346,Pokemon Japanese Inferno X,Carvanha #50,$1.25
10645612,Pokemon Japanese Inferno X,Ceruledge #20,$1.58
10645611,Pokemon Japanese Inferno X,Charcadet #19,$1.29
10665673,Pokemon Japanese Inferno X,Charcadet #83,$2.57
10602326,Pokemon Japanese Inferno X,Charmander #11,$1.60
10602327,Pokemon Japanese Inferno X,Charmeleon #12,$1.59
10602336,Pokemon Japanese Inferno X,Cottonee #37,$1.10
10602331,Pokemon Japanese Inferno X,Darmanitan #16,$1.25
10602330,Pokemon Japanese Inferno X,Darumaka #15,$1.00
10665692,Pokemon Japanese Inferno X,Dawn #106,$10.04
10665700,Pokemon Japanese Inferno X,Dawn #115,$23.14
10656751,Pokemon Japanese Inferno X,Dawn #77,$1.41
10665647,Pokemon Japanese Inferno X,Dewgong #22,$1.50
10665674,Pokemon Japanese Inferno X,Dewgong #84,$3.09
10602359,Pokemon Japanese Inferno X,Dizzying Valley #80,$0.38
10656755,Pokemon Japanese Inferno X,Duraludon #62,$1.67
10645613,Pokemon Japanese Inferno X,Empoleon Ex #58,$1.45
10665685,Pokemon Japanese Inferno X,Empoleon Ex #99,$3.22
10665693,Pokemon Japanese Inferno X,Firebreather #107,$3.00
10602358,Pokemon Japanese Inferno X,Firebreather #78,$1.75
10602343,Pokemon Japanese Inferno X,Flygon #47,$1.49
10665676,Pokemon Japanese Inferno X,Flygon #88,$3.26
10645608,Pokemon Japanese Inferno X,Genesect #8,$1.34
10665656,Pokemon Japanese Inferno X,Gligar #43,$1.20
10665658,Pokemon Japanese Inferno X,Gliscor #44,$1.34
10645606,Pokemon Japanese Inferno X,Gloom #2,$0.99
10665691,Pokemon Japanese Inferno X,Grimsley's One Move #105,$3.51
10602357,Pokemon Japanese Inferno X,Grimsley's One Move #76,$1.25
10665687,Pokemon Japanese Inferno X,Heat Burner #101,$1.29
10602355,Pokemon Japanese Inferno X,Heat Burner #74,$1.99
10665695,Pokemon Japanese Inferno X,Ignition Energy #109,$1.79
10656752,Pokemon Japanese Inferno X,Jigglypuff #64,$1.61
10602354,Pokemon Japanese Inferno X,Jumbo Ice Cream #73,$1.50
10665660,Pokemon Japanese Inferno X,Krokorok #54,$1.14
10665661,Pokemon Japanese Inferno X,Krookodile #55,$64.50
10665667,Pokemon Japanese Inferno X,Linoone #70,$1.20
10645610,Pokemon Japanese Inferno X,Lokix #10,$1.45
10602324,Pokemon Japanese Inferno X,Lombre #6,$1.07
10602323,Pokemon Japanese Inferno X,Lotad #5,$1.18
10602325,Pokemon Japanese Inferno X,Ludicolo #7,$0.99
10665671,Pokemon Japanese Inferno X,Ludicolo #81,$2.89
10665650,Pokemon Japanese Inferno X,Mamoswine #25,$1.35
10645617,Pokemon Japanese Inferno X,Mega Charizard X Ex #110,$630.00
10645614,Pokemon Japanese Inferno X,Mega Charizard X Ex #116,$765.81
10656757,Pokemon Japanese Inferno X,Mega Charizard X Ex #94,$34.08
10602328,Pokemon Japanese Inferno X,Mega Charizard X ex #13,$4.33
10665680,Pokemon Japanese Inferno X,Mega Heracross Ex #93,$3.07
10602322,Pokemon Japanese Inferno X,Mega Heracross ex #4,$1.79
10665686,Pokemon Japanese Inferno X,Mega Lopunny Ex #100,$3.35
10665699,Pokemon Japanese Inferno X,Mega Lopunny Ex #114,$11.99
10610911,Pokemon Japanese Inferno X,Mega Lopunny Ex #72,$1.41
10665698,Pokemon Japanese Inferno X,Mega Sharpedo Ex #113,$13.07
10665684,Pokemon Japanese Inferno X,Mega Sharpedo Ex #98,$2.89
10602347,Pokemon Japanese Inferno X,Mega Sharpedo ex #51,$1.48
10602334,Pokemon Japanese Inferno X,Misdreavus #35,$1.50
10665683,Pokemon Japanese Inferno X,Mismagius Ex #97,$3.40
10602335,Pokemon Japanese Inferno X,Mismagius ex #36,$1.23
10602329,Pokemon Japanese Inferno X,Moltres #14,$1.66
10665672,Pokemon Japanese Inferno X,Nymble #82,$2.09
10645609,Pokemon Japanese Inferno X,Nymble #9,$1.55
10645605,Pokemon Japanese Inferno X,Oddish #1,$1.14
10665696,Pokemon Japanese Inferno X,Oricorio Ex #111,$34.92
10665681,Pokemon Japanese Inferno X,Oricorio Ex #95,$2.69
10602332,Pokemon Japanese Inferno X,Oricorio ex #18,$1.41
10665655,Pokemon Japanese Inferno X,Paldean Tauros #42,$1.27
10665652,Pokemon Japanese Inferno X,Pawmi #32,$1.29
10665653,Pokemon Japanese Inferno X,Pawmo #33,$1.32
10665654,Pokemon Japanese Inferno X,Pawmot #34,$1.45
10665649,Pokemon Japanese Inferno X,Piloswine #24,$1.59
10646349,Pokemon Japanese Inferno X,Piplup #27,$1.25
10645618,Pokemon Japanese Inferno X,Piplup #85,$7.55
10646348,Pokemon Japanese Inferno X,Prinplup #28,$1.31
10665690,Pokemon Japanese Inferno X,Punk Helmet #104,$1.71
10610912,Pokemon Japanese Inferno X,Reshiram #17,$1.70
10665697,Pokemon Japanese Inferno X,Rotom Ex #112,$10.02
10665682,Pokemon Japanese Inferno X,Rotom Ex #96,$2.88
10602333,Pokemon Japanese Inferno X,Rotom ex #29,$1.36
10665689,Pokemon Japanese Inferno X,Sacred Charm #103,$1.92
10602356,Pokemon Japanese Inferno X,Sacred Charm #75,$2.00
10665659,Pokemon Japanese Inferno X,Sandile #53,$1.39
10665646,Pokemon Japanese Inferno X,Seel #21,$1.73
10656754,Pokemon Japanese Inferno X,Seviper #52,$1.20
