id,console-name,product-name,loose-price
3459425,Pokemon Japanese Intense Fight in the Destroyed Sky,Abomasnow #22,$2.34
10802039,Pokemon Japanese Intense Fight in the Destroyed Sky,Abomasnow [1st Edition] #22,$3.99
3459475,Pokemon Japanese Intense Fight in the Destroyed Sky,Bagon #72,$2.99
10802040,Pokemon Japanese Intense Fight in the Destroyed Sky,Bagon [1st Edition] #72,$3.00
3459421,Pokemon Japanese Intense Fight in the Destroyed Sky,Bibarel #18,$1.69
10802041,Pokemon Japanese Intense Fight in the Destroyed Sky,Bibarel [1st Edition] #18,$2.50
3459481,Pokemon Japanese Intense Fight in the Destroyed Sky,Bidoof #78,$2.99
10802042,Pokemon Japanese Intense Fight in the Destroyed Sky,Bidoof [1st Edition] #78,$2.49
13118476,Pokemon Japanese Intense Fight in the Destroyed Sky,Booster Box,$76.00
13118475,Pokemon Japanese Intense Fight in the Destroyed Sky,Booster Pack,$850.00
3459450,Pokemon Japanese Intense Fight in the Destroyed Sky,Bronzong #47,$1.88
10802043,Pokemon Japanese Intense Fight in the Destroyed Sky,Bronzong [1st Edition] #47,$2.74
3459449,Pokemon Japanese Intense Fight in the Destroyed Sky,Bronzor #46,$2.58
10802044,Pokemon Japanese Intense Fight in the Destroyed Sky,Bronzor [1st Edition] #46,$1.79
3459438,Pokemon Japanese Intense Fight in the Destroyed Sky,Budew #35,$4.93
10802045,Pokemon Japanese Intense Fight in the Destroyed Sky,Budew [1st Edition] #35,$5.79
3459495,Pokemon Japanese Intense Fight in the Destroyed Sky,Charizard #92,$149.24
9627577,Pokemon Japanese Intense Fight in the Destroyed Sky,Charizard [1st Edition] #92,$148.85
3459493,Pokemon Japanese Intense Fight in the Destroyed Sky,Charmander #90,$26.82
10802046,Pokemon Japanese Intense Fight in the Destroyed Sky,Charmander [1st Edition] #90,$28.73
3459494,Pokemon Japanese Intense Fight in the Destroyed Sky,Charmeleon #91,$19.99
10802047,Pokemon Japanese Intense Fight in the Destroyed Sky,Charmeleon [1st Edition] #91,$20.24
3459412,Pokemon Japanese Intense Fight in the Destroyed Sky,Cherrim #9,$1.98
10802048,Pokemon Japanese Intense Fight in the Destroyed Sky,Cherrim [1st Edition] #9,$3.34
