id,console-name,product-name,loose-price
3453382,Pokemon Japanese Jungle,Bellsprout #69,$2.27
5836796,Pokemon Japanese Jungle,Booster Box,$126.44
8800662,Pokemon Japanese Jungle,Booster Pack,$706.76
13138129,Pokemon Japanese Jungle,Booster Pack [Short],
3453384,Pokemon Japanese Jungle,Butterfree #12,$3.81
3453421,Pokemon Japanese Jungle,Clefable #36,$10.20
3453406,Pokemon Japanese Jungle,Cubone #104,$2.98
3453417,Pokemon Japanese Jungle,Dodrio #85,$2.80
3453414,Pokemon Japanese Jungle,Eevee #133,$3.97
3453402,Pokemon Japanese Jungle,Electrode #101,$13.25
3453383,Pokemon Japanese Jungle,Exeggcute #102,$1.99
3453389,Pokemon Japanese Jungle,Exeggutor #103,$2.99
3453415,Pokemon Japanese Jungle,Fearow #22,$2.62
3453397,Pokemon Japanese Jungle,Flareon #136,$31.14
3453386,Pokemon Japanese Jungle,Gloom #44,$3.23
3453398,Pokemon Japanese Jungle,Goldeen #118,$2.00
3453412,Pokemon Japanese Jungle,Jigglypuff #39,$2.49
3453403,Pokemon Japanese Jungle,Jolteon #135,$35.27
3453423,Pokemon Japanese Jungle,Kangaskhan #115,$15.95
3453418,Pokemon Japanese Jungle,Lickitung #108,$2.54
3453405,Pokemon Japanese Jungle,Mankey #56,$2.15
3453409,Pokemon Japanese Jungle,Marowak #105,$2.86
3453413,Pokemon Japanese Jungle,Meowth #52,$2.63
3453404,Pokemon Japanese Jungle,Mr. Mime #122,$13.88
3453390,Pokemon Japanese Jungle,Nidoqueen #31,$13.50
3453378,Pokemon Japanese Jungle,Nidoran? #29,$1.65
3453385,Pokemon Japanese Jungle,Nidorina #30,$2.76
3453380,Pokemon Japanese Jungle,Oddish #43,$2.12
3453379,Pokemon Japanese Jungle,Paras #46,$1.94
3453387,Pokemon Japanese Jungle,Parasect #47,$2.79
3453416,Pokemon Japanese Jungle,Persian #53,$2.98
3453420,Pokemon Japanese Jungle,Pidgeot #18,$15.72
3453401,Pokemon Japanese Jungle,Pikachu #25,$8.50
3453395,Pokemon Japanese Jungle,Pinsir #127,$11.65
4890490,Pokemon Japanese Jungle,Poke Ball,$1.98
3453408,Pokemon Japanese Jungle,Primeape #57,$2.93
3453396,Pokemon Japanese Jungle,Rapidash #78,$2.83
3453410,Pokemon Japanese Jungle,Rhydon #112,$2.96
3453407,Pokemon Japanese Jungle,Rhyhorn #111,$2.33
3453394,Pokemon Japanese Jungle,Scyther #123,$15.54
3453399,Pokemon Japanese Jungle,Seaking #119,$3.35
3453424,Pokemon Japanese Jungle,Snorlax #143,$47.51
3453411,Pokemon Japanese Jungle,Spearow #21,$2.13
3453419,Pokemon Japanese Jungle,Tauros #128,$2.25
3453400,Pokemon Japanese Jungle,Vaporeon #134,$26.57
3453392,Pokemon Japanese Jungle,Venomoth #49,$9.64
3453381,Pokemon Japanese Jungle,Venonat #48,$1.99
3453393,Pokemon Japanese Jungle,Victreebel #71,$12.00
3453391,Pokemon Japanese Jungle,Vileplume #45,$10.25
3453388,Pokemon Japanese Jungle,Weepinbell #70,$2.96
3453422,Pokemon Japanese Jungle,Wigglytuff #40,$11.98
