id,console-name,product-name,loose-price
10806184,Pokemon Japanese Leaders' Stadium,Blaine's Growlithe [CoroCoro Promo] #58,$32.74
8800664,Pokemon Japanese Leaders' Stadium,Booster Pack,$640.50
3453625,Pokemon Japanese Leaders' Stadium,Brock,$4.91
5551470,Pokemon Japanese Leaders' Stadium,Brock #98,$4.41
11802694,Pokemon Japanese Leaders' Stadium,Brock [Nivi City Gym] #18/27,$14.16
3453581,Pokemon Japanese Leaders' Stadium,Brock's Diglett #50,$2.34
3453583,Pokemon Japanese Leaders' Stadium,Brock's Geodude #74,$1.98
6782126,Pokemon Japanese Leaders' Stadium,Brock's Geodude [LV. 15] #74,$3.00
11792340,Pokemon Japanese Leaders' Stadium,Brock's Geodude [Nivi City Gym] #6/27,$1.00
3453549,Pokemon Japanese Leaders' Stadium,Brock's Golbat #42,$2.99
3453589,Pokemon Japanese Leaders' Stadium,Brock's Golem #76,$5.24
11792348,Pokemon Japanese Leaders' Stadium,Brock's Golem [Nivi City Gym] #9/27,$2.49
3453588,Pokemon Japanese Leaders' Stadium,Brock's Graveler #75,$3.07
11792343,Pokemon Japanese Leaders' Stadium,Brock's Graveler [Nivi City Gym] #8/27,$3.00
3453597,Pokemon Japanese Leaders' Stadium,Brock's Lickitung #108,$3.54
3453582,Pokemon Japanese Leaders' Stadium,Brock's Mankey #56,$3.41
11792332,Pokemon Japanese Leaders' Stadium,Brock's Mankey [Nivi City Gym] #5/27,$2.39
3453558,Pokemon Japanese Leaders' Stadium,Brock's Ninetales #38,$19.99
3453584,Pokemon Japanese Leaders' Stadium,Brock's Onix #95,$2.84
8344066,Pokemon Japanese Leaders' Stadium,Brock's Onix [CoroCoro] #95,$22.93
11792350,Pokemon Japanese Leaders' Stadium,Brock's Onix [Nivi City Gym] #10/27,$3.32
3453587,Pokemon Japanese Leaders' Stadium,Brock's Primeape #57,$3.12
3453626,Pokemon Japanese Leaders' Stadium,Brock's Protection,$3.23
3453591,Pokemon Japanese Leaders' Stadium,Brock's Rhydon #112,$15.00
11792354,Pokemon Japanese Leaders' Stadium,Brock's Rhydon [Nivi City Gym] #13/27,$8.97
3453585,Pokemon Japanese Leaders' Stadium,Brock's Rhyhorn #111,$2.85
11792353,Pokemon Japanese Leaders' Stadium,Brock's Rhyhorn [Nivi City Gym] #12/27,$1.99
3453580,Pokemon Japanese Leaders' Stadium,Brock's Sandshrew #27,$2.93
11792328,Pokemon Japanese Leaders' Stadium,Brock's Sandshrew [Nivi City Gym] #3/27,$2.99
3453586,Pokemon Japanese Leaders' Stadium,Brock's Sandslash #28,$2.74
11792330,Pokemon Japanese Leaders' Stadium,Brock's Sandslash [Nivi City Gym] #4/27,$12.00
3453613,Pokemon Japanese Leaders' Stadium,Brock's Training Method,$3.09
11802819,Pokemon Japanese Leaders' Stadium,Brock's Training Method [Nivi City Gym] #19/27,$2.19
3453557,Pokemon Japanese Leaders' Stadium,Brock's Vulpix #37,$2.99
8362281,Pokemon Japanese Leaders' Stadium,Brock's Vulpix [Lv.16] #37,$2.99
8362282,Pokemon Japanese Leaders' Stadium,Brock's Vulpix [Lv.18] #37,$1.99
11792214,Pokemon Japanese Leaders' Stadium,Brock's Vulpix [Nivi City Gym] #2/27,$2.00
3453543,Pokemon Japanese Leaders' Stadium,Brock's Zubat #41,$2.51
11787767,Pokemon Japanese Leaders' Stadium,Brock's Zubat [Nivi City Gym] #1/27,$10.16
3453614,Pokemon Japanese Leaders' Stadium,Celadon City Gym,$2.01
3453616,Pokemon Japanese Leaders' Stadium,Cerulean City Gym,$2.47
3453623,Pokemon Japanese Leaders' Stadium,Chaos Gym,$2.25
3453610,Pokemon Japanese Leaders' Stadium,Charity,$3.30
11804772,Pokemon Japanese Leaders' Stadium,Double Colorless [Nivi City Gym] #27/27,$1.40
3453603,Pokemon Japanese Leaders' Stadium,Energy Flow,$1.78
11802687,Pokemon Japanese Leaders' Stadium,Energy Retrieval [Nivi City Gym] #14/27,$0.50
5551469,Pokemon Japanese Leaders' Stadium,Erika,$5.50
3453619,Pokemon Japanese Leaders' Stadium,Erika #16,$19.25
3453546,Pokemon Japanese Leaders' Stadium,Erika's Bellsprout #69,$1.57
7751646,Pokemon Japanese Leaders' Stadium,Erika's Bellsprout [LV. 12] #69,$3.00
7539508,Pokemon Japanese Leaders' Stadium,Erika's Bellsprout [LV. 13] #69,$3.00
3453548,Pokemon Japanese Leaders' Stadium,Erika's Bulbasaur #1,$8.35
3453601,Pokemon Japanese Leaders' Stadium,Erika's Clefable #36,$14.66
3453596,Pokemon Japanese Leaders' Stadium,Erika's Clefairy #35,$4.64
8484177,Pokemon Japanese Leaders' Stadium,Erika's Clefairy [Lv. 16] #35,$9.99
3453602,Pokemon Japanese Leaders' Stadium,Erika's Dragonair #148,$26.74
3453599,Pokemon Japanese Leaders' Stadium,Erika's Dratini #147,$5.02
3453552,Pokemon Japanese Leaders' Stadium,Erika's Exeggcute #102,$2.99
7539505,Pokemon Japanese Leaders' Stadium,Erika's Exeggcute LV. 15 #102,$1.57
3453553,Pokemon Japanese Leaders' Stadium,Erika's Exeggutor #103,$3.68
3453550,Pokemon Japanese Leaders' Stadium,Erika's Gloom #44,$2.99
7539315,Pokemon Japanese Leaders' Stadium,Erika's Gloom LV. 24 #44,$2.00
3453594,Pokemon Japanese Leaders' Stadium,Erika's Jigglypuff #39,$2.68
3453620,Pokemon Japanese Leaders' Stadium,Erika's Kindness,$7.00
3453608,Pokemon Japanese Leaders' Stadium,Erika's Maids,$3.12
3453544,Pokemon Japanese Leaders' Stadium,Erika's Oddish #43,$2.78
6336989,Pokemon Japanese Leaders' Stadium,Erika's Oddish [Lv. 10] #43,$2.99
7751645,Pokemon Japanese Leaders' Stadium,Erika's Oddish [Lv. 12] #43,$3.63
3453545,Pokemon Japanese Leaders' Stadium,Erika's Paras #46,$1.98
3453609,Pokemon Japanese Leaders' Stadium,Erika's Perfume,$2.74
3453547,Pokemon Japanese Leaders' Stadium,Erika's Tangela #114,$3.20
3453555,Pokemon Japanese Leaders' Stadium,Erika's Victreebel #71,$4.47
3453554,Pokemon Japanese Leaders' Stadium,Erika's Vileplume #45,$10.65
3453551,Pokemon Japanese Leaders' Stadium,Erika's Weepinbell #70,$2.99
11804771,Pokemon Japanese Leaders' Stadium,Fighting [Nivi City Gym] #26/27,
11804769,Pokemon Japanese Leaders' Stadium,Fire [Nivi City Gym] #25/27,
11803605,Pokemon Japanese Leaders' Stadium,Full Heal [Nivi City Gym] #20/27,$0.99
3453618,Pokemon Japanese Leaders' Stadium,Good Manners,$3.45
6177758,Pokemon Japanese Leaders' Stadium,Guren Town Gym,$3.00
4877861,Pokemon Japanese Leaders' Stadium,Gust of Wind,$2.40
9904943,Pokemon Japanese Leaders' Stadium,Kuchiba City Gym Deck,$5.39
3453628,Pokemon Japanese Leaders' Stadium,Lt. Surge,$9.01
4877860,Pokemon Japanese Leaders' Stadium,Lt. Surge Electrode #101,$2.49
7960430,Pokemon Japanese Leaders' Stadium,Lt. Surge [Kuchiba City Holo],$9.50
5551472,Pokemon Japanese Leaders' Stadium,Lt. Surge [Kuchiba City],$13.13
3453598,Pokemon Japanese Leaders' Stadium,Lt. Surge's Eevee #133,$4.96
3453578,Pokemon Japanese Leaders' Stadium,Lt. Surge's Electabuzz #125,$11.67
7960903,Pokemon Japanese Leaders' Stadium,Lt. Surge's Electabuzz [Kuchiba City] #125,$3.32
3453600,Pokemon Japanese Leaders' Stadium,Lt. Surge's Fearow #22,$18.93
3453579,Pokemon Japanese Leaders' Stadium,Lt. Surge's Jolteon #135,$8.00
3453575,Pokemon Japanese Leaders' Stadium,Lt. Surge's Magnemite #81,$2.57
6423168,Pokemon Japanese Leaders' Stadium,Lt. Surge's Magnemite [Kuchiba City] #81,$2.00
3453577,Pokemon Japanese Leaders' Stadium,Lt. Surge's Magneton #82,$12.62
3453574,Pokemon Japanese Leaders' Stadium,Lt. Surge's Pikachu #25,$10.18
7960868,Pokemon Japanese Leaders' Stadium,Lt. Surge's Pikachu [Kuchiba City] #25,$25.00
5040212,Pokemon Japanese Leaders' Stadium,Lt. Surge's Raichu #26,$10.19
3453595,Pokemon Japanese Leaders' Stadium,Lt. Surge's Raticate #20,$2.53
7960426,Pokemon Japanese Leaders' Stadium,Lt. Surge's Raticate [Kuchiba City] #20,$2.75
3453592,Pokemon Japanese Leaders' Stadium,Lt. Surge's Rattata #19,$2.67
7960401,Pokemon Japanese Leaders' Stadium,Lt. Surge's Rattata [Kuchiba City] #19,$1.99
3453629,Pokemon Japanese Leaders' Stadium,Lt. Surge's Secret Plan,$2.76
3453593,Pokemon Japanese Leaders' Stadium,Lt. Surge's Spearow #21,$2.36
6423175,Pokemon Japanese Leaders' Stadium,Lt. Surge's Spearow [Kuchiba City] #21,$2.27
3453617,Pokemon Japanese Leaders' Stadium,Lt. Surge's Treaty,$2.84
3453576,Pokemon Japanese Leaders' Stadium,Lt. Surge's Voltorb #100,$2.49
8041268,Pokemon Japanese Leaders' Stadium,Lt. Surge's Voltorb [Kuchiba City] #100,$1.98
3453621,Pokemon Japanese Leaders' Stadium,Misty,$5.00
10108901,Pokemon Japanese Leaders' Stadium,Misty Hanada City Theme Deck,$603.00
6834292,Pokemon Japanese Leaders' Stadium,Misty [Hanada City],$30.00
9111826,Pokemon Japanese Leaders' Stadium,Misty's Cloyster [Hanada City] #91,$2.84
3453569,Pokemon Japanese Leaders' Stadium,Misty's Dewgong #87,$3.25
3453604,Pokemon Japanese Leaders' Stadium,Misty's Duel,$3.00
3453564,Pokemon Japanese Leaders' Stadium,Misty's Goldeen #118,$2.99
13545489,Pokemon Japanese Leaders' Stadium,Misty's Goldeen [LV.8] #118,$4.00
3453570,Pokemon Japanese Leaders' Stadium,Misty's Golduck #55,$25.73
3453573,Pokemon Japanese Leaders' Stadium,Misty's Gyarados #130,$39.17
3453563,Pokemon Japanese Leaders' Stadium,Misty's Horsea #116,$2.99
8484185,Pokemon Japanese Leaders' Stadium,Misty's Horsea [Lv. 16] #116,$4.00
3453566,Pokemon Japanese Leaders' Stadium,Misty's Magikarp #129,$3.96
3453561,Pokemon Japanese Leaders' Stadium,Misty's Poliwag #60,$2.71
3453567,Pokemon Japanese Leaders' Stadium,Misty's Poliwhirl #61,$3.38
11711992,Pokemon Japanese Leaders' Stadium,Misty's Poliwrath #62,$5.39
3453560,Pokemon Japanese Leaders' Stadium,Misty's Psyduck #54,$6.38
6055391,Pokemon Japanese Leaders' Stadium,Misty's Psyduck [Lv 18] #54,$8.48
3453572,Pokemon Japanese Leaders' Stadium,Misty's Seadra #117,$13.30
8420065,Pokemon Japanese Leaders' Stadium,Misty's Seaking #119,$3.35
3453562,Pokemon Japanese Leaders' Stadium,Misty's Seel #86,$2.92
9274697,Pokemon Japanese Leaders' Stadium,Misty's Seel [Hanada City] #86,$4.31
6249762,Pokemon Japanese Leaders' Stadium,Misty's Seel [Lv. 14] #86,$2.00
9111825,Pokemon Japanese Leaders' Stadium,Misty's Shellder [Hanada City] #90,$1.99
8650596,Pokemon Japanese Leaders' Stadium,Misty's Starmie #121,$4.28
3453565,Pokemon Japanese Leaders' Stadium,Misty's Staryu #120,$3.37
13709514,Pokemon Japanese Leaders' Stadium,Misty's Staryu Lv 20 #120,$2.57
