id,console-name,product-name,loose-price
3970161,Pokemon Japanese Lost Abyss,Aerodactyl V #105,$4.25
3970162,Pokemon Japanese Lost Abyss,Aerodactyl V #106,$136.50
3970112,Pokemon Japanese Lost Abyss,Aerodactyl V #56,$1.89
3970174,Pokemon Japanese Lost Abyss,Aerodactyl VSTAR #118,$13.88
3970113,Pokemon Japanese Lost Abyss,Aerodactyl VSTAR #57,$1.59
3970065,Pokemon Japanese Lost Abyss,Amoonguss #9,$1.97
3970088,Pokemon Japanese Lost Abyss,Araquanid #32,$1.62
3970102,Pokemon Japanese Lost Abyss,Banette #46,$1.54
3970117,Pokemon Japanese Lost Abyss,Barbaracle #61,$1.17
3970129,Pokemon Japanese Lost Abyss,Beldum #73,$1.45
3970116,Pokemon Japanese Lost Abyss,Binacle #60,$0.99
5604345,Pokemon Japanese Lost Abyss,Booster Box,$276.02
7960556,Pokemon Japanese Lost Abyss,Booster Pack,$7.32
3970145,Pokemon Japanese Lost Abyss,Bouffalant #89,$0.76
3970143,Pokemon Japanese Lost Abyss,Buneary #87,$1.62
3970091,Pokemon Japanese Lost Abyss,Chinchou #35,$1.75
3970183,Pokemon Japanese Lost Abyss,Collapsed Stadium #127,$6.18
3970169,Pokemon Japanese Lost Abyss,Colress' Experiment #113,$1.77
3970177,Pokemon Japanese Lost Abyss,Colress' Experiment #121,$3.53
3970151,Pokemon Japanese Lost Abyss,Colress' Experiment #95,$0.99
3970105,Pokemon Japanese Lost Abyss,Comfey #49,$1.77
3970089,Pokemon Japanese Lost Abyss,Cramorant #33,$1.88
3970157,Pokemon Japanese Lost Abyss,Delphox V #101,$3.98
3970073,Pokemon Japanese Lost Abyss,Delphox V #17,$1.57
3970077,Pokemon Japanese Lost Abyss,Dewgong #21,$1.42
3970087,Pokemon Japanese Lost Abyss,Dewpider #31,$0.75
3970115,Pokemon Japanese Lost Abyss,Donphan #59,$1.19
3970110,Pokemon Japanese Lost Abyss,Dragapult #54,$1.99
3970109,Pokemon Japanese Lost Abyss,Drakloak #53,$1.15
