id,console-name,product-name,loose-price
7852694,Pokemon Japanese Magma VS Aqua: Two Ambitions,Aerodactyl Ex [1st Edition] #55,$60.56
3439003,Pokemon Japanese Magma VS Aqua: Two Ambitions,Aerodactyl ex #55,$23.32
3438999,Pokemon Japanese Magma VS Aqua: Two Ambitions,Anorith #51,$3.79
8453752,Pokemon Japanese Magma VS Aqua: Two Ambitions,Anorith [1st Edition] #51,
3439028,Pokemon Japanese Magma VS Aqua: Two Ambitions,Aqua Energy #80,$2.99
8453753,Pokemon Japanese Magma VS Aqua: Two Ambitions,Aqua Energy [1st Edition] #80,$0.25
3438950,Pokemon Japanese Magma VS Aqua: Two Ambitions,Arbok #2,$3.98
8453754,Pokemon Japanese Magma VS Aqua: Two Ambitions,Arbok [1st Edition] #2,$4.00
3438962,Pokemon Japanese Magma VS Aqua: Two Ambitions,Arcanine #14,$40.00
8453755,Pokemon Japanese Magma VS Aqua: Two Ambitions,Arcanine [1st Edition] #14,$41.22
3439023,Pokemon Japanese Magma VS Aqua: Two Ambitions,Archie #75,$5.75
8453756,Pokemon Japanese Magma VS Aqua: Two Ambitions,Archie [1st Edition] #75,
3438966,Pokemon Japanese Magma VS Aqua: Two Ambitions,Blaziken ex #18,$68.78
8453757,Pokemon Japanese Magma VS Aqua: Two Ambitions,Blaziken ex [1st Edition] #18,$100.00
10749158,Pokemon Japanese Magma VS Aqua: Two Ambitions,Booster Box,$10560.60
13016673,Pokemon Japanese Magma VS Aqua: Two Ambitions,Booster Pack,
3438955,Pokemon Japanese Magma VS Aqua: Two Ambitions,Cacnea #7,$2.48
8453758,Pokemon Japanese Magma VS Aqua: Two Ambitions,Cacnea [1st Edition] #7,$2.00
3438965,Pokemon Japanese Magma VS Aqua: Two Ambitions,Combusken #17,$4.00
8453759,Pokemon Japanese Magma VS Aqua: Two Ambitions,Combusken [1st Edition] #17,$8.00
3438957,Pokemon Japanese Magma VS Aqua: Two Ambitions,Cradily ex #9,$18.95
8453760,Pokemon Japanese Magma VS Aqua: Two Ambitions,Cradily ex [1st Edition] #9,$22.49
3439008,Pokemon Japanese Magma VS Aqua: Two Ambitions,Delcatty #60,$5.05
8453761,Pokemon Japanese Magma VS Aqua: Two Ambitions,Delcatty [1st Edition] #60,$2.00
3439026,Pokemon Japanese Magma VS Aqua: Two Ambitions,Double Rainbow Energy #78,$0.25
8453762,Pokemon Japanese Magma VS Aqua: Two Ambitions,Double Rainbow Energy [1st Edition] #78,$0.25
3439014,Pokemon Japanese Magma VS Aqua: Two Ambitions,Dual Ball #66,$1.98
8453763,Pokemon Japanese Magma VS Aqua: Two Ambitions,Dual Ball [1st Edition] #66,
3439004,Pokemon Japanese Magma VS Aqua: Two Ambitions,Dunsparce #56,$2.84
8453764,Pokemon Japanese Magma VS Aqua: Two Ambitions,Dunsparce [1st Edition] #56,$2.49
3438991,Pokemon Japanese Magma VS Aqua: Two Ambitions,Duskull #43,$2.83
8453765,Pokemon Japanese Magma VS Aqua: Two Ambitions,Duskull [1st Edition] #43,$3.99
3439002,Pokemon Japanese Magma VS Aqua: Two Ambitions,Eevee #54,$3.64
8453766,Pokemon Japanese Magma VS Aqua: Two Ambitions,Eevee [1st Edition] #54,$6.00
3438949,Pokemon Japanese Magma VS Aqua: Two Ambitions,Ekans #1,$3.59
8453767,Pokemon Japanese Magma VS Aqua: Two Ambitions,Ekans [1st Edition] #1,$2.00
3438988,Pokemon Japanese Magma VS Aqua: Two Ambitions,Espeon #40,$74.00
8453768,Pokemon Japanese Magma VS Aqua: Two Ambitions,Espeon [1st Edition] #40,$60.00
3438963,Pokemon Japanese Magma VS Aqua: Two Ambitions,Flareon #15,$31.46
8453769,Pokemon Japanese Magma VS Aqua: Two Ambitions,Flareon [1st Edition] #15,$30.00
3439012,Pokemon Japanese Magma VS Aqua: Two Ambitions,Forretress #64,$3.59
8453770,Pokemon Japanese Magma VS Aqua: Two Ambitions,Forretress [1st Edition] #64,$6.37
3438994,Pokemon Japanese Magma VS Aqua: Two Ambitions,Geodude #46,$3.79
8453771,Pokemon Japanese Magma VS Aqua: Two Ambitions,Geodude [1st Edition] #46,$2.00
3438996,Pokemon Japanese Magma VS Aqua: Two Ambitions,Golem ex #48,$19.99
8453772,Pokemon Japanese Magma VS Aqua: Two Ambitions,Golem ex [1st Edition] #48,$28.18
3438995,Pokemon Japanese Magma VS Aqua: Two Ambitions,Graveler #47,$2.21
8453773,Pokemon Japanese Magma VS Aqua: Two Ambitions,Graveler [1st Edition] #47,$3.69
3438953,Pokemon Japanese Magma VS Aqua: Two Ambitions,Grovyle #5,$5.82
8453774,Pokemon Japanese Magma VS Aqua: Two Ambitions,Grovyle [1st Edition] #5,$6.57
3438961,Pokemon Japanese Magma VS Aqua: Two Ambitions,Growlithe #13,$5.98
8453775,Pokemon Japanese Magma VS Aqua: Two Ambitions,Growlithe [1st Edition] #13,$4.52
3438985,Pokemon Japanese Magma VS Aqua: Two Ambitions,Jolteon #37,$24.06
8453776,Pokemon Japanese Magma VS Aqua: Two Ambitions,Jolteon [1st Edition] #37,$89.27
3438973,Pokemon Japanese Magma VS Aqua: Two Ambitions,Kabuto #25,$2.39
8453777,Pokemon Japanese Magma VS Aqua: Two Ambitions,Kabuto [1st Edition] #25,$7.26
3438974,Pokemon Japanese Magma VS Aqua: Two Ambitions,Kabutops ex #26,$29.58
8453778,Pokemon Japanese Magma VS Aqua: Two Ambitions,Kabutops ex [1st Edition] #26,$28.86
3438990,Pokemon Japanese Magma VS Aqua: Two Ambitions,Kirlia #42,$3.69
8453779,Pokemon Japanese Magma VS Aqua: Two Ambitions,Kirlia [1st Edition] #42,
3438956,Pokemon Japanese Magma VS Aqua: Two Ambitions,Lileep #8,$4.64
8453780,Pokemon Japanese Magma VS Aqua: Two Ambitions,Lileep [1st Edition] #8,
3439005,Pokemon Japanese Magma VS Aqua: Two Ambitions,Linoone #57,$2.69
8453781,Pokemon Japanese Magma VS Aqua: Two Ambitions,Linoone [1st Edition] #57,
3439027,Pokemon Japanese Magma VS Aqua: Two Ambitions,Magma Energy #79,$2.84
8453782,Pokemon Japanese Magma VS Aqua: Two Ambitions,Magma Energy [1st Edition] #79,
3438977,Pokemon Japanese Magma VS Aqua: Two Ambitions,Marshtomp #29,$4.11
8453783,Pokemon Japanese Magma VS Aqua: Two Ambitions,Marshtomp [1st Edition] #29,$2.00
3439022,Pokemon Japanese Magma VS Aqua: Two Ambitions,Maxie #74,$16.50
8453784,Pokemon Japanese Magma VS Aqua: Two Ambitions,Maxie [1st Edition] #74,
3438976,Pokemon Japanese Magma VS Aqua: Two Ambitions,Mudkip #28,$6.87
8453785,Pokemon Japanese Magma VS Aqua: Two Ambitions,Mudkip [1st Edition] #28,$3.58
3439011,Pokemon Japanese Magma VS Aqua: Two Ambitions,Murkrow #63,$6.74
8453786,Pokemon Japanese Magma VS Aqua: Two Ambitions,Murkrow [1st Edition] #63,$13.00
3439015,Pokemon Japanese Magma VS Aqua: Two Ambitions,Mysterious Fossil #67,$3.39
8453787,Pokemon Japanese Magma VS Aqua: Two Ambitions,Mysterious Fossil [1st Edition] #67,
3438971,Pokemon Japanese Magma VS Aqua: Two Ambitions,Omanyte #23,$2.18
8453788,Pokemon Japanese Magma VS Aqua: Two Ambitions,Omanyte [1st Edition] #23,$1.00
3438972,Pokemon Japanese Magma VS Aqua: Two Ambitions,Omastar #24,$8.59
8453789,Pokemon Japanese Magma VS Aqua: Two Ambitions,Omastar [1st Edition] #24,$7.02
3438997,Pokemon Japanese Magma VS Aqua: Two Ambitions,Onix #49,$3.68
8453790,Pokemon Japanese Magma VS Aqua: Two Ambitions,Onix [1st Edition] #49,$4.49
3438979,Pokemon Japanese Magma VS Aqua: Two Ambitions,Pelipper #31,$3.10
8453791,Pokemon Japanese Magma VS Aqua: Two Ambitions,Pelipper [1st Edition] #31,$3.00
3438951,Pokemon Japanese Magma VS Aqua: Two Ambitions,Pineco #3,$2.75
8453792,Pokemon Japanese Magma VS Aqua: Two Ambitions,Pineco [1st Edition] #3,$5.00
3438989,Pokemon Japanese Magma VS Aqua: Two Ambitions,Ralts #41,$3.79
8453793,Pokemon Japanese Magma VS Aqua: Two Ambitions,Ralts [1st Edition] #41,$5.34
3438954,Pokemon Japanese Magma VS Aqua: Two Ambitions,Sceptile ex #6,$50.50
8453794,Pokemon Japanese Magma VS Aqua: Two Ambitions,Sceptile ex [1st Edition] #6,
3439007,Pokemon Japanese Magma VS Aqua: Two Ambitions,Skitty #59,$3.74
8453795,Pokemon Japanese Magma VS Aqua: Two Ambitions,Skitty [1st Edition] #59,$1.00
3439013,Pokemon Japanese Magma VS Aqua: Two Ambitions,Steelix #65,$17.58
7629502,Pokemon Japanese Magma VS Aqua: Two Ambitions,Steelix [1st Edition] #65,$19.20
3439017,Pokemon Japanese Magma VS Aqua: Two Ambitions,Strength Charm #69,$3.16
8453796,Pokemon Japanese Magma VS Aqua: Two Ambitions,Strength Charm [1st Edition] #69,
3438975,Pokemon Japanese Magma VS Aqua: Two Ambitions,Suicune ex #27,$107.81
8453797,Pokemon Japanese Magma VS Aqua: Two Ambitions,Suicune ex [1st Edition] #27,$54.65
3438998,Pokemon Japanese Magma VS Aqua: Two Ambitions,Swampert ex #50,$42.49
8453798,Pokemon Japanese Magma VS Aqua: Two Ambitions,Swampert ex [1st Edition] #50,$31.63
3439006,Pokemon Japanese Magma VS Aqua: Two Ambitions,Swellow #58,$1.25
8453799,Pokemon Japanese Magma VS Aqua: Two Ambitions,Swellow [1st Edition] #58,$0.50
3439019,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua Belt #71,$1.79
8453800,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua Belt [1st Edition] #71,
3439021,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua Schemer #73,$3.99
8453801,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua Schemer [1st Edition] #73,
3439025,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua Technical Machine 01 #77,$3.00
8453802,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua Technical Machine 01 [1st Edition] #77,$3.00
3438959,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Cacnea #11,$1.99
8453803,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Cacnea [1st Edition] #11,
3438960,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Cacturne #12,$19.99
8453804,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Cacturne [1st Edition] #12,$3.00
3438981,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Carvanha #33,$7.99
8453805,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Carvanha [1st Edition] #33,$3.00
3438982,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Corphish #34,$2.99
8453806,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Corphish [1st Edition] #34,$2.00
3438984,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Crawdaunt #36,$2.25
8453807,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Crawdaunt [1st Edition] #36,$8.00
3438986,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Electrike #38,$0.50
8453808,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Electrike [1st Edition] #38,
3438987,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Manectric #39,$10.00
8453809,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Manectric [1st Edition] #39,$14.00
3438958,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Seviper #10,$2.79
8453810,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Seviper [1st Edition] #10,
3438983,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Sharpedo #35,$14.28
8453811,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Aqua's Sharpedo [1st Edition] #35,$27.99
3439018,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Magma Belt #70,$3.50
8453812,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Magma Belt [1st Edition] #70,
3439020,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Magma Schemer #72,
8453813,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Magma Schemer [1st Edition] #72,$1.98
3439024,Pokemon Japanese Magma VS Aqua: Two Ambitions,Team Magma Technical Machine 01 #76,
