id,console-name,product-name,loose-price
6681027,Pokemon Japanese Mask of Change,Abra #47,$1.69
6681055,Pokemon Japanese Mask of Change,Aggron #75,$0.97
6681066,Pokemon Japanese Mask of Change,Aipom #86,$1.45
6681029,Pokemon Japanese Mask of Change,Alakazam #49,$1.22
6681067,Pokemon Japanese Mask of Change,Ambipom #87,$1.40
6680991,Pokemon Japanese Mask of Change,Applin #11,$1.46
6681053,Pokemon Japanese Mask of Change,Aron #73,$1.41
6681101,Pokemon Japanese Mask of Change,Blissey ex #121,$4.00
6681065,Pokemon Japanese Mask of Change,Blissey ex #85,$1.99
6680979,Pokemon Japanese Mask of Change,Booster Box,$93.50
6680980,Pokemon Japanese Mask of Change,Booster Pack,$7.00
6681051,Pokemon Japanese Mask of Change,Brute Bonnet #71,$0.96
6682318,Pokemon Japanese Mask of Change,Buddy-Buddy Poffins #133,$14.99
6681074,Pokemon Japanese Mask of Change,Bug Catching Set #94,$0.38
6681103,Pokemon Japanese Mask of Change,Carmine #123,$7.81
6681110,Pokemon Japanese Mask of Change,Carmine #130,$85.36
6681077,Pokemon Japanese Mask of Change,Carmine #97,$1.56
6681001,Pokemon Japanese Mask of Change,Chandelure #21,$1.99
6681093,Pokemon Japanese Mask of Change,Chansey #113,$15.51
6681064,Pokemon Japanese Mask of Change,Chansey #84,$1.76
6681086,Pokemon Japanese Mask of Change,Chimecho #106,$3.24
6681030,Pokemon Japanese Mask of Change,Chimecho #50,$1.76
6681026,Pokemon Japanese Mask of Change,Clefable #46,$1.61
6681025,Pokemon Japanese Mask of Change,Clefairy #45,$1.73
6681041,Pokemon Japanese Mask of Change,Conkeldurr #61,$1.45
6681099,Pokemon Japanese Mask of Change,Cornerstone Mask Ogerpon ex #119,$3.85
6681108,Pokemon Japanese Mask of Change,Cornerstone Mask Ogerpon ex #128,$11.02
6681045,Pokemon Japanese Mask of Change,Cornerstone Mask Ogerpon ex #65,$1.59
6680998,Pokemon Japanese Mask of Change,Darmanitan #18,$1.65
6680997,Pokemon Japanese Mask of Change,Darumaka #17,$1.41
6681083,Pokemon Japanese Mask of Change,Dipplin #103,$4.19
6680992,Pokemon Japanese Mask of Change,Dipplin #12,$1.20
6681100,Pokemon Japanese Mask of Change,Dragapult ex #120,$7.86
6681061,Pokemon Japanese Mask of Change,Dragapult ex #81,$1.26
6681060,Pokemon Japanese Mask of Change,Drakloak #80,$0.80
6681059,Pokemon Japanese Mask of Change,Dreepy #79,$0.99
6681068,Pokemon Japanese Mask of Change,Ducklett #88,$1.77
6681022,Pokemon Japanese Mask of Change,Emolga #42,$1.64
6681112,Pokemon Japanese Mask of Change,Enhanced Hammer #132,$6.19
6681063,Pokemon Japanese Mask of Change,Farfetch'd #83,$1.55
6681009,Pokemon Japanese Mask of Change,Feebas #29,$1.34
6681088,Pokemon Japanese Mask of Change,Fezandipiti #108,$3.00
6681036,Pokemon Japanese Mask of Change,Fezandipiti #56,$1.55
6681014,Pokemon Japanese Mask of Change,Finizen #34,$1.51
6681013,Pokemon Japanese Mask of Change,Froslass #33,$2.41
6681084,Pokemon Japanese Mask of Change,Frosslass #104,$3.20
6681012,Pokemon Japanese Mask of Change,Glalie #32,$0.84
6681042,Pokemon Japanese Mask of Change,Glimmet #62,$0.81
6681043,Pokemon Japanese Mask of Change,Glimmora #63,$1.67
6681006,Pokemon Japanese Mask of Change,Goldeen #26,$1.89
6680988,Pokemon Japanese Mask of Change,Grookey #8,$1.03
6681040,Pokemon Japanese Mask of Change,Gurdurr #60,$0.38
6681075,Pokemon Japanese Mask of Change,Handy Fan #95,$1.41
6681104,Pokemon Japanese Mask of Change,Hassel #124,$2.57
6681078,Pokemon Japanese Mask of Change,Hassel #98,$1.42
6777802,Pokemon Japanese Mask of Change,Hearthflame Mask Ogerpon Ex #22,$1.74
6681095,Pokemon Japanese Mask of Change,Hearthflame Mask Ogerpon ex #115,$3.88
6681106,Pokemon Japanese Mask of Change,Hearthflame Mask Ogerpon ex #126,$9.91
6681056,Pokemon Japanese Mask of Change,Heatran #76,$2.15
6680983,Pokemon Japanese Mask of Change,Heracross #3,$1.80
6680985,Pokemon Japanese Mask of Change,Illumise #5,$1.41
6681017,Pokemon Japanese Mask of Change,Iron Bundle #37,$1.47
6681080,Pokemon Japanese Mask of Change,Jamming Tower #100,$1.40
6681008,Pokemon Japanese Mask of Change,Jynx #28,$1.61
6681028,Pokemon Japanese Mask of Change,Kadabra #48,$1.40
6681102,Pokemon Japanese Mask of Change,Kieran #122,$4.99
6681109,Pokemon Japanese Mask of Change,Kieran #129,$28.27
6681076,Pokemon Japanese Mask of Change,Kieran #96,$1.54
6681024,Pokemon Japanese Mask of Change,Kilowattrel #44,$0.92
6681091,Pokemon Japanese Mask of Change,Lairon #111,$3.00
6681054,Pokemon Japanese Mask of Change,Lairon #74,$1.41
6681000,Pokemon Japanese Mask of Change,Lampent #20,$1.61
6681081,Pokemon Japanese Mask of Change,Legacy Energy #101,$1.75
6680999,Pokemon Japanese Mask of Change,Litwick #19,$1.79
6681020,Pokemon Japanese Mask of Change,Luxio #40,$0.41
6681098,Pokemon Japanese Mask of Change,Luxray ex #118,$3.30
6681021,Pokemon Japanese Mask of Change,Luxray ex #41,$1.77
6681047,Pokemon Japanese Mask of Change,Mightyena #67,$1.99
6681010,Pokemon Japanese Mask of Change,Milotic #30,$2.20
6681087,Pokemon Japanese Mask of Change,Munkidori #107,$6.25
6681035,Pokemon Japanese Mask of Change,Munkidori #55,$1.90
6681070,Pokemon Japanese Mask of Change,Ogre's Mask #90,$1.44
6681090,Pokemon Japanese Mask of Change,Okidogi #110,$2.99
6681044,Pokemon Japanese Mask of Change,Okidogi #64,$1.42
6681015,Pokemon Japanese Mask of Change,Palafin #35,$1.84
6681096,Pokemon Japanese Mask of Change,Palafin ex #116,$3.16
6681016,Pokemon Japanese Mask of Change,Palafin ex #36,$1.27
6681034,Pokemon Japanese Mask of Change,Palossand #54,$0.74
6681071,Pokemon Japanese Mask of Change,Performance Flute #91,$1.91
6680986,Pokemon Japanese Mask of Change,Phantump #6,$1.31
6681003,Pokemon Japanese Mask of Change,Poliwag #23,$1.80
6681004,Pokemon Japanese Mask of Change,Poliwhirl #24,$1.55
6681005,Pokemon Japanese Mask of Change,Poliwrath #25,$1.70
6680993,Pokemon Japanese Mask of Change,Poltchageist #13,$1.29
6681046,Pokemon Japanese Mask of Change,Poochyena #66,$1.78
6681058,Pokemon Japanese Mask of Change,Revavroom #78,$0.71
6680990,Pokemon Japanese Mask of Change,Rillaboom #10,$1.41
