id,console-name,product-name,loose-price
10181527,Pokemon Japanese Mega Brave,Air Balloon #84,$2.40
10085346,Pokemon Japanese Mega Brave,Booster Box,$94.47
10085345,Pokemon Japanese Mega Brave,Booster Pack,$2.16
10085205,Pokemon Japanese Mega Brave,Bulbasaur #1,$1.66
10085267,Pokemon Japanese Mega Brave,Bulbasaur #64,$10.64
10085210,Pokemon Japanese Mega Brave,Celebi #6,$1.66
10085221,Pokemon Japanese Mega Brave,Cinderace #17,$1.26
10085224,Pokemon Japanese Mega Brave,Corphish #18,$1.58
10085243,Pokemon Japanese Mega Brave,Crawdaunt #37,$1.48
10085234,Pokemon Japanese Mega Brave,Croagunk #30,$1.82
10085266,Pokemon Japanese Mega Brave,Dangerous Ruins #63,$1.10
10085250,Pokemon Japanese Mega Brave,Dialga #47,$1.74
10085208,Pokemon Japanese Mega Brave,Exeggcute #4,$1.25
10085209,Pokemon Japanese Mega Brave,Exeggutor #5,$1.10
10117208,Pokemon Japanese Mega Brave,Exeggutor #66,$3.50
10085257,Pokemon Japanese Mega Brave,Fearow #53,$1.27
10085262,Pokemon Japanese Mega Brave,Fight Gong #59,$1.40
10154472,Pokemon Japanese Mega Brave,Fight Gong #82,$2.16
10085240,Pokemon Japanese Mega Brave,Garganacl #36,$1.50
10117210,Pokemon Japanese Mega Brave,Garganacl #70,$1.86
10085254,Pokemon Japanese Mega Brave,Gholdengo #51,$1.69
10085222,Pokemon Japanese Mega Brave,Gimmighoul #19,$1.44
10085274,Pokemon Japanese Mega Brave,Grafaiai #44,$1.15
10085259,Pokemon Japanese Mega Brave,Gumshoos #56,$1.23
10117515,Pokemon Japanese Mega Brave,Gumshoos #75,$2.78
10085229,Pokemon Japanese Mega Brave,Hariyama #25,$1.98
10085260,Pokemon Japanese Mega Brave,Iron X Defense #57,$1.49
10085206,Pokemon Japanese Mega Brave,Ivysaur #2,$1.60
10085268,Pokemon Japanese Mega Brave,Ivysaur #65,$8.39
10085265,Pokemon Japanese Mega Brave,Lillie's Determination #62,$1.37
10181529,Pokemon Japanese Mega Brave,Lillie's Determination #86,$19.99
10117204,Pokemon Japanese Mega Brave,Lillie's Determination #91,$118.64
