id,console-name,product-name,loose-price
11302535,Pokemon Japanese Mega Dream ex,Acerola's Mischief #169,$1.41
11302531,Pokemon Japanese Mega Dream ex,Air Balloon #165,$1.26
11302539,Pokemon Japanese Mega Dream ex,Anthea & Concordia #173,$1.79
11302587,Pokemon Japanese Mega Dream ex,Anthea & Concordia #221,$2.83
11302488,Pokemon Japanese Mega Dream ex,Archaludon ex #122,$1.49
11302550,Pokemon Japanese Mega Dream ex,Area Zero Underdepths #184,$1.49
11302560,Pokemon Japanese Mega Dream ex,Beautifly #194,$3.00
11302373,Pokemon Japanese Mega Dream ex,Beautifly #6,$1.55
11326063,Pokemon Japanese Mega Dream ex,Beautifly [Ball] #6,$1.59
11325795,Pokemon Japanese Mega Dream ex,Beautifly [Energy] #6,$1.89
11302483,Pokemon Japanese Mega Dream ex,Bisharp #117,$1.76
11326068,Pokemon Japanese Mega Dream ex,Bisharp [Ball] #117,$2.19
11326051,Pokemon Japanese Mega Dream ex,Bisharp [Energy] #117,$1.94
11302586,Pokemon Japanese Mega Dream ex,Black Belt's Training #220,$2.13
11302367,Pokemon Japanese Mega Dream ex,Booster Box,$87.00
11302366,Pokemon Japanese Mega Dream ex,Booster Pack,$13.85
11302506,Pokemon Japanese Mega Dream ex,Bouffalant #140,$2.22
11326113,Pokemon Japanese Mega Dream ex,Bouffalant [Ball] #140,$1.67
11325879,Pokemon Japanese Mega Dream ex,Bouffalant [Energy] #140,$1.58
11302532,Pokemon Japanese Mega Dream ex,Brave Bangle #166,$1.50
11302519,Pokemon Japanese Mega Dream ex,Buddy-Buddy Poffin #153,$1.82
11302378,Pokemon Japanese Mega Dream ex,Budew #11,$2.12
11302562,Pokemon Japanese Mega Dream ex,Budew #196,$3.59
11326091,Pokemon Japanese Mega Dream ex,Budew [Ball] #11,$2.09
11325805,Pokemon Japanese Mega Dream ex,Budew [Energy] #11,$2.02
11302523,Pokemon Japanese Mega Dream ex,Bug Catching Set #157,$1.54
11302390,Pokemon Japanese Mega Dream ex,Camerupt #23,$1.99
11326125,Pokemon Japanese Mega Dream ex,Camerupt [Ball] #23,$1.67
11325824,Pokemon Japanese Mega Dream ex,Camerupt [Energy] #23,$1.32
11302536,Pokemon Japanese Mega Dream ex,Canari #170,$2.00
11302585,Pokemon Japanese Mega Dream ex,Canari #219,$7.97
11302614,Pokemon Japanese Mega Dream ex,Canari #248,$32.19
11302463,Pokemon Japanese Mega Dream ex,Carkol #96,$1.27
11326018,Pokemon Japanese Mega Dream ex,Carkol [Ball] #96,$1.70
11325993,Pokemon Japanese Mega Dream ex,Carkol [Energy] #96,$1.77
11302374,Pokemon Japanese Mega Dream ex,Cascoon #7,$2.09
11326080,Pokemon Japanese Mega Dream ex,Cascoon [Ball] #7,$1.86
11325798,Pokemon Japanese Mega Dream ex,Cascoon [Energy] #7,$1.89
11302398,Pokemon Japanese Mega Dream ex,Ceruledge ex #31,$1.41
11302397,Pokemon Japanese Mega Dream ex,Charcadet #30,$2.27
11326135,Pokemon Japanese Mega Dream ex,Charcadet [Ball] #30,$2.02
11325834,Pokemon Japanese Mega Dream ex,Charcadet [Energy] #30,$2.48
11302410,Pokemon Japanese Mega Dream ex,Chien-Pao #43,$1.75
11325906,Pokemon Japanese Mega Dream ex,Chien-Pao [Ball] #43,$1.72
11325857,Pokemon Japanese Mega Dream ex,Chien-Pao [Energy] #43,$1.59
11302462,Pokemon Japanese Mega Dream ex,Coalossal #97,$1.62
11326021,Pokemon Japanese Mega Dream ex,Coalossal [Ball] #97,$1.77
11325996,Pokemon Japanese Mega Dream ex,Coalossal [Energy] #97,$2.00
11302527,Pokemon Japanese Mega Dream ex,Counter Gain #161,$1.94
11302584,Pokemon Japanese Mega Dream ex,Counter Gain #218,$1.57
11302381,Pokemon Japanese Mega Dream ex,Crustle #14,$1.41
11326103,Pokemon Japanese Mega Dream ex,Crustle [Ball] #14,$1.69
11325810,Pokemon Japanese Mega Dream ex,Crustle [Energy] #14,$1.65
11302454,Pokemon Japanese Mega Dream ex,Cynthia's Gabite #89,$1.99
11326007,Pokemon Japanese Mega Dream ex,Cynthia's Gabite [Ball] #89,$2.10
11325985,Pokemon Japanese Mega Dream ex,Cynthia's Gabite [Energy] #89,$2.32
11302457,Pokemon Japanese Mega Dream ex,Cynthia's Garchomp ex #90,$1.64
11302455,Pokemon Japanese Mega Dream ex,Cynthia's Gible #88,$2.23
11326005,Pokemon Japanese Mega Dream ex,Cynthia's Gible [Ball] #88,$3.10
11325983,Pokemon Japanese Mega Dream ex,Cynthia's Gible [Energy] #88,$2.38
11302528,Pokemon Japanese Mega Dream ex,Cynthia's Power Weight #162,$1.49
11302376,Pokemon Japanese Mega Dream ex,Cynthia's Roselia #9,$1.49
11326087,Pokemon Japanese Mega Dream ex,Cynthia's Roselia [Ball] #9,$1.25
11325801,Pokemon Japanese Mega Dream ex,Cynthia's Roselia [Energy] #9,$1.69
11302377,Pokemon Japanese Mega Dream ex,Cynthia's Roserade #10,$1.79
11326088,Pokemon Japanese Mega Dream ex,Cynthia's Roserade [Ball] #10,$1.60
11325803,Pokemon Japanese Mega Dream ex,Cynthia's Roserade [Energy] #10,$2.34
11302474,Pokemon Japanese Mega Dream ex,Cynthia's Spiritomb #108,$1.89
11302574,Pokemon Japanese Mega Dream ex,Cynthia's Spiritomb #208,$3.99
11326052,Pokemon Japanese Mega Dream ex,Cynthia's Spiritomb [Ball] #108,$1.55
11326028,Pokemon Japanese Mega Dream ex,Cynthia's Spiritomb [Energy] #108,$2.02
11302500,Pokemon Japanese Mega Dream ex,Dragapult ex #134,$1.66
11302491,Pokemon Japanese Mega Dream ex,Dragonair #125,$1.77
11326079,Pokemon Japanese Mega Dream ex,Dragonair [Ball] #125,$1.53
11326069,Pokemon Japanese Mega Dream ex,Dragonair [Energy] #125,$3.04
11302499,Pokemon Japanese Mega Dream ex,Drakloak #133,$2.16
11302578,Pokemon Japanese Mega Dream ex,Drakloak #212,$3.00
11326098,Pokemon Japanese Mega Dream ex,Drakloak [Ball] #133,$1.77
11325871,Pokemon Japanese Mega Dream ex,Drakloak [Energy] #133,$2.25
11302490,Pokemon Japanese Mega Dream ex,Dratini #124,$1.89
11326077,Pokemon Japanese Mega Dream ex,Dratini [Ball] #124,$2.20
11326067,Pokemon Japanese Mega Dream ex,Dratini [Energy] #124,$2.23
11302498,Pokemon Japanese Mega Dream ex,Dreepy #132,$1.99
11302577,Pokemon Japanese Mega Dream ex,Dreepy #211,$2.49
11326095,Pokemon Japanese Mega Dream ex,Dreepy [Ball] #132,$1.99
11325870,Pokemon Japanese Mega Dream ex,Dreepy [Energy] #132,$2.39
11302486,Pokemon Japanese Mega Dream ex,Duraludon #121,$2.05
11326075,Pokemon Japanese Mega Dream ex,Duraludon [Ball] #121,$1.58
11326064,Pokemon Japanese Mega Dream ex,Duraludon [Energy] #121,$1.80
11302439,Pokemon Japanese Mega Dream ex,Dusclops #73,$2.09
11325963,Pokemon Japanese Mega Dream ex,Dusclops [Ball] #73,$2.16
11325943,Pokemon Japanese Mega Dream ex,Dusclops [Energy] #73,$2.43
11302441,Pokemon Japanese Mega Dream ex,Dusknoir #74,$1.12
11325965,Pokemon Japanese Mega Dream ex,Dusknoir [Ball] #74,$1.99
11325947,Pokemon Japanese Mega Dream ex,Dusknoir [Energy] #74,$2.30
11302440,Pokemon Japanese Mega Dream ex,Duskull #72,$1.99
11325961,Pokemon Japanese Mega Dream ex,Duskull [Ball] #72,$1.93
11325940,Pokemon Japanese Mega Dream ex,Duskull [Energy] #72,$2.19
11302561,Pokemon Japanese Mega Dream ex,Dustox #195,$2.25
11302375,Pokemon Japanese Mega Dream ex,Dustox #8,$1.88
